Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 00:43:35
Device temperature = 26.1281
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJRB0QZZ
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;24.8858
0.253673;24.1887
0.507346;23.2896
0.76102;22.7185
1.01469;23.0743
1.26837;23.3605
1.52204;23.6318
1.77571;23.2872
2.02939;23.2887
2.28306;23.8055
2.53673;23.7229
2.79041;23.856
3.04408;23.8043
3.29775;23.9769
3.55142;24.0757
3.8051;24.2122
4.05877;24.0968
4.31244;23.8893
4.56612;23.7758
4.81979;23.7058
5.07346;23.5255
5.32714;23.5294
5.58081;23.586
5.83448;23.7808
6.08816;23.9078
6.34183;23.8727
6.5955;23.7896
6.84918;23.9628
7.10285;24.0311
7.35652;24.2429
7.6102;24.2881
7.86387;24.2221
8.11754;24.0853
8.37122;23.9891
8.62489;24.0679
8.87856;24.3137
9.13223;24.2884
9.38591;24.3068
9.63958;24.1113
9.89325;24.0684
10.1469;24.1088
10.4006;24.18
10.6543;24.2434
10.9079;24.2368
11.1616;24.1378
11.4153;24.0596
11.669;24.0104
11.9226;24.2212
12.1763;24.3357
12.43;24.1888
12.6837;24.1022
12.9373;24.0307
13.191;24.0937
13.4447;24.144
13.6984;24.2531
13.952;24.1631
14.2057;24.0632
14.4594;23.9818
14.713;23.9098
14.9667;24.251
15.2204;24.2878
15.4741;24.1649
15.7277;24.0677
15.9814;23.6822
16.2351;23.755
16.4888;23.9513
16.7424;24.0784
16.9961;24.2269
17.2498;24.1583
17.5035;24.0618
17.7571;23.9166
18.0108;24.0794
18.2645;24.137
18.5181;24.2763
18.7718;24.144
19.0255;24.0144
19.2792;24.0105
19.5328;23.9228
19.7865;24.0461
20.0402;23.9338
20.2939;23.7932
20.5475;23.7914
20.8012;23.8069
21.0549;23.9982
21.3085;24.1102
21.5622;24.081
21.8159;24.0948
22.0696;23.7952
22.3232;23.8846
22.5769;24.0986
22.8306;24.2792
23.0843;24.1229
23.3379;23.9611
23.5916;23.7942
23.8453;23.8
24.099;23.8865
24.3526;23.945
24.6063;24.0974
24.86;23.9769
25.1136;23.7094
25.3673;23.6185
25.621;23.7413
25.8747;23.9383
26.1283;24.0926
26.382;23.8673
26.6357;23.8588
26.8894;23.6725
27.143;23.754
27.3967;23.974
27.6504;24.0504
27.9041;23.9739
28.1577;23.726
28.4114;23.4793
28.6651;23.0155
28.9187;22.0015
29.1724;19.3173
29.4261;18.0386
29.6798;17.5478
29.9334;17.4251
30.1871;17.4343
30.4408;17.3922
30.6945;17.3008
30.9481;17.1921
31.2018;17.1042
31.4555;16.9717
31.7092;16.9488
31.9628;17.0032
32.2165;17.2639
32.4702;17.6753
32.7238;18.13
32.9775;18.4937
33.2312;18.3365
33.4849;17.9871
33.7385;17.6684
33.9922;17.5979
34.2459;17.8254
34.4996;18.058
34.7532;18.238
35.0069;18.1437
35.2606;17.6203
35.5142;17.1805
35.7679;16.8706
36.0216;16.6727
36.2753;16.4679
36.5289;16.5125
36.7826;16.5925
37.0363;16.4568
37.29;16.6364
37.5436;16.5467
37.7973;16.4604
38.051;16.3064
38.3047;16.2666
38.5583;16.2342
38.812;16.3922
39.0657;16.267
39.3193;16.3455
39.573;16.2051
39.8267;16.1302
40.0804;16.0958
40.334;16.2013
40.5877;16.1248
40.8414;16.2755
41.0951;16.262
41.3487;16.2376
41.6024;16.1854
41.8561;16.1461
42.1097;16.1362
42.3634;16.0228
42.6171;15.9466
42.8708;16.0576
43.1244;16.0806
43.3781;16.198
43.6318;16.2132
43.8855;16.2283
44.1391;16.2712
44.3928;16.2
44.6465;16.2332
44.9002;16.3454
45.1538;16.4065
45.4075;16.258
45.6612;16.086
45.9148;16.0109
46.1685;15.9557
46.4222;15.8777
46.6759;15.8293
46.9295;15.8515
47.1832;15.7995
47.4369;15.7683
47.6906;15.6824
47.9442;15.7012
48.1979;15.714
48.4516;15.7125
48.7053;15.7044
48.9589;15.789
49.2126;15.7785
49.4663;16.0305
49.7199;15.9126
49.9736;15.9576
50.2273;16.0229
50.481;15.9213
50.7346;15.9088
50.9883;15.985
51.242;15.8813
51.4957;16.0272
51.7493;16.0003
52.003;16.0847
52.2567;16.0666
52.5104;15.9478
52.764;15.8308
53.0177;15.9285
53.2714;15.7996
53.525;16.0626
53.7787;16.0104
54.0324;16.0354
54.2861;15.9835
54.5397;15.9373
54.7934;15.8668
55.0471;15.7937
55.3008;15.6865
55.5544;15.7207
55.8081;15.8533
56.0618;15.7436
56.3154;15.7261
56.5691;15.737
56.8228;15.8505
57.0765;15.8288
57.3301;15.7596
57.5838;15.895
57.8375;15.8605
58.0912;15.8233
58.3448;15.8325
58.5985;15.7001
58.8522;15.7107
59.1059;15.7026
59.3595;15.7223
59.6132;15.8491
59.8669;15.8814
60.1205;15.8091
60.3742;15.65
60.6279;15.4561
60.8816;15.4603
61.1352;15.466
61.3889;15.4752
61.6426;15.3402
61.8963;15.3141
62.1499;15.3214
62.4036;15.303
62.6573;15.3082
62.911;15.2237
63.1646;15.2243
63.4183;15.2963
63.672;15.3321
63.9256;15.3001
64.1793;15.3808
64.433;15.4211
64.6867;15.3354
64.9403;15.2607
65.194;15.3241
65.4477;15.3611
65.7014;15.2549
65.955;15.2532
66.2087;15.3502
66.4624;15.3325
66.716;15.2839
66.9697;15.2917
67.2234;15.3417
67.4771;15.3396
67.7307;15.3926
67.9844;15.3731
68.2381;15.3824
68.4918;15.3738
68.7454;15.3962
68.9991;15.338
69.2528;15.4575
69.5065;15.5039
69.7601;15.4669
70.0138;15.5751
70.2675;15.5943
70.5211;15.6952
70.7748;15.7004
71.0285;15.7156
71.2822;15.6332
71.5358;15.5437
71.7895;15.5036
72.0432;15.5314
72.2969;15.5197
72.5505;15.5278
72.8042;15.5685
73.0579;15.4708
73.3116;15.4651
73.5652;15.3438
73.8189;15.5436
74.0726;15.5647
74.3262;15.5144
74.5799;15.5078
74.8336;15.4467
75.0873;15.4299
75.3409;15.4
75.5946;15.2794
75.8483;15.2857
76.102;15.2482
76.3556;15.2258
76.6093;15.2077
76.863;15.2652
77.1167;15.3081
77.3703;15.2427
77.624;15.1569
77.8777;15.2486
78.1313;15.2816
78.385;15.2762
78.6387;15.2168
78.8924;15.1315
79.146;15.0757
79.3997;15.0836
79.6534;15.0106
79.9071;15.0665
80.1607;15.0198
80.4144;15.0087
80.6681;14.8099
80.9218;14.751
81.1754;14.7418
81.4291;14.7801
81.6828;14.7655
81.9364;14.7982
82.1901;14.735
82.4438;14.7172
82.6975;14.6963
82.9511;14.71
83.2048;14.5804
83.4585;14.7259
83.7122;14.6853
83.9658;14.8724
84.2195;14.8162
84.4732;14.7219
84.7268;14.6623
84.9805;14.6287
85.2342;14.5106
85.4879;14.6611
85.7415;14.6602
85.9952;14.7724
86.2489;14.7208
86.5026;14.7148
86.7562;14.7112
87.0099;14.6767
87.2636;14.7047
87.5173;14.841
87.7709;14.8086
88.0246;14.7825
88.2783;14.7598
88.5319;14.7385
88.7856;14.7199
89.0393;14.6918
89.293;14.5766
89.5466;14.6117
89.8003;14.6046
90.054;14.7023
90.3077;14.746
90.5613;14.7232
90.815;14.719
91.0687;14.5503
91.3223;14.5796
91.576;14.7707
91.8297;14.7915
92.0834;14.7414
92.337;14.7345
92.5907;14.7846
92.8444;14.7957
93.0981;14.8249
93.3517;14.8233
93.6054;14.827
93.8591;14.7885
94.1128;14.792
94.3664;14.8471
94.6201;14.7325
94.8738;14.7262
95.1274;14.7579
95.3811;14.7603
95.6348;14.7826
95.8885;14.7112
96.1421;14.75
96.3958;14.7461
96.6495;14.7384
96.9032;14.7366
97.1568;14.7569
97.4105;14.8338
97.6642;14.8645
97.9179;14.7867
98.1715;15.0009
98.4252;14.8826
98.6789;14.9197
98.9325;14.9208
99.1862;14.9947
99.4399;15.013
99.6936;15.0976
99.9472;14.9535
100.201;14.9095
100.455;14.828
100.708;14.9563
100.962;14.9936
101.216;14.9465
101.469;14.8892
101.723;14.8783
101.977;14.7959
102.23;14.8025
102.484;14.6751
102.738;14.6895
102.991;14.6348
103.245;14.4761
103.499;14.3214
103.752;14.3014
104.006;14.2023
104.26;14.2107
104.513;14.1701
104.767;14.0525
105.021;14.2128
105.274;14.0794
105.528;13.9431
105.782;13.8926
106.035;13.9075
106.289;13.6224
106.543;13.573
106.796;13.463
107.05;13.3994
107.304;13.2836
107.557;13.1341
107.811;13.2121
108.065;13.3006
108.318;13.125
108.572;13.0897
108.826;12.9944
109.079;12.8995
109.333;12.6798
109.587;12.5276
109.84;12.5952
110.094;12.5041
110.348;12.4085
110.602;12.3997
110.855;12.5202
111.109;12.6614
111.363;12.7352
111.616;12.7266
111.87;12.7853
112.124;12.6607
112.377;12.5354
112.631;12.4991
112.885;12.384
113.138;12.2822
113.392;12.1962
113.646;12.1314
113.899;12.2021
114.153;12.2257
114.407;12.2357
114.66;12.3234
114.914;12.3294
115.168;12.3883
115.421;12.2812
115.675;12.1329
115.929;11.9772
116.182;11.7208
116.436;11.5623
116.69;11.4961
116.943;11.3915
117.197;11.5658
117.451;11.7799
117.704;11.7995
117.958;11.9209
118.212;12.0488
118.465;12.1641
118.719;12.0513
118.973;11.8397
119.226;11.678
119.48;11.5139
119.734;11.5289
119.987;11.4229
120.241;11.2222
120.495;11.3354
120.748;11.2564
121.002;11.2216
121.256;11.3404
121.509;11.4702
121.763;11.775
122.017;11.9757
122.27;11.7888
122.524;11.7146
122.778;11.794
123.032;11.8106
123.285;11.797
123.539;11.897
123.793;11.9488
124.046;12.0229
124.3;12.0207
124.554;12.3629
124.807;12.3968
125.061;12.3238
125.315;12.2971
125.568;12.3114
125.822;12.4705
126.076;12.7483
126.329;12.7765
126.583;12.9597
126.837;13.1102
127.09;13.2603
127.344;13.4452
127.598;13.3205
127.851;13.1813
128.105;13.2169
128.359;13.2524
128.612;13.4455
128.866;13.5201
129.12;13.5475
129.373;13.4946
129.627;13.6624
129.881;13.5822
130.134;13.8037
130.388;13.987
130.642;14.2344
130.895;14.5156
131.149;14.4442
131.403;14.3788
131.656;14.2669
131.91;14.2291
132.164;14.3217
132.417;14.3908
132.671;14.2385
132.925;14.3398
133.178;14.3852
133.432;14.509
133.686;14.6651
133.939;14.6674
134.193;14.5856
134.447;14.6625
134.7;14.7599
134.954;14.7168
135.208;14.6254
135.461;14.4863
135.715;14.574
135.969;14.6471
136.223;14.6721
136.476;14.6302
136.73;14.4686
136.984;14.3424
137.237;14.1495
137.491;13.8869
137.745;13.8043
137.998;13.9354
138.252;14.0755
138.506;13.9769
138.759;13.9191
139.013;13.7321
139.267;13.6413
139.52;13.7055
139.774;13.7839
140.028;13.8511
140.281;13.9368
140.535;14.0119
140.789;14.3435
141.042;14.2305
141.296;14.2181
141.55;14.1685
141.803;14.3146
142.057;14.5251
142.311;14.9058
142.564;15.1613
142.818;15.1864
143.072;14.7763
143.325;14.492
143.579;14.2704
143.833;14.2629
144.086;14.4007
144.34;14.5682
144.594;14.707
144.847;14.7424
145.101;14.5862
145.355;14.5088
145.608;14.5871
145.862;14.6425
146.116;14.7238
146.369;14.9117
146.623;14.9861
146.877;14.9114
147.13;14.7586
147.384;14.7466
147.638;14.8211
147.891;14.7979
148.145;14.6396
148.399;14.7319
148.652;14.8558
148.906;15.069
149.16;15.2801
149.414;15.4229
149.667;15.4448
149.921;15.1879
150.175;15.0152
150.428;14.8737
150.682;15.0204
150.936;15.1317
151.189;15.1973
151.443;15.3248
151.697;15.4848
151.95;15.5708
152.204;15.4874
152.458;15.3502
152.711;15.3242
152.965;15.1927
153.219;15.2049
153.472;15.231
153.726;15.3099
153.98;15.3928
154.233;15.3804
154.487;15.3016
154.741;15.2727
154.994;15.4562
155.248;15.4908
155.502;15.5857
155.755;15.5131
156.009;15.3495
156.263;15.2311
156.516;15.1647
156.77;15.1425
157.024;15.3616
157.277;15.4123
157.531;15.4541
157.785;15.2854
158.038;15.3921
158.292;15.4369
158.546;15.5163
158.799;15.4193
159.053;15.5408
159.307;15.5295
159.56;15.4986
159.814;15.2773
160.068;15.1669
160.321;15.1879
160.575;15.1191
160.829;15.081
161.082;15.3227
161.336;15.3147
161.59;15.3534
161.844;15.3057
162.097;15.0991
162.351;15.0562
162.605;14.9725
162.858;14.9129
163.112;15.0605
163.366;15.103
163.619;15.1217
163.873;15.1611
164.127;15.1408
164.38;15.1488
164.634;15.1985
164.888;15.1603
165.141;15.4107
165.395;15.3636
165.649;15.3089
165.902;15.1924
166.156;15.1356
166.41;15.1231
166.663;15.1801
166.917;15.1243
167.171;15.2389
167.424;15.3468
167.678;15.2586
167.932;15.2213
168.185;15.1368
168.439;15.0534
168.693;15.1411
168.946;15.1911
169.2;15.1681
169.454;15.1285
169.707;15.0215
169.961;14.9168
170.215;14.8375
170.468;14.824
170.722;14.8903
170.976;14.9036
171.229;14.9313
171.483;14.9881
171.737;14.9036
171.99;14.9211
172.244;14.9888
172.498;14.988
172.751;14.9679
173.005;14.974
173.259;14.898
173.512;15.0383
173.766;15.0478
174.02;15.066
174.273;15.1052
174.527;15.1491
174.781;15.2354
175.035;15.2358
175.288;15.2065
175.542;15.1163
175.796;15.0071
176.049;15.0927
176.303;15.3165
176.557;15.3283
176.81;15.2111
177.064;15.1658
177.318;15.14
177.571;15.2527
177.825;15.3998
178.079;15.3275
178.332;15.4775
178.586;15.5675
178.84;15.5514
179.093;15.5127
179.347;15.5538
179.601;15.545
179.854;15.5542
180.108;15.4939
180.362;15.4821
180.615;15.6093
180.869;15.5106
181.123;15.4225
181.376;15.504
181.63;15.4677
181.884;15.3014
182.137;15.1361
182.391;15.076
182.645;15.2295
182.898;15.1488
183.152;15.087
183.406;15.1753
183.659;15.1813
183.913;15.066
184.167;15.1177
184.42;14.9669
184.674;14.9938
184.928;15.0941
185.181;15.0779
185.435;15.22
185.689;15.1238
185.942;15.1419
186.196;15.1901
186.45;15.1879
186.703;15.2377
186.957;15.2757
187.211;15.3802
187.464;15.622
187.718;15.5646
187.972;15.3982
188.226;15.2081
188.479;15.2775
188.733;15.2475
188.987;15.2331
189.24;15.1108
189.494;15.0099
189.748;14.9966
190.001;14.9077
190.255;14.8728
190.509;14.8886
190.762;14.8375
191.016;14.9146
191.27;14.9152
191.523;14.8522
191.777;14.8595
192.031;14.9241
192.284;14.9208
192.538;14.9354
192.792;14.7906
193.045;14.8214
193.299;14.7208
193.553;14.6288
193.806;14.6692
194.06;14.6263
194.314;14.679
194.567;14.8047
194.821;14.7448
195.075;14.8131
195.328;14.8887
195.582;14.7625
195.836;14.7869
196.089;14.748
196.343;14.66
196.597;14.6668
196.85;14.5452
197.104;14.3084
197.358;14.1857
197.611;14.0632
197.865;14.1448
198.119;14.1895
198.372;14.1128
198.626;13.8149
198.88;13.6492
199.133;13.5745
199.387;13.6671
199.641;13.8319
199.894;13.8669
200.148;14.0982
200.402;14.1885
200.656;14.1994
200.909;14.0805
201.163;14.0342
201.417;14.0651
201.67;14.2676
201.924;14.3288
202.178;14.5063
202.431;14.5635
