Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 03:23:35
Device temperature = 26.4927
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJRB0/EN
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;23.7781
0.253673;22.5277
0.507346;20.9582
0.76102;19.92
1.01469;20.1461
1.26837;20.0788
1.52204;19.8814
1.77571;19.384
2.02939;19.2843
2.28306;19.8202
2.53673;19.8756
2.79041;19.973
3.04408;19.9403
3.29775;19.8416
3.55142;19.7681
3.8051;19.7596
4.05877;19.6628
4.31244;19.5243
4.56612;19.5121
4.81979;19.438
5.07346;19.4798
5.32714;19.4621
5.58081;19.5232
5.83448;19.5547
6.08816;19.6712
6.34183;19.7241
6.5955;19.7774
6.84918;19.779
7.10285;19.8474
7.35652;19.8057
7.6102;19.8119
7.86387;19.6886
8.11754;19.693
8.37122;19.6864
8.62489;19.7133
8.87856;19.7943
9.13223;19.9452
9.38591;19.8374
9.63958;19.9075
9.89325;19.7973
10.1469;19.7931
10.4006;19.8133
10.6543;19.8104
10.9079;19.8252
11.1616;19.7203
11.4153;19.6586
11.669;19.7329
11.9226;19.7381
12.1763;19.7297
12.43;19.6966
12.6837;19.6717
12.9373;19.7484
13.191;19.7216
13.4447;19.7714
13.6984;19.8811
13.952;19.7391
14.2057;19.756
14.4594;19.6449
14.713;19.8159
14.9667;19.8187
15.2204;19.8778
15.4741;19.8197
15.7277;19.7887
15.9814;19.7492
16.2351;19.6939
16.4888;19.7507
16.7424;19.8071
16.9961;19.862
17.2498;19.8959
17.5035;19.7173
17.7571;19.7207
18.0108;19.7361
18.2645;19.7438
18.5181;19.7227
18.7718;19.7068
19.0255;19.6182
19.2792;19.7993
19.5328;19.7915
19.7865;19.807
20.0402;19.7097
20.2939;19.7317
20.5475;19.6657
20.8012;19.7184
21.0549;19.7039
21.3085;19.7563
21.5622;19.693
21.8159;19.6847
22.0696;19.6901
22.3232;19.7404
22.5769;19.7186
22.8306;19.8426
23.0843;19.7782
23.3379;19.7957
23.5916;19.7415
23.8453;19.6628
24.099;19.7128
24.3526;19.6588
24.6063;19.7004
24.86;19.7169
25.1136;19.6557
25.3673;19.6815
25.621;19.6889
25.8747;19.6482
26.1283;19.5475
26.382;19.5864
26.6357;19.4534
26.8894;19.3942
27.143;19.5218
27.3967;19.6196
27.6504;19.5473
27.9041;19.4526
28.1577;19.3779
28.4114;19.3026
28.6651;18.9037
28.9187;17.9169
29.1724;15.307
29.4261;14.1543
29.6798;13.7786
29.9334;13.7702
30.1871;13.7216
30.4408;13.6559
30.6945;13.5753
30.9481;13.5804
31.2018;13.5905
31.4555;13.6316
31.7092;13.5858
31.9628;13.6525
32.2165;13.705
32.4702;13.7786
32.7238;13.8571
32.9775;13.9979
33.2312;13.9143
33.4849;13.9064
33.7385;13.7433
33.9922;13.8296
34.2459;13.7288
34.4996;13.7337
34.7532;13.7519
35.0069;13.868
35.2606;13.7464
35.5142;13.6336
35.7679;13.4765
36.0216;13.3963
