Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 00:53:35
Device temperature = 26.5036
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJRB1Adf
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;25.1037
0.253673;24.2878
0.507346;23.0534
0.76102;22.4728
1.01469;22.9715
1.26837;23.1821
1.52204;23.438
1.77571;23.1374
2.02939;23.046
2.28306;23.4893
2.53673;23.4252
2.79041;23.4747
3.04408;23.5171
3.29775;23.4672
3.55142;23.7401
3.8051;23.9057
4.05877;23.804
4.31244;23.6335
4.56612;23.4606
4.81979;23.4004
5.07346;23.3348
5.32714;23.2985
5.58081;23.4018
5.83448;23.5255
6.08816;23.7291
6.34183;23.7085
6.5955;23.5942
6.84918;23.6942
7.10285;23.7463
7.35652;23.9292
7.6102;24.0874
7.86387;24.0361
8.11754;23.9104
8.37122;23.8007
8.62489;23.9044
8.87856;24.0295
9.13223;24.091
9.38591;23.9695
9.63958;23.9452
9.89325;23.7871
10.1469;23.8988
10.4006;24.0647
10.6543;24.1142
10.9079;23.9703
11.1616;23.8333
11.4153;23.7625
11.669;23.8141
11.9226;23.9115
12.1763;24.001
12.43;24.0384
12.6837;23.8799
12.9373;23.7704
13.191;23.8618
13.4447;23.8719
13.6984;24.0318
13.952;23.9724
14.2057;23.8517
14.4594;23.744
14.713;23.6867
14.9667;23.9829
15.2204;24.0056
15.4741;23.9843
15.7277;23.8178
15.9814;23.6539
16.2351;23.6469
16.4888;23.7447
16.7424;23.9595
16.9961;23.8942
17.2498;23.8501
