Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 01:03:35
Device temperature = 26.8255
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJRB1pqg
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;25.2655
0.253673;24.3679
0.507346;23.1906
0.76102;22.4441
1.01469;22.8459
1.26837;23.0783
1.52204;23.1779
1.77571;22.9702
2.02939;22.8398
2.28306;23.2032
2.53673;23.3457
2.79041;23.2901
3.04408;23.325
3.29775;23.4101
3.55142;23.5221
3.8051;23.5734
4.05877;23.457
4.31244;23.3602
4.56612;23.1861
4.81979;23.1055
5.07346;23.1213
5.32714;23.0959
5.58081;23.1538
5.83448;23.3563
6.08816;23.3543
6.34183;23.4789
6.5955;23.3618
6.84918;23.4148
7.10285;23.5626
7.35652;23.7763
7.6102;23.8996
7.86387;23.6602
8.11754;23.639
8.37122;23.6032
8.62489;23.5494
8.87856;23.784
9.13223;23.8659
9.38591;23.7728
9.63958;23.7969
9.89325;23.6684
10.1469;23.7366
10.4006;23.757
10.6543;23.7799
10.9079;23.6833
11.1616;23.5899
11.4153;23.5118
11.669;23.5893
11.9226;23.7348
12.1763;23.7565
12.43;23.7803
12.6837;23.6736
12.9373;23.5173
13.191;23.6311
13.4447;23.6281
13.6984;23.6955
13.952;23.7114
14.2057;23.6305
14.4594;23.5479
14.713;23.4886
14.9667;23.6945
15.2204;23.7428
15.4741;23.6745
15.7277;23.5317
15.9814;23.3263
16.2351;23.3953
16.4888;23.5833
16.7424;23.7171
16.9961;23.7725
17.2498;23.6021
17.5035;23.491
17.7571;23.4578
18.0108;23.5651
18.2645;23.7055
18.5181;23.6826
18.7718;23.6437
19.0255;23.4215
19.2792;23.4552
19.5328;23.4911
19.7865;23.4965
20.0402;23.4801
20.2939;23.4221
20.5475;23.3163
20.8012;23.3615
21.0549;23.5335
21.3085;23.6357
21.5622;23.5324
21.8159;23.4702
22.0696;23.3882
22.3232;23.4108
22.5769;23.6186
22.8306;23.694
23.0843;23.4983
23.3379;23.3929
23.5916;23.3375
23.8453;23.3347
