Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 01:13:35
Device temperature = 27.0812
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJRB2KZM
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;25.4213
0.253673;24.4328
0.507346;23.1808
0.76102;22.4071
1.01469;22.739
1.26837;22.8447
1.52204;22.9819
1.77571;22.7205
2.02939;22.6345
2.28306;22.9979
2.53673;22.9962
2.79041;23.1514
3.04408;23.124
3.29775;23.137
3.55142;23.2407
3.8051;23.2558
4.05877;23.2031
4.31244;23.095
4.56612;22.9089
4.81979;22.8116
5.07346;22.8791
5.32714;22.8247
5.58081;22.8654
5.83448;22.9956
6.08816;23.075
6.34183;23.1634
6.5955;23.066
6.84918;23.2289
7.10285;23.365
7.35652;23.4911
7.6102;23.524
7.86387;23.4587
8.11754;23.2791
8.37122;23.1946
8.62489;23.2235
8.87856;23.454
9.13223;23.5287
9.38591;23.5298
9.63958;23.5702
9.89325;23.322
10.1469;23.4007
10.4006;23.3672
10.6543;23.405
10.9079;23.4125
11.1616;23.2186
11.4153;23.2656
11.669;23.3398
11.9226;23.3966
12.1763;23.4678
12.43;23.3216
12.6837;23.3001
12.9373;23.271
13.191;23.2346
13.4447;23.4311
13.6984;23.5222
13.952;23.3969
14.2057;23.2787
14.4594;23.1242
14.713;23.3019
14.9667;23.4146
15.2204;23.3907
15.4741;23.4482
15.7277;23.2134
15.9814;23.1204
16.2351;23.1182
16.4888;23.1637
16.7424;23.3887
16.9961;23.3429
17.2498;23.3307
17.5035;23.291
17.7571;23.2569
18.0108;23.3578
18.2645;23.3773
18.5181;23.2612
18.7718;23.3237
19.0255;23.1151
19.2792;23.1898
19.5328;23.2042
19.7865;23.3349
20.0402;23.3271
20.2939;23.1535
20.5475;23.0935
20.8012;23.1264
21.0549;23.2578
21.3085;23.2895
21.5622;23.2041
21.8159;23.127
22.0696;23.2048
22.3232;23.1787
22.5769;23.3227
22.8306;23.3218
23.0843;23.4271
23.3379;23.1847
23.5916;23.12
23.8453;23.0615
24.099;23.1796
24.3526;23.2247
24.6063;23.311
24.86;23.1659
25.1136;22.9842
25.3673;22.9268
25.621;22.984
25.8747;23.1026
26.1283;23.2153
26.382;23.05
26.6357;22.9933
26.8894;22.7815
27.143;22.9685
27.3967;23.1069
27.6504;23.168
27.9041;23.0988
28.1577;22.9462
28.4114;22.6908
28.6651;22.2585
28.9187;21.1312
29.1724;18.3975
29.4261;17.0151
29.6798;16.534
29.9334;16.4246
30.1871;16.305
30.4408;16.3008
30.6945;16.2443
30.9481;16.0153
31.2018;15.9491
31.4555;15.9068
31.7092;16.0076
31.9628;16.0131
32.2165;16.0903
32.4702;16.3125
32.7238;16.6546
32.9775;16.9458
33.2312;16.803
33.4849;16.3512
33.7385;16.4571
33.9922;16.4653
34.2459;16.5641
34.4996;16.6677
34.7532;16.7602
35.0069;16.8776
35.2606;16.3741
35.5142;16.0075
35.7679;15.9163
36.0216;15.777
36.2753;15.573
36.5289;15.3963
36.7826;15.4417
37.0363;15.5485
37.29;15.4374
37.5436;15.3665
37.7973;15.4358
38.051;15.4127
38.3047;15.3876
38.5583;15.4149
38.812;15.3616
39.0657;15.3894
39.3193;15.3291
39.573;15.2931
39.8267;15.3092
40.0804;15.3204
40.334;15.3942
40.5877;15.3572
40.8414;15.2853
41.0951;15.3794
41.3487;15.257
41.6024;15.2502
41.8561;15.3487
42.1097;15.3151
42.3634;15.3357
42.6171;15.3305
42.8708;15.3078
43.1244;15.4239
43.3781;15.3775
43.6318;15.4146
43.8855;15.4265
44.1391;15.4919
44.3928;15.5154
44.6465;15.5708
44.9002;15.6482
45.1538;15.6214
45.4075;15.521
45.6612;15.472
45.9148;15.335
46.1685;15.1662
46.4222;15.2278
46.6759;15.2135
46.9295;15.1838
47.1832;15.0775
47.4369;15.0072
47.6906;14.9363
47.9442;14.896
48.1979;14.8602
48.4516;14.9682
48.7053;14.9916
48.9589;14.9324
49.2126;14.8552
49.4663;15.095
49.7199;15.0516
49.9736;15.0901
50.2273;15.0772
50.481;15.1427
50.7346;15.1402
50.9883;15.1017
51.242;14.9721
51.4957;15.1046
51.7493;15.0901
52.003;15.0816
52.2567;15.0977
52.5104;15.1012
52.764;15.0289
53.0177;14.9284
53.2714;14.9831
53.525;15.06
53.7787;15.0576
54.0324;15.1426
54.2861;15.3355
54.5397;15.1406
54.7934;15.0952
55.0471;14.939
55.3008;14.8968
55.5544;14.8703
55.8081;14.7835
56.0618;14.8973
56.3154;14.8643
56.5691;14.8329
56.8228;14.967
57.0765;14.9173
57.3301;15.0394
57.5838;15.0214
57.8375;14.9911
58.0912;15.0963
58.3448;15.0362
58.5985;14.795
58.8522;14.7971
59.1059;14.8012
59.3595;14.8814
59.6132;14.858
59.8669;14.9148
60.1205;14.9231
60.3742;14.8027
60.6279;14.6217
60.8816;14.6078
61.1352;14.477
61.3889;14.6921
61.6426;14.4223
61.8963;14.3802
62.1499;14.4517
62.4036;14.4074
62.6573;14.4672
62.911;14.4182
63.1646;14.2752
63.4183;14.3186
63.672;14.4219
63.9256;14.4064
64.1793;14.3875
64.433;14.3889
64.6867;14.4864
64.9403;14.3317
65.194;14.3612
65.4477;14.3853
65.7014;14.3585
65.955;14.3261
66.2087;14.3448
66.4624;14.452
66.716;14.4668
66.9697;14.3861
67.2234;14.392
67.4771;14.3772
67.7307;14.4699
67.9844;14.5487
68.2381;14.5235
68.4918;14.452
68.7454;14.4431
68.9991;14.4644
69.2528;14.4457
69.5065;14.4863
69.7601;14.6259
70.0138;14.666
70.2675;14.783
70.5211;14.933
70.7748;14.9631
71.0285;14.8221
71.2822;14.7757
71.5358;14.6205
71.7895;14.6473
72.0432;14.699
72.2969;14.7894
72.5505;14.732
72.8042;14.7411
73.0579;14.6573
73.3116;14.6191
73.5652;14.6071
73.8189;14.6637
74.0726;14.6749
74.3262;14.6173
74.5799;14.6985
74.8336;14.6337
75.0873;14.5091
75.3409;14.4677
75.5946;14.4602
75.8483;14.304
76.102;14.2967
76.3556;14.4333
76.6093;14.4958
76.863;14.4879
77.1167;14.5775
77.3703;14.4462
77.624;14.4937
