Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 14:03:36
Device temperature = 18.9375
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBl4AA
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;16.7395
0.253673;15.773
0.507346;14.4224
0.76102;13.4912
1.01469;13.6084
1.26837;13.5596
1.52204;13.483
1.77571;12.8275
2.02939;12.7064
2.28306;12.9918
2.53673;12.9163
2.79041;12.9315
3.04408;12.8671
3.29775;12.7822
3.55142;12.8252
3.8051;12.6897
4.05877;12.7309
4.31244;12.7418
4.56612;12.7669
4.81979;12.7659
5.07346;12.7994
5.32714;12.8233
5.58081;12.7145
5.83448;12.7242
6.08816;12.5719
6.34183;12.6441
6.5955;12.6188
6.84918;12.5869
7.10285;12.556
7.35652;12.4665
7.6102;12.529
7.86387;12.5072
8.11754;12.5159
8.37122;12.6115
8.62489;12.5033
8.87856;12.422
9.13223;12.4823
9.38591;12.4384
9.63958;12.5106
9.89325;12.5017
10.1469;12.4976
10.4006;12.4663
10.6543;12.5306
10.9079;12.4762
11.1616;12.52
11.4153;12.4937
11.669;12.5561
11.9226;12.4829
12.1763;12.4037
12.43;12.3983
12.6837;12.4487
12.9373;12.3647
13.191;12.3926
13.4447;12.4226
13.6984;12.4719
13.952;12.4089
14.2057;12.4161
14.4594;12.4978
14.713;12.3708
14.9667;12.3999
15.2204;12.4226
15.4741;12.4368
15.7277;12.4794
15.9814;12.5018
16.2351;12.4299
16.4888;12.4325
16.7424;12.3836
16.9961;12.3972
17.2498;12.4225
17.5035;12.4624
17.7571;12.4314
18.0108;12.3594
18.2645;12.3843
18.5181;12.3193
18.7718;12.4997
19.0255;12.4264
19.2792;12.3712
19.5328;12.4709
19.7865;12.4265
20.0402;12.4401
20.2939;12.4386
20.5475;12.392
20.8012;12.4757
21.0549;12.3922
21.3085;12.3658
21.5622;12.4539
21.8159;12.3888
22.0696;12.4262
22.3232;12.4544
22.5769;12.4398
22.8306;12.394
23.0843;12.4353
23.3379;12.4369
23.5916;12.5236
23.8453;12.4946
24.099;12.4817
24.3526;12.4256
24.6063;12.4033
24.86;12.3728
25.1136;12.4105
25.3673;12.4479
25.621;12.4896
25.8747;12.4774
26.1283;12.5108
26.382;12.5135
26.6357;12.4424
26.8894;12.4662
27.143;12.4005
27.3967;12.4293
27.6504;12.4158
27.9041;12.3953
28.1577;12.4809
28.4114;12.4263
28.6651;12.4752
28.9187;12.4992
29.1724;12.6529
29.4261;12.7047
29.6798;12.6605
29.9334;12.8465
30.1871;12.6881
30.4408;12.6826
30.6945;12.6101
30.9481;12.5939
31.2018;12.5634
31.4555;12.6088
31.7092;12.6685
31.9628;12.6526
32.2165;12.6955
32.4702;12.5656
32.7238;12.4835
32.9775;12.309
33.2312;12.3223
33.4849;12.3747
33.7385;12.4261
33.9922;12.4486
34.2459;12.3301
