Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 14:23:36
Device temperature = 18.9401
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBl4VT
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;16.7588
0.253673;15.7984
0.507346;14.3862
0.76102;13.5864
1.01469;13.7779
1.26837;13.6897
1.52204;13.5816
1.77571;12.9897
2.02939;12.8747
2.28306;13.0553
2.53673;13.0752
2.79041;13.0203
3.04408;12.9504
3.29775;12.9017
3.55142;12.8701
3.8051;12.7968
4.05877;12.89
4.31244;12.8841
4.56612;12.9639
4.81979;13.0176
5.07346;12.9634
5.32714;13.0358
5.58081;12.8588
5.83448;12.8087
6.08816;12.8762
6.34183;12.7409
6.5955;12.7591
6.84918;12.669
7.10285;12.7535
7.35652;12.6431
7.6102;12.7604
7.86387;12.7354
8.11754;12.7091
8.37122;12.6774
8.62489;12.6776
8.87856;12.6683
9.13223;12.6536
9.38591;12.6532
9.63958;12.6053
9.89325;12.5867
10.1469;12.6485
10.4006;12.6121
10.6543;12.602
10.9079;12.6168
11.1616;12.7222
11.4153;12.6219
11.669;12.5976
11.9226;12.613
12.1763;12.5405
12.43;12.5575
12.6837;12.5841
12.9373;12.5704
13.191;12.6405
13.4447;12.5413
13.6984;12.5766
13.952;12.5475
14.2057;12.6175
14.4594;12.5953
14.713;12.6208
14.9667;12.5917
15.2204;12.5391
15.4741;12.5266
15.7277;12.5911
15.9814;12.5766
16.2351;12.6579
16.4888;12.5734
16.7424;12.6118
16.9961;12.4979
17.2498;12.5718
17.5035;12.5678
17.7571;12.5731
18.0108;12.5375
18.2645;12.6281
18.5181;12.5982
18.7718;12.5558
19.0255;12.4797
19.2792;12.5738
19.5328;12.5646
19.7865;12.5334
20.0402;12.5562
20.2939;12.5935
20.5475;12.6204
20.8012;12.5187
21.0549;12.5225
21.3085;12.5394
21.5622;12.6019
21.8159;12.5849
22.0696;12.6082
22.3232;12.5766
22.5769;12.5701
22.8306;12.5824
23.0843;12.5806
23.3379;12.6465
23.5916;12.6415
23.8453;12.5536
24.099;12.5894
24.3526;12.5654
24.6063;12.6499
24.86;12.5941
25.1136;12.6116
25.3673;12.6088
25.621;12.6374
25.8747;12.5644
26.1283;12.5648
26.382;12.7082
26.6357;12.6903
26.8894;12.6661
27.143;12.6828
27.3967;12.6304
27.6504;12.5839
27.9041;12.5676
28.1577;12.6375
28.4114;12.7071
28.6651;12.7149
28.9187;12.9865
29.1724;13.285
29.4261;13.4174
29.6798;13.4867
29.9334;13.494
