Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 13:53:36
Device temperature = 18.9635
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBl7U/
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;16.6607
0.253673;15.6632
0.507346;14.3025
0.76102;13.4168
1.01469;13.5857
1.26837;13.5759
1.52204;13.4216
1.77571;12.8316
2.02939;12.5987
2.28306;12.9603
2.53673;12.9219
2.79041;12.8234
3.04408;12.8484
3.29775;12.7832
3.55142;12.6778
3.8051;12.596
4.05877;12.6546
4.31244;12.7171
4.56612;12.6871
4.81979;12.737
5.07346;12.7526
5.32714;12.7631
5.58081;12.6293
5.83448;12.6355
6.08816;12.6045
6.34183;12.5599
6.5955;12.5273
6.84918;12.4791
7.10285;12.5029
7.35652;12.4511
7.6102;12.4479
7.86387;12.3878
8.11754;12.4298
8.37122;12.4455
8.62489;12.4123
8.87856;12.3371
9.13223;12.4075
9.38591;12.4628
9.63958;12.4911
9.89325;12.3956
10.1469;12.3102
10.4006;12.3776
10.6543;12.3453
10.9079;12.3557
11.1616;12.3688
11.4153;12.4643
11.669;12.3406
11.9226;12.3424
12.1763;12.3462
12.43;12.3803
12.6837;12.3467
12.9373;12.2895
13.191;12.3414
13.4447;12.4091
13.6984;12.4308
13.952;12.3079
14.2057;12.413
14.4594;12.3791
14.713;12.3717
14.9667;12.3621
15.2204;12.4247
15.4741;12.42
15.7277;12.4265
15.9814;12.3985
16.2351;12.4132
16.4888;12.2963
16.7424;12.3372
16.9961;12.3122
17.2498;12.3531
17.5035;12.4511
17.7571;12.3566
