Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 14:33:36
Device temperature = 18.9813
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBl9m0
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;16.8393
0.253673;15.8745
0.507346;14.4823
0.76102;13.6991
1.01469;13.8696
1.26837;13.8171
1.52204;13.6754
1.77571;13.0688
2.02939;12.9914
2.28306;13.2348
2.53673;13.1751
2.79041;13.1154
3.04408;13.0962
3.29775;12.9764
3.55142;13.0236
3.8051;12.9104
4.05877;12.9407
4.31244;12.9738
4.56612;13.031
4.81979;13.1034
5.07346;13.0938
5.32714;13.0637
5.58081;13.0347
5.83448;12.9711
6.08816;12.9573
6.34183;12.9191
6.5955;12.9474
6.84918;12.8451
7.10285;12.8919
7.35652;12.8316
7.6102;12.8356
7.86387;12.7798
8.11754;12.8377
8.37122;12.7999
8.62489;12.7562
8.87856;12.74
9.13223;12.7961
9.38591;12.7398
9.63958;12.7688
9.89325;12.781
10.1469;12.7834
10.4006;12.7036
10.6543;12.6738
10.9079;12.7641
11.1616;12.7739
11.4153;12.8531
11.669;12.7992
11.9226;12.7723
12.1763;12.7254
12.43;12.7216
12.6837;12.7251
12.9373;12.6979
13.191;12.8056
13.4447;12.7916
13.6984;12.741
13.952;12.7218
14.2057;12.7615
14.4594;12.7044
14.713;12.7381
14.9667;12.726
15.2204;12.7747
15.4741;12.7486
15.7277;12.7921
15.9814;12.7416
16.2351;12.7924
16.4888;12.7309
16.7424;12.6007
16.9961;12.6462
17.2498;12.7046
17.5035;12.7697
17.7571;12.798
18.0108;12.7742
18.2645;12.7581
18.5181;12.6362
18.7718;12.6104
19.0255;12.6657
19.2792;12.6969
19.5328;12.7212
19.7865;12.7313
20.0402;12.6906
20.2939;12.7587
20.5475;12.6928
20.8012;12.6941
21.0549;12.6768
21.3085;12.7293
21.5622;12.7548
21.8159;12.746
22.0696;12.6497
22.3232;12.7307
22.5769;12.68
22.8306;12.6438
23.0843;12.6261
23.3379;12.7153
23.5916;12.7723
23.8453;12.7521
24.099;12.657
24.3526;12.6871
24.6063;12.6961
24.86;12.739
25.1136;12.6795
25.3673;12.7283
25.621;12.7036
25.8747;12.8065
26.1283;12.7287
26.382;12.8078
26.6357;12.787
26.8894;12.7647
27.143;12.7499
27.3967;12.666
27.6504;12.6486
27.9041;12.7809
28.1577;12.7227
28.4114;12.8882
28.6651;12.9172
28.9187;13.2001
29.1724;13.6912
29.4261;13.8139
29.6798;13.8138
29.9334;13.8452
30.1871;13.7952
30.4408;13.7919
30.6945;13.734
30.9481;13.6789
31.2018;13.7334
31.4555;13.766
31.7092;13.7633
31.9628;13.7798
32.2165;13.7365
32.4702;13.6164
32.7238;13.4075
32.9775;13.3681
33.2312;13.334
33.4849;13.4947
33.7385;13.4954
33.9922;13.5122
34.2459;13.4325
34.4996;13.3128
34.7532;13.1794
35.0069;13.1353
35.2606;13.3324
35.5142;13.5027
35.7679;13.5734
36.0216;13.6739
36.2753;13.5836
36.5289;13.4971
36.7826;13.497
37.0363;13.4285
37.29;13.3915
37.5436;13.3548
37.7973;13.315
38.051;13.2688
38.3047;13.2773
38.5583;13.2745
38.812;13.2015
39.0657;13.2126
39.3193;13.1128
39.573;13.0599
39.8267;13.0929
40.0804;13.141
40.334;13.2442
40.5877;13.376
40.8414;13.2374
41.0951;13.3355
41.3487;13.3493
41.6024;13.3417
41.8561;13.448
42.1097;13.5502
42.3634;13.5678
42.6171;13.6641
42.8708;13.5405
43.1244;13.4993
43.3781;13.3852
43.6318;13.4442
43.8855;13.4994
44.1391;13.7028
44.3928;14.0375
44.6465;14.172
44.9002;14.1203
45.1538;14.0955
45.4075;14.0646
45.6612;14.0401
45.9148;14.0168
46.1685;13.9382
46.4222;13.9043
46.6759;13.8612
46.9295;13.7415
47.1832;13.8163
47.4369;13.7142
47.6906;13.7557
47.9442;13.7494
48.1979;13.9395
48.4516;14.114
48.7053;14.2013
48.9589;14.0751
49.2126;14.141
49.4663;14.0164
49.7199;14.22
49.9736;14.6653
50.2273;15.3818
50.481;16.4445
50.7346;16.3081
50.9883;15.8411
51.242;15.7429
51.4957;16.5286
51.7493;16.9521
52.003;16.8297
52.2567;16.3934
52.5104;15.2273
52.764;14.88
53.0177;14.6059
53.2714;14.3494
53.525;14.054
53.7787;14.0237
54.0324;14.016
54.2861;13.9882
54.5397;13.7893
54.7934;13.9238
55.0471;13.9628
55.3008;14.1484
55.5544;14.3758
55.8081;14.4763
56.0618;14.43
56.3154;14.313
56.5691;14.0004
56.8228;13.9164
57.0765;13.9235
57.3301;13.9007
57.5838;14.0386
57.8375;14.1433
58.0912;14.1448
58.3448;14.1276
58.5985;14.1256
58.8522;14.1798
59.1059;14.169
59.3595;14.2201
59.6132;14.544
59.8669;14.7638
60.1205;14.8906
60.3742;14.8998
60.6279;14.7945
60.8816;14.7902
61.1352;14.6523
61.3889;14.5048
61.6426;14.5654
61.8963;14.7924
62.1499;15.0342
62.4036;15.0956
62.6573;15.064
62.911;15.1745
63.1646;15.141
63.4183;15.3107
63.672;15.7291
63.9256;15.989
64.1793;16.2372
64.433;16.397
64.6867;16.3361
64.9403;16.4327
65.194;16.5595
65.4477;16.6729
65.7014;16.6112
65.955;16.277
66.2087;16.0265
66.4624;15.9074
66.716;15.5988
66.9697;15.5201
67.2234;15.4425
67.4771;15.364
67.7307;15.1132
67.9844;14.8723
68.2381;14.7408
68.4918;14.67
68.7454;14.829
68.9991;14.9538
69.2528;14.9537
69.5065;15.0886
69.7601;15.2541
70.0138;15.3142
70.2675;15.3586
70.5211;15.3533
70.7748;14.878
71.0285;14.7171
71.2822;14.5072
71.5358;14.5142
71.7895;14.6843
72.0432;14.6966
72.2969;14.5977
72.5505;14.4405
72.8042;14.3456
73.0579;14.4565
73.3116;14.4597
73.5652;14.6325
73.8189;14.7407
74.0726;14.8336
74.3262;14.8386
74.5799;14.8041
74.8336;14.5476
75.0873;14.4547
75.3409;14.3516
75.5946;14.3808
75.8483;14.4086
76.102;14.564
76.3556;14.4932
76.6093;14.5693
76.863;14.7168
77.1167;14.7575
77.3703;14.7675
77.624;14.7922
77.8777;14.9595
78.1313;14.9935
78.385;15.1126
78.6387;15.3313
78.8924;15.2856
79.146;15.2943
79.3997;15.3247
79.6534;15.5798
79.9071;16.5006
80.1607;16.7259
80.4144;16.6984
80.6681;16.4426
80.9218;15.7852
81.1754;15.3128
81.4291;14.8923
81.6828;14.5315
81.9364;14.4252
82.1901;14.4606
82.4438;14.4641
82.6975;14.5534
82.9511;14.8137
83.2048;15.0889
83.4585;15.3985
83.7122;15.8388
83.9658;15.9651
84.2195;15.7259
84.4732;15.3436
84.7268;15.0718
84.9805;14.7962
85.2342;14.6977
85.4879;14.5776
85.7415;14.5942
85.9952;14.5687
86.2489;14.6529
86.5026;14.6828
86.7562;14.6426
87.0099;14.6669
87.2636;14.6371
87.5173;14.6355
87.7709;14.6687
88.0246;14.7353
88.2783;14.7985
88.5319;14.7893
88.7856;14.7974
89.0393;14.9372
89.293;14.875
89.5466;14.7677
89.8003;14.8218
