Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 13:33:36
Device temperature = 19.0021
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBmARN
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;16.711
0.253673;15.5999
0.507346;14.2449
0.76102;13.3913
1.01469;13.4779
1.26837;13.4822
1.52204;13.2852
1.77571;12.7442
2.02939;12.589
2.28306;12.9622
2.53673;12.8641
2.79041;12.8207
3.04408;12.7836
3.29775;12.7422
3.55142;12.5385
3.8051;12.6098
4.05877;12.6112
4.31244;12.5612
4.56612;12.6472
4.81979;12.5629
5.07346;12.6
5.32714;12.6468
5.58081;12.6153
5.83448;12.6049
6.08816;12.484
6.34183;12.4645
6.5955;12.4778
6.84918;12.4287
7.10285;12.3711
7.35652;12.3652
7.6102;12.3015
7.86387;12.3695
8.11754;12.3532
8.37122;12.3516
8.62489;12.3264
8.87856;12.2992
9.13223;12.3841
9.38591;12.4008
9.63958;12.2718
9.89325;12.3196
10.1469;12.2664
10.4006;12.3147
10.6543;12.2293
10.9079;12.2669
11.1616;12.2908
11.4153;12.3946
11.669;12.3347
11.9226;12.2787
12.1763;12.2584
12.43;12.2557
12.6837;12.2645
12.9373;12.264
13.191;12.2274
13.4447;12.2847
13.6984;12.3171
13.952;12.3431
14.2057;12.2919
14.4594;12.3362
14.713;12.2879
14.9667;12.2535
15.2204;12.2943
15.4741;12.2597
15.7277;12.2998
15.9814;12.3125
16.2351;12.3406
16.4888;12.278
16.7424;12.2675
16.9961;12.3114
17.2498;12.3025
17.5035;12.3161
17.7571;12.2525
18.0108;12.2873
18.2645;12.3177
18.5181;12.3543
18.7718;12.2331
19.0255;12.2072
19.2792;12.2792
19.5328;12.2401
19.7865;12.2805
20.0402;12.3493
20.2939;12.2975
20.5475;12.2787
20.8012;12.2926
21.0549;12.2834
21.3085;12.2739
21.5622;12.3208
21.8159;12.1455
22.0696;12.3475
22.3232;12.3101
22.5769;12.2377
22.8306;12.2103
23.0843;12.2898
23.3379;12.2731
23.5916;12.2453
23.8453;12.2622
24.099;12.2655
24.3526;12.3143
24.6063;12.2717
24.86;12.2696
25.1136;12.3252
25.3673;12.2874
25.621;12.301
25.8747;12.2534
26.1283;12.322
26.382;12.3
26.6357;12.2896
26.8894;12.2839
27.143;12.2802
27.3967;12.2634
27.6504;12.2516
27.9041;12.1904
28.1577;12.2745
28.4114;12.3042
28.6651;12.1439
28.9187;11.9825
29.1724;11.6237
29.4261;11.6495
29.6798;11.7074
29.9334;11.688
30.1871;11.7466
30.4408;11.6379
30.6945;11.5046
30.9481;11.5582
31.2018;11.5804
31.4555;11.5764
31.7092;11.5706
31.9628;11.6537
32.2165;11.7825
32.4702;11.6906
32.7238;11.5099
32.9775;11.3119
33.2312;11.3842
33.4849;11.3667
33.7385;11.3765
33.9922;11.3859
34.2459;11.2902
34.4996;11.3225
34.7532;11.132
35.0069;11.1758
35.2606;11.2432
35.5142;11.3033
35.7679;11.4432
36.0216;11.4179
36.2753;11.4269
36.5289;11.3994
36.7826;11.3773
37.0363;11.3737
37.29;11.2466
37.5436;11.2283
37.7973;11.216
38.051;11.121
38.3047;11.1378
38.5583;11.1477
38.812;11.0909
39.0657;10.975
39.3193;10.8105
39.573;10.9247
39.8267;10.8821
40.0804;10.8487
40.334;10.9418
40.5877;10.9474
40.8414;10.9111
41.0951;10.9897
41.3487;11.1507
41.6024;11.2856
41.8561;11.3782
42.1097;11.4511
42.3634;11.4373
42.6171;11.5153
42.8708;11.436
43.1244;11.3919
43.3781;11.412
43.6318;11.419
43.8855;11.4715
44.1391;11.4816
44.3928;11.6836
44.6465;11.6616
44.9002;11.6996
45.1538;11.7943
45.4075;11.7203
45.6612;11.7361
45.9148;11.6477
46.1685;11.5879
46.4222;11.6145
46.6759;11.6016
46.9295;11.6258
47.1832;11.5483
47.4369;11.5925
47.6906;11.5308
47.9442;11.5796
48.1979;11.5736
48.4516;11.778
48.7053;11.7721
48.9589;11.7225
49.2126;11.6434
49.4663;11.5416
49.7199;11.658
49.9736;11.7359
50.2273;11.9316
50.481;12.3573
50.7346;12.3833
50.9883;12.1912
51.242;11.9969
51.4957;11.8842
51.7493;11.832
52.003;11.7515
52.2567;11.7163
52.5104;11.6665
52.764;11.7502
53.0177;11.694
53.2714;11.6957
53.525;11.6233
53.7787;11.6562
54.0324;11.6058
54.2861;11.5126
54.5397;11.5324
54.7934;11.5124
55.0471;11.5158
55.3008;11.4881
55.5544;11.5899
55.8081;11.75
56.0618;11.7618
56.3154;11.8063
56.5691;11.9593
56.8228;12.0892
57.0765;12.1669
57.3301;12.2506
57.5838;12.2949
57.8375;12.4236
58.0912;12.3295
58.3448;12.1986
58.5985;12.1392
58.8522;12.0589
59.1059;11.9915
59.3595;12.0075
59.6132;11.9408
59.8669;11.9263
60.1205;12.0405
60.3742;12.0379
60.6279;12.0246
60.8816;11.9099
61.1352;11.7716
61.3889;11.7176
61.6426;11.817
61.8963;12.011
62.1499;12.0054
62.4036;11.9978
62.6573;11.9454
62.911;12.0565
63.1646;12.0109
63.4183;11.9975
63.672;11.9804
63.9256;12.0941
64.1793;12.2394
64.433;12.4781
64.6867;12.6633
64.9403;12.7282
65.194;12.777
65.4477;12.92
65.7014;12.8991
65.955;12.9136
66.2087;13.0923
66.4624;13.1975
66.716;13.3775
66.9697;13.2719
67.2234;13.3279
67.4771;13.1567
67.7307;13.0164
67.9844;12.905
68.2381;13.0541
68.4918;13.1676
68.7454;13.8392
68.9991;14.0033
69.2528;13.8669
69.5065;13.693
69.7601;13.5746
70.0138;13.6486
70.2675;13.5614
70.5211;13.2784
70.7748;12.7023
71.0285;12.3786
71.2822;12.4731
71.5358;12.6426
71.7895;12.7421
72.0432;12.672
72.2969;12.6382
72.5505;12.5936
72.8042;12.7555
73.0579;12.731
73.3116;12.6419
73.5652;12.5067
73.8189;12.4223
74.0726;12.4483
74.3262;12.3905
74.5799;12.3345
74.8336;12.1691
75.0873;12.059
75.3409;12.0069
75.5946;11.8398
75.8483;11.9409
76.102;11.9871
76.3556;12.0338
76.6093;12.0475
76.863;12.0844
77.1167;12.1211
77.3703;12.0745
77.624;11.9276
77.8777;11.8825
78.1313;11.9074
78.385;11.9643
78.6387;11.8674
78.8924;11.8586
79.146;11.8661
79.3997;11.7427
79.6534;11.7493
79.9071;11.7629
80.1607;11.6548
80.4144;11.5894
80.6681;11.6273
80.9218;11.6023
81.1754;11.5668
81.4291;11.6684
81.6828;11.6711
81.9364;11.8667
82.1901;11.8271
82.4438;11.8646
82.6975;11.8614
82.9511;11.9486
83.2048;12.0545
83.4585;12.0995
83.7122;12.1375
83.9658;12.1309
84.2195;12.1603
84.4732;12.1458
84.7268;12.269
84.9805;12.4875
85.2342;12.3878
85.4879;12.35
85.7415;12.4539
85.9952;12.7552
86.2489;12.8989
86.5026;12.7516
86.7562;12.7714
87.0099;12.8713
87.2636;12.6928
87.5173;12.5495
87.7709;12.4805
88.0246;12.5028
88.2783;12.6489
88.5319;12.7215
