Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 13:43:36
Device temperature = 18.9979
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBl/uz
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;16.6717
0.253673;15.7324
0.507346;14.2839
0.76102;13.4991
1.01469;13.5518
1.26837;13.4451
1.52204;13.3412
1.77571;12.8533
2.02939;12.7063
2.28306;12.9901
2.53673;12.9537
2.79041;12.86
3.04408;12.823
3.29775;12.7232
3.55142;12.6856
3.8051;12.6348
4.05877;12.7209
4.31244;12.6208
4.56612;12.6697
4.81979;12.7658
5.07346;12.7461
5.32714;12.688
5.58081;12.676
5.83448;12.6108
6.08816;12.6286
6.34183;12.4946
6.5955;12.5021
6.84918;12.4902
7.10285;12.4258
7.35652;12.4379
7.6102;12.4152
7.86387;12.4789
8.11754;12.451
8.37122;12.4429
8.62489;12.4179
8.87856;12.363
9.13223;12.3662
9.38591;12.4472
9.63958;12.4382
9.89325;12.3723
10.1469;12.3623
10.4006;12.3437
10.6543;12.3308
10.9079;12.4202
11.1616;12.3603
11.4153;12.3649
11.669;12.4229
11.9226;12.4023
12.1763;12.3593
12.43;12.384
12.6837;12.3268
12.9373;12.3008
13.191;12.3311
13.4447;12.3326
13.6984;12.3011
13.952;12.3335
14.2057;12.4352
14.4594;12.3438
14.713;12.3659
14.9667;12.3847
15.2204;12.4103
15.4741;12.3562
15.7277;12.3477
15.9814;12.3631
16.2351;12.3861
16.4888;12.3884
16.7424;12.3384
16.9961;12.3453
17.2498;12.3707
17.5035;12.385
17.7571;12.3635
18.0108;12.3168
18.2645;12.3497
18.5181;12.379
18.7718;12.3945
19.0255;12.3614
19.2792;12.3147
19.5328;12.3724
19.7865;12.3122
20.0402;12.3262
20.2939;12.3557
20.5475;12.3751
20.8012;12.3196
21.0549;12.4106
21.3085;12.3568
21.5622;12.3306
21.8159;12.34
22.0696;12.3928
22.3232;12.3504
22.5769;12.3282
22.8306;12.3512
23.0843;12.3344
23.3379;12.3783
23.5916;12.388
23.8453;12.369
24.099;12.3225
24.3526;12.3891
24.6063;12.2951
24.86;12.3335
25.1136;12.3683
25.3673;12.4243
25.621;12.3957
25.8747;12.3329
26.1283;12.3959
26.382;12.4248
26.6357;12.4099
26.8894;12.3568
27.143;12.3206
27.3967;12.3255
27.6504;12.2838
27.9041;12.3163
28.1577;12.3418
28.4114;12.4305
28.6651;12.248
28.9187;12.1775
29.1724;12.0517
29.4261;12.104
29.6798;12.0809
29.9334;12.1258
30.1871;12.0036
30.4408;11.9942
30.6945;11.962
30.9481;12.0092
31.2018;11.9517
31.4555;12.0853
31.7092;12.0948
