Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 14:43:36
Device temperature = 19
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBmAAA
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;16.9689
0.253673;15.9002
0.507346;14.652
0.76102;13.7442
1.01469;13.864
1.26837;13.88
1.52204;13.7264
1.77571;13.1592
2.02939;13.0583
2.28306;13.3286
2.53673;13.238
2.79041;13.2207
3.04408;13.1482
3.29775;13.0468
3.55142;12.9869
3.8051;13.0215
4.05877;13.0461
4.31244;13.1157
4.56612;13.1224
4.81979;13.215
5.07346;13.1155
5.32714;13.1668
5.58081;13.0998
5.83448;13.0934
6.08816;12.9576
6.34183;12.9805
6.5955;12.9532
6.84918;12.9587
7.10285;12.9582
7.35652;12.9559
7.6102;12.9013
7.86387;12.8292
8.11754;13.0097
8.37122;12.8738
8.62489;12.8694
8.87856;12.8504
9.13223;12.9081
9.38591;12.8798
9.63958;12.8617
9.89325;12.9009
10.1469;12.8633
10.4006;12.8427
10.6543;12.8584
10.9079;12.8634
11.1616;12.9519
11.4153;12.9365
11.669;12.9231
11.9226;12.8596
12.1763;12.7969
12.43;12.8389
12.6837;12.8066
12.9373;12.8711
13.191;12.8283
13.4447;12.9022
13.6984;12.8303
13.952;12.8684
14.2057;12.8242
14.4594;12.8625
14.713;12.9309
14.9667;12.8511
15.2204;12.8218
15.4741;12.7942
15.7277;12.8196
15.9814;12.8139
16.2351;12.8419
16.4888;12.8176
16.7424;12.7309
16.9961;12.8157
17.2498;12.8369
17.5035;12.9701
17.7571;12.8493
18.0108;12.8734
18.2645;12.845
18.5181;12.7864
18.7718;12.8099
19.0255;12.8797
19.2792;12.8983
19.5328;12.8735
19.7865;12.7409
20.0402;12.7727
20.2939;12.8239
20.5475;12.8309
20.8012;12.8132
21.0549;12.9314
21.3085;12.8975
21.5622;12.8727
21.8159;12.8713
22.0696;12.7777
22.3232;12.7857
22.5769;12.8443
22.8306;12.815
23.0843;12.8577
23.3379;12.8274
23.5916;12.9278
23.8453;12.7946
24.099;12.7962
24.3526;12.7994
24.6063;12.7685
24.86;12.7817
25.1136;12.9435
25.3673;12.9046
25.621;12.8889
25.8747;12.8105
26.1283;12.8594
26.382;13.0107
26.6357;12.8884
26.8894;12.8949
27.143;12.8774
27.3967;12.9074
27.6504;12.8786
27.9041;12.8387
28.1577;12.8658
28.4114;12.9391
28.6651;13.1138
28.9187;13.426
29.1724;13.9549
29.4261;14.1029
29.6798;14.2011
29.9334;14.104
30.1871;14.0498
30.4408;14.0976
30.6945;14.0094
30.9481;14.0077
31.2018;14.0387
31.4555;14.0648
31.7092;14.1782
31.9628;14.0933
32.2165;14.3025
32.4702;14.2462
32.7238;14.016
32.9775;13.881
33.2312;13.7617
33.4849;13.8343
33.7385;13.9222
33.9922;13.9485
34.2459;13.7374
34.4996;13.6321
34.7532;13.6541
35.0069;13.6341
35.2606;13.7671
35.5142;13.918
35.7679;13.9915
36.0216;14.015
36.2753;13.9341
36.5289;13.9962
36.7826;14.0142
37.0363;13.8951
37.29;13.8407
37.5436;13.7439
37.7973;13.7123
38.051;13.6265
38.3047;13.6128
38.5583;13.652
38.812;13.6339
39.0657;13.6253
39.3193;13.4815
39.573;13.4785
39.8267;13.4802
40.0804;13.4984
40.334;13.6369
40.5877;13.6349
40.8414;13.562
41.0951;13.5236
41.3487;13.6722
41.6024;13.6841
41.8561;13.824
42.1097;13.856
42.3634;13.8905
42.6171;13.8426
42.8708;13.7967
43.1244;13.7237
43.3781;13.6954
43.6318;13.7275
43.8855;13.7789
44.1391;13.9109
44.3928;14.1044
44.6465;14.1975
44.9002;14.2749
45.1538;14.3996
45.4075;14.5451
45.6612;14.5411
45.9148;14.6455
46.1685;14.8096
46.4222;14.8873
46.6759;14.7078
46.9295;14.4782
47.1832;14.3108
47.4369;14.1861
47.6906;14.0717
47.9442;14.1074
48.1979;14.0533
48.4516;14.1778
48.7053;14.2164
48.9589;14.2397
49.2126;14.196
49.4663;14.2148
49.7199;14.2524
49.9736;14.2847
50.2273;14.4016
50.481;14.6739
50.7346;14.7456
50.9883;14.7027
51.242;14.7236
51.4957;14.8556
51.7493;14.8218
52.003;14.8695
52.2567;14.7371
52.5104;14.6907
52.764;14.5435
53.0177;14.4649
53.2714;14.4487
53.525;14.3238
53.7787;14.2751
54.0324;14.2423
54.2861;14.1352
54.5397;14.0977
54.7934;14.1284
55.0471;14.2296
55.3008;14.3951
55.5544;14.6718
55.8081;14.8162
56.0618;14.8
56.3154;14.6062
56.5691;14.607
56.8228;14.6478
57.0765;14.7591
57.3301;14.7652
57.5838;14.7414
57.8375;14.8067
58.0912;14.8614
58.3448;14.7349
58.5985;14.7092
58.8522;14.6323
59.1059;14.6749
59.3595;14.5808
59.6132;14.7223
59.8669;14.7936
60.1205;14.8775
60.3742;15.0549
60.6279;15.041
60.8816;14.9407
61.1352;14.7494
61.3889;14.7104
61.6426;14.7915
61.8963;14.9455
62.1499;15.2267
62.4036;15.4738
62.6573;15.8543
62.911;15.8817
63.1646;15.7604
63.4183;15.6085
63.672;15.5661
63.9256;15.6876
64.1793;15.7737
64.433;15.9385
64.6867;16.1473
64.9403;16.2751
65.194;16.3726
65.4477;16.4527
65.7014;16.577
65.955;16.6767
66.2087;16.9039
66.4624;17.0106
66.716;17.0281
66.9697;16.9065
67.2234;16.6538
67.4771;16.4138
67.7307;16.1472
67.9844;15.9555
68.2381;15.9727
68.4918;15.917
68.7454;16.0738
68.9991;16.0034
69.2528;15.684
69.5065;15.518
69.7601;15.4261
70.0138;15.3502
70.2675;15.3908
70.5211;15.2879
70.7748;15.0584
71.0285;14.9353
71.2822;14.8467
71.5358;14.9839
71.7895;15.2964
72.0432;15.3938
72.2969;15.2265
72.5505;14.9019
72.8042;14.7351
73.0579;14.8206
73.3116;14.97
73.5652;15.0267
73.8189;15.1114
74.0726;15.228
74.3262;15.3987
74.5799;15.49
74.8336;15.7172
75.0873;15.7046
75.3409;15.6213
75.5946;15.6086
75.8483;15.3793
76.102;15.2339
76.3556;15.1534
76.6093;14.9872
76.863;15.0276
77.1167;15.0656
77.3703;14.9846
77.624;14.9307
77.8777;15.064
78.1313;15.1765
78.385;15.1722
78.6387;15.2184
78.8924;15.2452
79.146;15.1563
79.3997;15.1985
79.6534;15.3374
79.9071;15.9963
80.1607;16.3137
80.4144;16.4397
80.6681;16.5402
80.9218;16.7654
81.1754;16.8357
81.4291;16.8303
81.6828;16.8203
81.9364;16.1649
82.1901;15.6173
82.4438;15.2656
82.6975;15.0553
82.9511;15.088
83.2048;15.0307
83.4585;15.0187
83.7122;15.0363
83.9658;15.0858
84.2195;15.175
84.4732;15.3025
84.7268;15.3838
84.9805;15.7698
85.2342;15.7311
85.4879;15.6906
85.7415;15.5425
85.9952;15.2517
86.2489;15.1722
86.5026;15.1285
86.7562;15.1307
87.0099;15.1007
87.2636;15.0262
87.5173;15.0563
87.7709;15.084
88.0246;15.0518
88.2783;15.0404
88.5319;15.1481
88.7856;15.1378
89.0393;15.1019
89.293;15.1011
89.5466;15.0609
89.8003;15.0431
90.054;15.04
90.3077;15.0938
90.5613;15.0586
90.815;15.1253
91.0687;15.2543
91.3223;15.44
91.576;15.4612
91.8297;15.6462
92.0834;16.5317
92.337;17.736
92.5907;18.8838
92.8444;19.8481
93.0981;19.7137
93.3517;19.1395
93.6054;18.6792
93.8591;18.1522
94.1128;17.2514
94.3664;16.7934
94.6201;16.8001
94.8738;16.9268
95.1274;17.2526
95.3811;17.1615
95.6348;17.0147
95.8885;16.8972
96.1421;17.0072
96.3958;17.355
96.6495;17.8636
96.9032;18.084
97.1568;18.2096
97.4105;18.2493
97.6642;18.181
97.9179;17.9154
98.1715;17.9953
98.4252;19.0292
98.6789;20.9649
98.9325;23.479
99.1862;25.6918
99.4399;25.5056
99.6936;25.257
99.9472;25.3348
100.201;25.5094
100.455;25.171
100.708;24.5083
100.962;23.4188
101.216;21.8471
101.469;21.4722
101.723;22.0157
101.977;23.3487
102.23;24.9541
102.484;24.2357
102.738;22.9704
102.991;22.0341
103.245;23.2149
103.499;24.5365
103.752;25.1843
104.006;25.3052
104.26;24.4486
104.513;23.7968
104.767;23.2282
105.021;23.0008
105.274;23.9008
105.528;24.6619
105.782;25.0382
106.035;25.4742
106.289;26.4842
106.543;26.7057
106.796;26.5352
107.05;26.3136
107.304;26.4393
107.557;26.3076
107.811;25.8667
108.065;25.1994
108.318;25.4542
108.572;26.0246
108.826;26.187
109.079;25.85
109.333;25.2669
109.587;25.1428
109.84;24.7234
110.094;24.0398
110.348;22.5149
110.602;21.673
110.855;20.8262
111.109;19.8779
111.363;18.5603
111.616;17.929
111.87;17.5066
112.124;16.8498
112.377;15.3885
112.631;14.5609
112.885;13.9381
113.138;13.3169
113.392;13.0007
113.646;12.9231
113.899;12.9109
114.153;12.9444
114.407;12.8686
114.66;12.834
114.914;12.7684
115.168;12.6629
115.421;12.5724
115.675;12.5908
115.929;12.5923
116.182;12.5281
116.436;12.3504
116.69;12.2309
116.943;12.2008
117.197;12.2577
117.451;12.1925
117.704;12.1984
117.958;12.1975
118.212;12.308
118.465;12.3345
118.719;12.2182
118.973;12.0185
119.226;11.7495
119.48;11.7559
119.734;11.7883
119.987;11.7271
120.241;11.7706
120.495;11.8876
120.748;11.8633
121.002;11.9119
121.256;11.8351
121.509;11.9888
121.763;12.2106
122.017;12.4713
122.27;12.4392
122.524;12.1242
122.778;12.0017
123.032;12.0659
123.285;12.0734
123.539;12.2758
123.793;12.327
124.046;12.2479
124.3;12.2226
124.554;12.0661
124.807;12.075
125.061;12.097
125.315;12.0636
125.568;11.8905
125.822;11.7341
126.076;11.5951
126.329;11.6281
126.583;11.5454
126.837;11.6114
127.09;11.6538
127.344;11.7567
127.598;11.9818
127.851;11.9479
128.105;11.9169
128.359;11.9137
128.612;11.9591
128.866;12.0101
129.12;12.0908
129.373;12.0189
129.627;12.2026
129.881;12.1759
130.134;12.1278
130.388;12.1876
130.642;12.4059
130.895;12.5264
131.149;12.5071
131.403;12.4089
131.656;12.2514
131.91;12.2288
132.164;12.1575
132.417;12.1904
132.671;12.0397
132.925;12.0271
133.178;12.0969
133.432;12.1149
133.686;12.3506
133.939;12.3528
134.193;12.2572
134.447;12.2478
134.7;12.4494
134.954;12.5213
135.208;12.5806
135.461;12.598
135.715;12.6281
135.969;12.6147
136.223;12.645
136.476;12.6354
136.73;12.5353
136.984;12.4994
137.237;12.2834
137.491;12.1023
137.745;11.9183
137.998;12.033
138.252;11.9538
138.506;11.9451
138.759;11.664
139.013;11.6163
139.267;11.5376
139.52;11.5271
139.774;11.6832
140.028;11.7344
140.281;11.8483
140.535;11.9947
140.789;12.2517
141.042;12.4136
141.296;12.4735
141.55;12.4982
141.803;12.6262
142.057;12.6632
142.311;12.795
142.564;12.877
142.818;13.025
143.072;13.1842
143.325;13.1523
143.579;12.8619
143.833;12.3287
144.086;12.346
144.34;12.515
144.594;12.6475
144.847;12.6649
145.101;12.7618
145.355;12.8725
145.608;12.902
145.862;13.1842
146.116;13.5475
146.369;13.7956
146.623;13.8339
146.877;13.8368
147.13;13.8094
147.384;13.6373
147.638;13.5773
147.891;13.5286
148.145;13.5801
148.399;13.6399
148.652;13.8155
148.906;14.1305
149.16;14.3484
149.414;14.5251
149.667;14.4616
149.921;14.2383
150.175;14.1838
150.428;14.2978
150.682;14.5138
150.936;14.7797
151.189;14.9046
151.443;14.9695
151.697;14.9833
151.95;14.8484
152.204;14.6077
152.458;14.5247
152.711;14.5284
152.965;14.4822
153.219;14.5503
153.472;14.7536
153.726;14.8587
153.98;14.8922
154.233;14.9054
154.487;14.8859
154.741;14.7859
154.994;14.8276
155.248;14.8763
155.502;14.9896
155.755;14.9124
156.009;14.8673
156.263;14.8703
156.516;14.8553
156.77;14.8488
157.024;14.9236
157.277;14.9003
157.531;14.7774
157.785;14.6489
158.038;14.6148
158.292;14.6151
158.546;14.5984
158.799;14.6674
159.053;14.6831
