Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 14:53:36
Device temperature = 19.0281
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBmDmM
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.0631
0.253673;15.9925
0.507346;14.6315
0.76102;13.8796
1.01469;14.024
1.26837;13.9311
1.52204;13.8396
1.77571;13.3073
2.02939;13.1728
2.28306;13.4488
2.53673;13.2983
2.79041;13.2952
3.04408;13.2554
3.29775;13.1754
3.55142;13.1599
3.8051;13.1915
4.05877;13.2172
4.31244;13.2777
4.56612;13.2785
4.81979;13.2418
5.07346;13.2771
5.32714;13.2389
5.58081;13.2857
5.83448;13.1887
6.08816;13.135
6.34183;13.2106
6.5955;13.0921
6.84918;13.0959
7.10285;13.1106
7.35652;13.1352
7.6102;13.0534
7.86387;13.0878
8.11754;13.0647
8.37122;13.0953
8.62489;13.1033
8.87856;13.0195
9.13223;12.982
9.38591;13.0377
9.63958;13.0004
9.89325;12.9905
10.1469;12.9456
10.4006;12.9514
10.6543;13.0157
10.9079;12.9455
11.1616;13.0829
11.4153;13.0178
11.669;12.9977
11.9226;13.0104
12.1763;13.0216
12.43;13.0542
12.6837;12.9581
12.9373;13.0018
13.191;12.9667
13.4447;12.9278
13.6984;12.9346
13.952;12.9349
14.2057;13.01
14.4594;12.9406
14.713;12.9976
14.9667;12.9409
15.2204;13.0012
15.4741;12.9241
15.7277;12.9562
15.9814;12.931
16.2351;12.9432
16.4888;12.9657
16.7424;12.9346
16.9961;12.9161
17.2498;12.9822
17.5035;13.0014
17.7571;12.9882
18.0108;12.9196
18.2645;12.9372
18.5181;13.0194
18.7718;12.995
19.0255;12.939
19.2792;12.9209
19.5328;12.8988
19.7865;12.9384
20.0402;12.9564
20.2939;12.9036
20.5475;12.9866
20.8012;12.976
21.0549;12.9395
21.3085;12.9761
21.5622;13.0048
21.8159;13.0008
22.0696;12.9348
22.3232;12.9277
22.5769;13.0007
22.8306;12.8826
23.0843;12.9506
23.3379;12.9783
23.5916;12.9745
23.8453;12.9314
