Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 13:23:36
Device temperature = 19.0522
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBmGro
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;16.7857
0.253673;15.7007
0.507346;14.272
0.76102;13.3927
1.01469;13.5166
1.26837;13.4563
1.52204;13.2836
1.77571;12.8428
2.02939;12.7024
2.28306;12.927
2.53673;12.8466
2.79041;12.8149
3.04408;12.7843
3.29775;12.6862
3.55142;12.5931
3.8051;12.561
4.05877;12.5766
4.31244;12.5781
4.56612;12.6028
4.81979;12.6395
5.07346;12.6929
5.32714;12.6393
5.58081;12.6047
5.83448;12.6371
6.08816;12.5293
6.34183;12.4332
6.5955;12.4044
6.84918;12.4077
7.10285;12.4068
7.35652;12.3038
7.6102;12.3033
7.86387;12.3691
8.11754;12.3387
8.37122;12.3289
8.62489;12.2887
8.87856;12.234
9.13223;12.2936
9.38591;12.3955
9.63958;12.3109
9.89325;12.3177
10.1469;12.3397
10.4006;12.2633
10.6543;12.1969
10.9079;12.3083
11.1616;12.3079
11.4153;12.3564
11.669;12.3298
11.9226;12.3356
12.1763;12.2709
12.43;12.2142
12.6837;12.1879
12.9373;12.2514
13.191;12.2506
13.4447;12.3088
13.6984;12.2793
13.952;12.238
14.2057;12.2595
14.4594;12.2913
14.713;12.2283
14.9667;12.222
15.2204;12.2654
15.4741;12.2907
15.7277;12.3149
15.9814;12.3798
16.2351;12.3158
16.4888;12.2151
16.7424;12.1603
16.9961;12.1923
17.2498;12.3174
17.5035;12.2998
17.7571;12.2692
18.0108;12.3026
18.2645;12.2369
18.5181;12.2712
18.7718;12.2865
19.0255;12.2896
19.2792;12.2742
19.5328;12.2675
19.7865;12.3461
20.0402;12.3184
20.2939;12.2539
20.5475;12.3397
20.8012;12.2403
21.0549;12.2028
21.3085;12.2528
21.5622;12.2828
21.8159;12.2174
22.0696;12.2423
22.3232;12.3437
22.5769;12.3051
22.8306;12.3179
23.0843;12.2527
23.3379;12.3546
23.5916;12.3838
23.8453;12.2934
24.099;12.2504
24.3526;12.2055
24.6063;12.219
24.86;12.3121
25.1136;12.3519
25.3673;12.3973
25.621;12.3322
25.8747;12.2465
26.1283;12.2513
26.382;12.3507
26.6357;12.3043
26.8894;12.4008
