Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 15:03:36
Device temperature = 19.0635
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBmIIM
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;16.9986
0.253673;16.1042
0.507346;14.7211
0.76102;13.9089
1.01469;14.088
1.26837;14.13
1.52204;13.9385
1.77571;13.3916
2.02939;13.303
2.28306;13.526
2.53673;13.3875
2.79041;13.3891
3.04408;13.3423
3.29775;13.4024
3.55142;13.3221
3.8051;13.3447
4.05877;13.3445
4.31244;13.4169
4.56612;13.4988
4.81979;13.4434
5.07346;13.447
5.32714;13.4794
5.58081;13.4494
5.83448;13.3726
6.08816;13.2696
6.34183;13.2282
6.5955;13.333
6.84918;13.2304
7.10285;13.2325
7.35652;13.2446
7.6102;13.2263
7.86387;13.2143
8.11754;13.2448
8.37122;13.239
8.62489;13.2728
8.87856;13.1712
9.13223;13.1119
9.38591;13.1853
9.63958;13.2039
9.89325;13.1475
10.1469;13.1862
10.4006;13.1624
10.6543;13.1266
10.9079;13.0611
11.1616;13.1498
11.4153;13.2258
11.669;13.1382
11.9226;13.1297
12.1763;13.1598
12.43;13.0608
12.6837;13.1584
12.9373;13.2033
13.191;13.1091
13.4447;13.106
13.6984;13.0814
13.952;13.0966
14.2057;13.1159
14.4594;13.0758
14.713;13.1135
14.9667;13.1001
15.2204;13.1407
15.4741;13.0806
15.7277;13.0702
15.9814;13.1405
16.2351;13.0701
16.4888;13.0475
16.7424;13.1384
16.9961;13.1043
17.2498;13.0946
17.5035;13.1396
17.7571;13.1602
18.0108;13.179
18.2645;13.1953
18.5181;13.0989
18.7718;13.1708
19.0255;13.052
19.2792;13.0948
19.5328;13.1144
19.7865;13.0505
20.0402;13.1393
20.2939;13.0819
20.5475;13.0621
20.8012;13.1021
21.0549;13.0575
21.3085;13.1416
21.5622;13.1186
21.8159;13.1593
22.0696;13.034
22.3232;13.128
22.5769;13.1192
22.8306;13.0576
23.0843;13.1193
23.3379;13.2037
23.5916;13.1334
23.8453;13.1054
24.099;13.1029
24.3526;13.0794
24.6063;13.0944
24.86;13.0457
25.1136;13.0886
25.3673;13.1527
25.621;13.0938
25.8747;13.1406
26.1283;13.2066
26.382;13.2306
26.6357;13.192
26.8894;13.1682
27.143;13.1347
27.3967;13.1494
27.6504;13.1209
27.9041;13.1304
28.1577;13.1919
28.4114;13.3784
28.6651;13.5587
28.9187;14.0426
29.1724;14.838
29.4261;15.3014
29.6798;15.3274
29.9334;15.3158
30.1871;15.2992
30.4408;15.2169
30.6945;15.2287
30.9481;15.1292
31.2018;15.0736
31.4555;15.018
31.7092;15.0848
31.9628;15.0924
32.2165;15.1507
32.4702;15.084
32.7238;14.8766
32.9775;14.7025
33.2312;14.7288
33.4849;14.8623
33.7385;14.9362
33.9922;14.917
34.2459;14.7735
34.4996;14.7186
34.7532;14.5675
35.0069;14.5374
35.2606;14.7691
35.5142;14.9061
35.7679;14.9608
36.0216;15.0191
36.2753;14.9762
36.5289;14.9123
36.7826;14.922
37.0363;14.8349
37.29;14.7617
37.5436;14.7824
37.7973;14.6338
38.051;14.6294
38.3047;14.4982
38.5583;14.5195
38.812;14.492
39.0657;14.4843
39.3193;14.3723
39.573;14.4505
39.8267;14.4208
40.0804;14.4686
40.334;14.5685
40.5877;14.5039
40.8414;14.4859
41.0951;14.4254
41.3487;14.5035
41.6024;14.528
41.8561;14.5494
42.1097;14.6482
42.3634;14.6079
42.6171;14.6572
42.8708;14.6326
43.1244;14.5941
43.3781;14.4393
43.6318;14.4597
43.8855;14.5226
44.1391;14.5354
44.3928;14.635
44.6465;14.6927
44.9002;14.7391
45.1538;14.7148
45.4075;14.7424
45.6612;14.7987
45.9148;14.8608
46.1685;14.7313
46.4222;14.7073
46.6759;14.7925
46.9295;14.8313
47.1832;14.9106
47.4369;14.9867
47.6906;14.9689
47.9442;14.8322
48.1979;14.9561
48.4516;14.9772
48.7053;14.9826
48.9589;15.0016
49.2126;15.0045
49.4663;14.9789
49.7199;15.0233
49.9736;15.138
50.2273;15.2857
50.481;15.4448
50.7346;15.5137
50.9883;15.4958
51.242;15.5534
51.4957;15.59
51.7493;15.702
52.003;15.8145
52.2567;15.8045
52.5104;15.5475
52.764;15.3956
53.0177;15.1915
53.2714;15.2068
53.525;15.3957
53.7787;15.5235
54.0324;15.5986
54.2861;15.5115
54.5397;15.3443
54.7934;15.2874
55.0471;15.3594
55.3008;15.6622
55.5544;15.9111
55.8081;15.8975
56.0618;15.6353
56.3154;15.3544
56.5691;15.0326
56.8228;15.0327
57.0765;15.0503
57.3301;15.054
57.5838;15.0244
57.8375;15.1312
58.0912;15.0853
58.3448;15.1171
58.5985;15.1487
58.8522;15.2545
59.1059;15.3055
59.3595;15.4171
59.6132;15.5962
59.8669;15.6823
60.1205;15.8018
60.3742;15.9114
60.6279;15.69
60.8816;15.4911
61.1352;15.2564
61.3889;15.1103
61.6426;15.1527
61.8963;15.2106
62.1499;15.2606
62.4036;15.3138
62.6573;15.3732
62.911;15.4682
63.1646;15.4332
63.4183;15.6588
63.672;15.8155
63.9256;16.0057
64.1793;16.2877
64.433;16.7398
64.6867;17.2904
64.9403;17.3899
65.194;17.4627
65.4477;17.4389
65.7014;17.2097
65.955;16.899
66.2087;16.6858
66.4624;16.5961
66.716;16.3327
66.9697;16.3366
67.2234;16.253
67.4771;16.2598
67.7307;16.4344
