Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 13:13:36
Device temperature = 19.0828
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBmKmT
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;16.7376
0.253673;15.6277
0.507346;14.3663
0.76102;13.3688
1.01469;13.4926
1.26837;13.3622
1.52204;13.2506
1.77571;12.6487
2.02939;12.5994
2.28306;12.8891
2.53673;12.9269
2.79041;12.8349
3.04408;12.8295
3.29775;12.7556
3.55142;12.601
3.8051;12.5288
4.05877;12.5373
4.31244;12.603
4.56612;12.6947
4.81979;12.6508
5.07346;12.6088
5.32714;12.6883
5.58081;12.5829
5.83448;12.4802
6.08816;12.4645
6.34183;12.4277
6.5955;12.5051
6.84918;12.4673
7.10285;12.3886
7.35652;12.2205
7.6102;12.2512
7.86387;12.2747
8.11754;12.2797
8.37122;12.3542
8.62489;12.3645
8.87856;12.2625
9.13223;12.3437
9.38591;12.3203
9.63958;12.265
9.89325;12.2886
10.1469;12.3056
10.4006;12.2899
10.6543;12.2963
10.9079;12.2648
11.1616;12.3194
11.4153;12.3107
11.669;12.3253
11.9226;12.1624
12.1763;12.1576
12.43;12.1944
12.6837;12.1889
12.9373;12.2931
13.191;12.2122
13.4447;12.2266
13.6984;12.208
13.952;12.2459
14.2057;12.2812
14.4594;12.226
14.713;12.3047
14.9667;12.2284
15.2204;12.2342
15.4741;12.2622
15.7277;12.2775
15.9814;12.2802
16.2351;12.2749
16.4888;12.2721
16.7424;12.2674
16.9961;12.2093
17.2498;12.2347
17.5035;12.2792
17.7571;12.2146
18.0108;12.2675
18.2645;12.165
18.5181;12.1761
18.7718;12.2067
19.0255;12.255
19.2792;12.3087
19.5328;12.3118
19.7865;12.1368
20.0402;12.246
20.2939;12.3136
20.5475;12.2818
20.8012;12.3396
21.0549;12.2294
21.3085;12.292
21.5622;12.2647
21.8159;12.1834
22.0696;12.2338
22.3232;12.2153
22.5769;12.2017
22.8306;12.2205
23.0843;12.2643
23.3379;12.3356
23.5916;12.3797
23.8453;12.2595
24.099;12.2859
24.3526;12.249
24.6063;12.1849
24.86;12.2858
25.1136;12.2399
25.3673;12.3422
25.621;12.2437
25.8747;12.28
26.1283;12.1923
26.382;12.2371
26.6357;12.2793
26.8894;12.3648
27.143;12.2307
27.3967;12.3067
27.6504;12.1474
27.9041;12.2039
28.1577;12.2311
28.4114;12.2821
28.6651;12.0392
28.9187;11.8276
29.1724;11.1454
29.4261;10.9109
29.6798;10.8375
29.9334;10.8273
30.1871;10.7541
30.4408;10.7248
30.6945;10.6283
30.9481;10.6172
31.2018;10.6413
31.4555;10.7444
31.7092;10.7733
31.9628;10.7736
32.2165;10.6839
32.4702;10.6348
32.7238;10.5083
32.9775;10.4479
33.2312;10.4497
33.4849;10.5185
33.7385;10.5514
33.9922;10.455
34.2459;10.4155
34.4996;10.3291
34.7532;10.3096
35.0069;10.3591
35.2606;10.4068
35.5142;10.5041
35.7679;10.5969
36.0216;10.5025
36.2753;10.5428
36.5289;10.5057
36.7826;10.4347
37.0363;10.4153
37.29;10.2827
37.5436;10.2588
37.7973;10.1716
38.051;10.103
38.3047;10.0752
38.5583;10.0199
38.812;10.0492
39.0657;10.0534
39.3193;10.0442
39.573;9.99567
39.8267;9.97311
40.0804;10.0006
40.334;10.1046
40.5877;10.1232
40.8414;10.0831
41.0951;10.2021
41.3487;10.2189
41.6024;10.3556
41.8561;10.4496
42.1097;10.4559
42.3634;10.4369
42.6171;10.4289
42.8708;10.4959
43.1244;10.5004
43.3781;10.4507
43.6318;10.5353
43.8855;10.5485
44.1391;10.5278
44.3928;10.6037
44.6465;10.6428
44.9002;10.745
45.1538;10.8176
45.4075;10.8898
45.6612;10.8762
45.9148;10.7494
46.1685;10.7574
46.4222;10.8305
46.6759;10.8192
46.9295;10.8294
47.1832;10.8382
47.4369;10.7694
47.6906;10.7984
47.9442;10.7207
48.1979;10.707
48.4516;10.954
48.7053;10.9432
48.9589;10.9086
49.2126;10.851
49.4663;10.7192
49.7199;10.799
49.9736;10.8571
50.2273;11.1078
50.481;11.5698
50.7346;11.6909
50.9883;11.5085
51.242;11.3669
51.4957;11.2857
51.7493;11.3573
52.003;11.2652
52.2567;11.1836
52.5104;11.048
52.764;10.9941
53.0177;10.9978
53.2714;10.9885
53.525;11.1539
53.7787;11.1446
54.0324;10.9487
54.2861;10.7302
54.5397;10.6472
54.7934;10.7571
55.0471;10.7553
55.3008;10.661
55.5544;10.6957
55.8081;10.6397
56.0618;10.6704
56.3154;10.6908
56.5691;10.702
