Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 15:13:36
Device temperature = 19.1214
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBmPih
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.147
0.253673;16.1575
0.507346;14.8424
0.76102;14.051
1.01469;14.2569
1.26837;14.1223
1.52204;14.0746
1.77571;13.6423
2.02939;13.4086
2.28306;13.6695
2.53673;13.5015
2.79041;13.607
3.04408;13.529
3.29775;13.4516
3.55142;13.4758
3.8051;13.5157
4.05877;13.5039
4.31244;13.5903
4.56612;13.6046
4.81979;13.6674
5.07346;13.6363
5.32714;13.5998
5.58081;13.5719
5.83448;13.4857
6.08816;13.5428
6.34183;13.4921
6.5955;13.5069
6.84918;13.4954
7.10285;13.4535
7.35652;13.3759
7.6102;13.4261
7.86387;13.4456
8.11754;13.4651
8.37122;13.4448
8.62489;13.4288
8.87856;13.3737
9.13223;13.3049
9.38591;13.267
9.63958;13.3602
9.89325;13.3628
10.1469;13.3416
10.4006;13.3091
10.6543;13.3478
10.9079;13.302
11.1616;13.4004
11.4153;13.3205
11.669;13.4127
11.9226;13.4045
12.1763;13.3556
12.43;13.2811
12.6837;13.4133
12.9373;13.3572
13.191;13.2742
13.4447;13.3076
13.6984;13.4164
13.952;13.3396
14.2057;13.3536
14.4594;13.3149
14.713;13.3184
14.9667;13.3462
15.2204;13.338
15.4741;13.3155
15.7277;13.3383
15.9814;13.3575
16.2351;13.2969
16.4888;13.2446
16.7424;13.2483
16.9961;13.2384
17.2498;13.2608
17.5035;13.2992
17.7571;13.3541
18.0108;13.373
18.2645;13.351
18.5181;13.295
18.7718;13.2934
19.0255;13.2422
19.2792;13.252
19.5328;13.2693
19.7865;13.2845
20.0402;13.3257
20.2939;13.2879
20.5475;13.2588
20.8012;13.3259
21.0549;13.3059
21.3085;13.2895
21.5622;13.3517
21.8159;13.2656
22.0696;13.3121
22.3232;13.2999
22.5769;13.3454
22.8306;13.3198
23.0843;13.3123
23.3379;13.234
23.5916;13.2902
23.8453;13.3641
24.099;13.2696
24.3526;13.3402
24.6063;13.2986
24.86;13.1752
25.1136;13.2799
25.3673;13.3546
25.621;13.3281
25.8747;13.3291
26.1283;13.3965
26.382;13.3172
26.6357;13.4129
26.8894;13.476
27.143;13.3802
27.3967;13.3596
27.6504;13.4245
27.9041;13.3755
28.1577;13.4883
28.4114;13.5683
28.6651;13.8237
28.9187;14.3416
29.1724;15.1797
29.4261;15.4326
29.6798;15.5078
29.9334;15.5287
30.1871;15.4354
30.4408;15.3928
30.6945;15.3788
30.9481;15.3525
31.2018;15.4825
31.4555;15.5731
31.7092;15.7409
31.9628;15.9554
32.2165;16.355
32.4702;16.2707
32.7238;15.8732
32.9775;15.3562
33.2312;15.2033
33.4849;15.2862
33.7385;15.4173
33.9922;15.4305
34.2459;15.3436
34.4996;15.1723
34.7532;15.1285
35.0069;15.076
35.2606;15.2685
35.5142;15.3517
35.7679;15.5054
36.0216;15.4871
36.2753;15.3747
36.5289;15.3855
36.7826;15.3392
37.0363;15.2301
37.29;15.2417
37.5436;15.099
37.7973;15.1443
38.051;15.0057
38.3047;14.9713
38.5583;14.9507
38.812;14.9055
39.0657;14.9419
39.3193;14.814
39.573;14.7782
39.8267;14.9309
40.0804;14.8494
40.334;15.0171
40.5877;14.9184
40.8414;14.9402
41.0951;14.824
41.3487;14.8096
41.6024;14.9282
41.8561;14.9693
42.1097;14.985
42.3634;14.9919
42.6171;14.9805
42.8708;15.032
43.1244;14.8793
43.3781;14.6543
43.6318;14.6965
43.8855;14.8326
44.1391;14.902
44.3928;14.9706
44.6465;14.9388
44.9002;15.079
45.1538;15.0121
45.4075;15.1093
45.6612;15.1158
45.9148;15.0506
46.1685;14.9793
46.4222;14.9072
46.6759;14.8618
46.9295;14.962
47.1832;14.8753
47.4369;14.9575
47.6906;14.9197
47.9442;14.9917
48.1979;15.1405
48.4516;15.2355
48.7053;15.2548
48.9589;15.2748
49.2126;15.204
49.4663;15.273
49.7199;15.3023
49.9736;15.3223
50.2273;15.3503
50.481;15.3548
50.7346;15.5092
50.9883;15.5668
51.242;15.6046
51.4957;15.685
51.7493;15.5788
52.003;15.5106
52.2567;15.5466
52.5104;15.5131
52.764;15.5318
53.0177;15.4569
53.2714;15.541
53.525;15.5741
53.7787;15.3998
54.0324;15.4307
54.2861;15.4204
