Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 13:03:36
Device temperature = 19.1401
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBmR7t
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;16.7935
0.253673;15.6335
0.507346;14.2868
0.76102;13.3485
1.01469;13.481
1.26837;13.3851
1.52204;13.3028
1.77571;12.6944
2.02939;12.6848
2.28306;12.9389
2.53673;12.8615
2.79041;12.8972
3.04408;12.7662
3.29775;12.6834
3.55142;12.5791
3.8051;12.5588
4.05877;12.5806
4.31244;12.5798
4.56612;12.602
4.81979;12.6304
5.07346;12.6286
5.32714;12.614
5.58081;12.5397
5.83448;12.4894
6.08816;12.5482
6.34183;12.403
6.5955;12.4044
6.84918;12.3657
7.10285;12.3844
7.35652;12.3287
7.6102;12.2809
7.86387;12.2828
8.11754;12.3197
8.37122;12.2625
8.62489;12.3106
8.87856;12.2566
9.13223;12.3123
9.38591;12.3181
9.63958;12.2722
9.89325;12.3335
10.1469;12.2787
10.4006;12.1677
10.6543;12.2369
10.9079;12.235
11.1616;12.2805
11.4153;12.2713
11.669;12.3111
11.9226;12.1837
12.1763;12.3069
12.43;12.1268
12.6837;12.183
12.9373;12.145
13.191;12.2435
13.4447;12.2463
13.6984;12.2152
13.952;12.301
14.2057;12.2818
14.4594;12.2571
14.713;12.2131
14.9667;12.1597
15.2204;12.1883
15.4741;12.2731
15.7277;12.258
15.9814;12.2563
16.2351;12.2496
16.4888;12.1949
16.7424;12.1778
16.9961;12.2416
17.2498;12.2958
17.5035;12.3342
17.7571;12.2372
18.0108;12.3227
18.2645;12.2731
18.5181;12.2353
18.7718;12.2175
19.0255;12.2357
19.2792;12.2563
19.5328;12.2236
19.7865;12.225
20.0402;12.3044
20.2939;12.3211
20.5475;12.2827
20.8012;12.2768
21.0549;12.1952
21.3085;12.2332
21.5622;12.266
21.8159;12.2271
22.0696;12.2173
22.3232;12.2389
22.5769;12.2626
22.8306;12.2418
23.0843;12.2407
23.3379;12.3234
23.5916;12.3098
23.8453;12.3162
24.099;12.2325
24.3526;12.2653
24.6063;12.2103
24.86;12.2972
25.1136;12.2772
25.3673;12.3126
25.621;12.2648
25.8747;12.1998
26.1283;12.2699
26.382;12.2778
26.6357;12.2559
26.8894;12.2077
27.143;12.1587
27.3967;12.1889
27.6504;12.1227
27.9041;12.1664
28.1577;12.1981
28.4114;12.2746
28.6651;11.9969
28.9187;11.6478
29.1724;10.773
29.4261;10.3941
29.6798;10.2964
29.9334;10.2609
30.1871;10.183
30.4408;10.1118
30.6945;10.0194
30.9481;10.0205
31.2018;9.97909
31.4555;10.0204
31.7092;9.99489
31.9628;10.1018
32.2165;10.088
32.4702;9.91992
32.7238;9.92476
32.9775;9.86807
33.2312;9.91463
33.4849;9.93195
33.7385;9.94084
33.9922;9.92425
34.2459;9.85803
34.4996;9.79453
34.7532;9.7537
35.0069;9.76607
35.2606;9.75894
35.5142;9.85666
35.7679;9.81674
36.0216;9.83098
36.2753;9.72498
