Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 15:23:36
Device temperature = 19.1787
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBmW36
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.2261
0.253673;16.2891
0.507346;15.0023
0.76102;14.1616
1.01469;14.3491
1.26837;14.3771
1.52204;14.2584
1.77571;13.6935
2.02939;13.618
2.28306;13.8499
2.53673;13.7519
2.79041;13.7025
3.04408;13.767
3.29775;13.6066
3.55142;13.5971
3.8051;13.7038
4.05877;13.7951
4.31244;13.7916
4.56612;13.8499
4.81979;13.8535
5.07346;13.7615
5.32714;13.7971
5.58081;13.8023
5.83448;13.7556
6.08816;13.7019
6.34183;13.707
6.5955;13.6619
6.84918;13.7189
7.10285;13.6085
7.35652;13.6791
7.6102;13.6672
7.86387;13.6425
8.11754;13.6936
8.37122;13.6724
8.62489;13.6152
8.87856;13.4634
9.13223;13.5439
9.38591;13.53
9.63958;13.6099
9.89325;13.6602
10.1469;13.6629
10.4006;13.5763
10.6543;13.5746
10.9079;13.4748
11.1616;13.5739
11.4153;13.6073
11.669;13.5817
11.9226;13.5998
12.1763;13.5721
12.43;13.5854
12.6837;13.5471
12.9373;13.6012
13.191;13.5539
13.4447;13.5843
13.6984;13.5418
13.952;13.4592
14.2057;13.5792
14.4594;13.5095
14.713;13.4831
14.9667;13.5514
15.2204;13.5182
15.4741;13.5138
15.7277;13.561
15.9814;13.5756
16.2351;13.5151
16.4888;13.4827
16.7424;13.3877
16.9961;13.4534
17.2498;13.4973
17.5035;13.5076
17.7571;13.5463
18.0108;13.5422
18.2645;13.5171
18.5181;13.3983
18.7718;13.4995
19.0255;13.4655
19.2792;13.5241
19.5328;13.5364
19.7865;13.5154
20.0402;13.5444
20.2939;13.4908
20.5475;13.413
20.8012;13.5064
21.0549;13.5049
21.3085;13.5469
21.5622;13.5583
21.8159;13.5265
22.0696;13.4338
22.3232;13.4669
22.5769;13.4534
22.8306;13.3983
23.0843;13.4349
23.3379;13.4579
23.5916;13.5379
23.8453;13.5157
24.099;13.5276
24.3526;13.4855
24.6063;13.4889
24.86;13.4754
25.1136;13.4322
25.3673;13.5032
25.621;13.5044
25.8747;13.5024
26.1283;13.5804
26.382;13.5934
26.6357;13.5353
26.8894;13.6629
27.143;13.571
27.3967;13.6186
27.6504;13.5864
27.9041;13.655
28.1577;13.6487
28.4114;13.8681
28.6651;14.1443
28.9187;14.6719
29.1724;15.6967
29.4261;16.0711
29.6798;16.1094
29.9334;16.0428
30.1871;16.0313
30.4408;16.0939
30.6945;16.1978
30.9481;16.2617
31.2018;16.4637
31.4555;16.7393
31.7092;17.3523
31.9628;18.3511
32.2165;19.8333
32.4702;19.2922
32.7238;17.8572
32.9775;16.3062
33.2312;15.7466
33.4849;16.006
33.7385;16.0549
33.9922;16.0216
34.2459;15.861
34.4996;15.7724
34.7532;15.5981
35.0069;15.6176
35.2606;15.8092
35.5142;15.9574
35.7679;15.9968
36.0216;16.0364
36.2753;15.927
36.5289;15.9072
36.7826;15.7825
37.0363;15.7513
37.29;15.5879
37.5436;15.513
37.7973;15.5143
38.051;15.4568
38.3047;15.3876
38.5583;15.4379
38.812;15.3653
39.0657;15.3491
39.3193;15.2163
39.573;15.3155
39.8267;15.2984
40.0804;15.3634
40.334;15.4527
40.5877;15.436
40.8414;15.4168
41.0951;15.3494
41.3487;15.2905
41.6024;15.3463
41.8561;15.3413
42.1097;15.3561
42.3634;15.3821
42.6171;15.4446
42.8708;15.3748
43.1244;15.2775
43.3781;15.0215
43.6318;15.0832
43.8855;15.1744
44.1391;15.2187
44.3928;15.2789
44.6465;15.3848
44.9002;15.426
45.1538;15.4674
45.4075;15.5315
45.6612;15.5775
45.9148;15.5302
