Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 12:53:36
Device temperature = 19.2005
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBmZqg
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;16.8676
0.253673;15.6917
0.507346;14.3474
0.76102;13.3754
1.01469;13.5849
1.26837;13.4807
1.52204;13.2725
1.77571;12.7641
2.02939;12.7005
2.28306;12.8961
2.53673;12.9329
2.79041;12.8703
3.04408;12.8002
3.29775;12.747
3.55142;12.6004
3.8051;12.5276
4.05877;12.594
4.31244;12.5621
4.56612;12.6605
4.81979;12.621
5.07346;12.6705
5.32714;12.645
5.58081;12.6244
5.83448;12.5087
6.08816;12.469
6.34183;12.4518
6.5955;12.4552
6.84918;12.4152
7.10285;12.4157
7.35652;12.3323
7.6102;12.2635
7.86387;12.3078
8.11754;12.3327
8.37122;12.3569
8.62489;12.2849
8.87856;12.2312
9.13223;12.2941
9.38591;12.3226
9.63958;12.363
9.89325;12.3457
10.1469;12.2486
10.4006;12.257
10.6543;12.2381
10.9079;12.2487
11.1616;12.3466
11.4153;12.3063
11.669;12.3578
11.9226;12.2851
12.1763;12.2425
12.43;12.2355
12.6837;12.1937
12.9373;12.1686
13.191;12.2838
13.4447;12.3105
13.6984;12.2928
13.952;12.24
14.2057;12.3119
14.4594;12.296
14.713;12.2682
14.9667;12.2336
15.2204;12.234
15.4741;12.2916
15.7277;12.2553
15.9814;12.2679
16.2351;12.3421
16.4888;12.2299
16.7424;12.2354
16.9961;12.1611
17.2498;12.257
17.5035;12.3027
17.7571;12.2561
18.0108;12.2987
18.2645;12.3424
18.5181;12.2562
18.7718;12.2627
19.0255;12.2135
19.2792;12.2209
19.5328;12.2807
19.7865;12.2698
20.0402;12.2792
20.2939;12.3946
20.5475;12.3195
20.8012;12.2775
21.0549;12.2521
21.3085;12.2539
21.5622;12.2402
21.8159;12.2585
22.0696;12.2967
22.3232;12.3408
22.5769;12.2507
22.8306;12.25
23.0843;12.1938
23.3379;12.3189
23.5916;12.294
