Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 15:33:36
Device temperature = 19.2437
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBmfMZ
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.2839
0.253673;16.3168
0.507346;15.0389
0.76102;14.1661
1.01469;14.4423
1.26837;14.4948
1.52204;14.474
1.77571;13.9334
2.02939;13.861
2.28306;14.0189
2.53673;13.7745
2.79041;13.8509
3.04408;13.8571
3.29775;13.8475
3.55142;13.7752
3.8051;13.8335
4.05877;13.92
4.31244;13.9568
4.56612;13.9844
4.81979;14.0179
5.07346;13.9314
5.32714;13.949
5.58081;13.9289
5.83448;13.8631
6.08816;13.9071
6.34183;13.9074
6.5955;13.8076
6.84918;13.8369
7.10285;13.7845
7.35652;13.8583
7.6102;13.9281
7.86387;13.7909
8.11754;13.9133
8.37122;13.8401
8.62489;13.7941
8.87856;13.7352
9.13223;13.7094
9.38591;13.6665
9.63958;13.7565
9.89325;13.8127
10.1469;13.8163
10.4006;13.7504
10.6543;13.7627
10.9079;13.7653
11.1616;13.8922
11.4153;13.7934
11.669;13.8338
11.9226;13.7666
12.1763;13.7767
12.43;13.7368
12.6837;13.7348
12.9373;13.8074
13.191;13.8065
13.4447;13.8046
13.6984;13.7149
13.952;13.7088
14.2057;13.7476
14.4594;13.7032
14.713;13.6737
14.9667;13.7454
15.2204;13.6799
15.4741;13.6583
15.7277;13.7245
15.9814;13.6699
16.2351;13.7297
16.4888;13.6951
16.7424;13.6764
16.9961;13.7048
17.2498;13.6711
17.5035;13.7087
17.7571;13.7438
18.0108;13.7278
18.2645;13.8208
18.5181;13.6488
18.7718;13.6695
19.0255;13.7142
19.2792;13.7052
19.5328;13.6867
19.7865;13.7807
20.0402;13.6111
20.2939;13.7192
20.5475;13.7032
20.8012;13.5988
21.0549;13.6705
21.3085;13.7564
21.5622;13.7442
21.8159;13.776
22.0696;13.6964
22.3232;13.7147
22.5769;13.6786
22.8306;13.6478
23.0843;13.645
23.3379;13.7227
23.5916;13.6647
23.8453;13.7539
24.099;13.7564
24.3526;13.7304
24.6063;13.7027
24.86;13.6816
25.1136;13.7047
25.3673;13.7507
25.621;13.7257
25.8747;13.807
26.1283;13.7868
26.382;13.8645
26.6357;13.7993
26.8894;13.7217
27.143;13.833
27.3967;13.8794
27.6504;13.837
27.9041;13.8146
28.1577;13.8445
28.4114;14.1651
28.6651;14.4689
28.9187;15.3128
29.1724;16.8035
29.4261;17.2233
29.6798;17.2093
29.9334;16.9955
30.1871;16.8856
30.4408;17.0041
30.6945;16.8663
30.9481;16.8304
31.2018;16.8131
31.4555;16.7637
31.7092;16.8025
31.9628;16.8542
32.2165;16.9203
32.4702;16.7713
32.7238;16.5294
32.9775;16.2116
33.2312;16.2612
33.4849;16.3922
33.7385;16.4906
