Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 12:43:36
Device temperature = 19.2677
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBmiRA
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;16.8792
0.253673;15.7676
0.507346;14.3915
0.76102;13.4652
1.01469;13.5755
1.26837;13.4028
1.52204;13.2935
1.77571;12.7733
2.02939;12.608
2.28306;12.9821
2.53673;13.0329
2.79041;12.9506
3.04408;12.826
3.29775;12.7037
3.55142;12.6466
3.8051;12.6203
4.05877;12.6017
4.31244;12.5765
4.56612;12.7041
4.81979;12.6621
5.07346;12.7195
5.32714;12.6349
5.58081;12.5859
5.83448;12.4146
6.08816;12.4924
6.34183;12.5353
6.5955;12.5161
6.84918;12.4412
7.10285;12.3454
7.35652;12.3712
7.6102;12.3047
7.86387;12.2704
8.11754;12.244
8.37122;12.345
8.62489;12.3462
8.87856;12.2388
9.13223;12.3162
9.38591;12.3866
9.63958;12.3443
9.89325;12.2751
10.1469;12.2826
10.4006;12.2839
10.6543;12.2623
10.9079;12.2645
11.1616;12.2834
11.4153;12.3185
11.669;12.2765
11.9226;12.225
12.1763;12.2198
12.43;12.217
12.6837;12.1987
12.9373;12.2661
13.191;12.3522
13.4447;12.2367
13.6984;12.3107
13.952;12.2753
14.2057;12.2835
14.4594;12.2988
14.713;12.3945
14.9667;12.3028
15.2204;12.3171
15.4741;12.2827
15.7277;12.3792
15.9814;12.305
16.2351;12.3139
16.4888;12.3128
16.7424;12.3725
16.9961;12.3485
17.2498;12.3048
17.5035;12.2475
17.7571;12.2753
18.0108;12.2413
18.2645;12.2717
18.5181;12.2632
18.7718;12.2842
19.0255;12.3045
19.2792;12.2969
19.5328;12.273
19.7865;12.2701
20.0402;12.301
20.2939;12.3638
20.5475;12.3567
20.8012;12.3686
21.0549;12.3247
21.3085;12.2642
21.5622;12.2492
21.8159;12.2739
22.0696;12.2549
22.3232;12.2903
22.5769;12.3286
22.8306;12.2723
23.0843;12.3305
23.3379;12.3916
23.5916;12.3392
23.8453;12.3684
24.099;12.2653
24.3526;12.2369
24.6063;12.2581
24.86;12.3739
25.1136;12.3589
25.3673;12.3393
25.621;12.2872
25.8747;12.2807
26.1283;12.2846
26.382;12.2331
26.6357;12.3301
26.8894;12.294
27.143;12.3013
27.3967;12.2494
27.6504;12.1639
27.9041;12.2062
28.1577;12.2947
28.4114;12.2179
28.6651;12.0844
28.9187;11.5049
29.1724;9.90904
29.4261;9.3843
29.6798;9.18372
29.9334;9.18145
30.1871;9.11838
30.4408;9.04635
30.6945;9.0503
30.9481;9.03088
31.2018;8.91542
31.4555;8.88545
31.7092;8.91691
31.9628;8.95696
32.2165;8.96185
32.4702;8.98439
32.7238;9.06985
32.9775;9.06676
33.2312;8.98125
33.4849;8.94218
33.7385;8.91926
33.9922;8.87709
34.2459;8.88036
34.4996;8.83224
34.7532;8.774
35.0069;8.80333
35.2606;8.75486
35.5142;8.64017
35.7679;8.61747
36.0216;8.53381
36.2753;8.56142
36.5289;8.49084
36.7826;8.50776
37.0363;8.53942
37.29;8.53747
37.5436;8.42031
37.7973;8.33554
38.051;8.45513
38.3047;8.42991
38.5583;8.4513
38.812;8.45036
39.0657;8.48451
39.3193;8.49394
39.573;8.50968
39.8267;8.39646
40.0804;8.34982
40.334;8.47823
40.5877;8.57585
40.8414;8.74258
41.0951;8.8291
41.3487;9.26218
41.6024;9.50214
41.8561;9.85605
42.1097;9.95895
42.3634;9.89807
42.6171;9.87364
42.8708;9.71791
43.1244;9.57803
43.3781;9.4559
43.6318;9.43037
43.8855;9.21695
44.1391;9.23645
44.3928;9.44088
44.6465;9.5326
44.9002;9.62901
45.1538;9.80508
45.4075;9.82322
45.6612;9.71644
45.9148;9.67951
46.1685;9.57691
46.4222;9.81028
46.6759;9.95171
46.9295;10.0916
47.1832;10.0321
47.4369;9.82382
47.6906;9.66737
47.9442;9.53212
48.1979;9.50926
48.4516;9.43394
48.7053;9.40386
48.9589;9.3749
49.2126;9.24854
49.4663;8.97433
49.7199;8.99953
49.9736;9.02653
50.2273;9.20525
50.481;9.6209
50.7346;9.73777
50.9883;9.62272
51.242;9.44814
51.4957;9.29556
51.7493;9.28972
52.003;9.25692
52.2567;9.27299
52.5104;9.23925
52.764;9.12082
53.0177;9.00977
53.2714;9.02115
53.525;8.95117
53.7787;8.92634
54.0324;8.92313
54.2861;8.91491
54.5397;8.89804
54.7934;8.90078
55.0471;9.00832
55.3008;8.99562
55.5544;9.0689
55.8081;9.18894
56.0618;9.1858
56.3154;9.15552
56.5691;9.23553
56.8228;9.21696
57.0765;9.21887
57.3301;9.20977
57.5838;9.24265
57.8375;9.23039
58.0912;9.31805
58.3448;9.32543
58.5985;9.26584
58.8522;9.0917
59.1059;9.08375
59.3595;9.1445
59.6132;9.13692
59.8669;9.10991
60.1205;8.93009
60.3742;8.92851
60.6279;8.77345
60.8816;8.85134
61.1352;8.82258
61.3889;8.9469
61.6426;8.93144
61.8963;8.95906
62.1499;8.81579
62.4036;8.73022
62.6573;8.86515
62.911;8.92009
63.1646;8.94443
63.4183;9.0225
63.672;8.94318
63.9256;8.96024
64.1793;8.89816
64.433;8.96881
64.6867;8.82343
64.9403;8.8064
65.194;8.86573
65.4477;8.89029
65.7014;9.045
65.955;9.12566
66.2087;9.13876
66.4624;9.15881
66.716;9.06083
66.9697;8.98137
67.2234;8.97387
67.4771;9.04767
67.7307;9.04703
67.9844;9.07489
68.2381;9.07895
68.4918;9.183
68.7454;9.32033
68.9991;9.44496
69.2528;9.47198
69.5065;9.55206
69.7601;9.57012
70.0138;9.49117
70.2675;9.30599
70.5211;9.25713
70.7748;9.18008
71.0285;9.13244
71.2822;9.06139
71.5358;9.03213
71.7895;9.05435
72.0432;9.05051
72.2969;8.95598
72.5505;8.98771
72.8042;8.97212
73.0579;9.04926
73.3116;9.1401
73.5652;9.25209
73.8189;9.15048
74.0726;9.16219
74.3262;9.2138
74.5799;9.17923
74.8336;9.06997
75.0873;9.00782
75.3409;8.95585
75.5946;8.95456
75.8483;9.04521
76.102;9.01648
76.3556;9.03528
76.6093;8.99708
76.863;8.92565
77.1167;8.91033
77.3703;8.90105
77.624;8.91072
77.8777;8.90885
78.1313;8.86949
78.385;8.92055
78.6387;8.92101
78.8924;8.90052
79.146;8.84039
79.3997;8.81441
79.6534;8.86
79.9071;8.93551
80.1607;8.99728
80.4144;8.89691
80.6681;8.88019
80.9218;8.80332
81.1754;8.997
81.4291;9.05399
81.6828;9.12817
81.9364;9.16497
82.1901;9.2451
82.4438;9.2461
82.6975;9.13179
82.9511;9.05602
83.2048;9.04553
83.4585;9.07849
83.7122;9.03623
83.9658;8.8452
84.2195;8.77669
84.4732;8.69728
84.7268;8.69217
84.9805;8.75155
85.2342;8.72307
85.4879;8.71837
85.7415;8.68476
85.9952;8.81876
86.2489;8.9222
86.5026;9.00329
86.7562;8.95521
87.0099;8.84241
87.2636;8.86379
87.5173;8.93614
87.7709;8.82624
88.0246;8.70167
88.2783;8.64594
88.5319;8.64855
88.7856;8.59988
89.0393;8.64768
89.293;8.68404
89.5466;8.74316
89.8003;8.79561
90.054;8.87651
90.3077;8.91948
90.5613;9.03869
90.815;9.07817
91.0687;8.96875
91.3223;8.82622
91.576;8.81314
91.8297;8.76448
92.0834;8.72019
92.337;8.77961
92.5907;8.82997
92.8444;8.78843
93.0981;8.89087
