Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 15:43:36
Device temperature = 19.3245
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBmpiT
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.3301
0.253673;16.4976
0.507346;15.2442
0.76102;14.4044
1.01469;14.659
1.26837;14.7036
1.52204;14.6896
1.77571;14.3033
2.02939;14.0553
2.28306;14.1524
2.53673;14.006
2.79041;14.0762
3.04408;14.0774
3.29775;14.0084
3.55142;14.0483
3.8051;14.1299
4.05877;14.2215
4.31244;14.2001
4.56612;14.294
4.81979;14.2531
5.07346;14.3071
5.32714;14.2598
5.58081;14.2073
5.83448;14.1938
6.08816;14.311
6.34183;14.1514
6.5955;14.095
6.84918;14.1415
7.10285;14.0987
7.35652;14.1246
7.6102;14.1525
7.86387;14.2002
8.11754;14.1575
8.37122;14.1632
8.62489;14.1931
8.87856;14.0517
9.13223;14.0208
9.38591;13.9982
9.63958;14.0223
9.89325;14.0591
10.1469;14.0854
10.4006;13.9963
10.6543;14.0157
10.9079;14.0487
11.1616;14.0595
11.4153;14.0874
11.669;14.0591
11.9226;14.0177
12.1763;14.1103
12.43;14.0385
12.6837;14.1094
12.9373;14.1569
13.191;14.1675
13.4447;14.0589
13.6984;14.0613
13.952;13.9745
14.2057;14.0086
14.4594;13.9412
14.713;14.0046
14.9667;14.0331
15.2204;14.0453
15.4741;14.0032
15.7277;13.9172
15.9814;13.9643
16.2351;13.9307
16.4888;13.9264
16.7424;13.9192
16.9961;13.9206
17.2498;13.9968
17.5035;13.9602
17.7571;13.9624
18.0108;14.0646
18.2645;14.0441
18.5181;14.0013
18.7718;13.9495
19.0255;13.9663
19.2792;13.951
19.5328;13.9953
19.7865;13.9576
20.0402;13.9153
20.2939;13.8753
20.5475;13.961
20.8012;13.9431
21.0549;14.0198
21.3085;14.0948
21.5622;14.0933
21.8159;14.0202
22.0696;13.9444
22.3232;13.9246
22.5769;13.8721
22.8306;13.9969
23.0843;13.9377
23.3379;13.9978
23.5916;14.0111
23.8453;13.9476
24.099;13.942
24.3526;13.9857
24.6063;13.987
24.86;13.8979
25.1136;13.8897
25.3673;13.9973
25.621;14.0457
