Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 12:33:36
Device temperature = 19.3349
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBmq3g
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;16.8432
0.253673;15.826
0.507346;14.442
0.76102;13.4381
1.01469;13.6137
1.26837;13.4837
1.52204;13.3781
1.77571;12.8148
2.02939;12.6718
2.28306;12.95
2.53673;13.02
2.79041;12.9737
3.04408;12.8702
3.29775;12.7349
3.55142;12.6916
3.8051;12.6527
4.05877;12.6747
4.31244;12.6266
4.56612;12.7149
4.81979;12.6506
5.07346;12.7143
5.32714;12.7116
5.58081;12.6736
5.83448;12.5372
6.08816;12.5123
6.34183;12.4738
6.5955;12.5504
6.84918;12.4764
7.10285;12.4514
7.35652;12.3468
7.6102;12.3054
7.86387;12.3726
8.11754;12.414
8.37122;12.4333
8.62489;12.4045
8.87856;12.2856
9.13223;12.4633
9.38591;12.377
9.63958;12.4167
9.89325;12.4168
10.1469;12.3232
10.4006;12.3494
10.6543;12.346
10.9079;12.2533
11.1616;12.3221
11.4153;12.3162
11.669;12.3993
11.9226;12.2415
12.1763;12.2344
12.43;12.2808
12.6837;12.2894
12.9373;12.3073
13.191;12.3322
13.4447;12.2945
13.6984;12.3078
13.952;12.3195
14.2057;12.2997
14.4594;12.3446
14.713;12.3176
14.9667;12.2509
15.2204;12.3168
15.4741;12.3433
15.7277;12.3924
15.9814;12.3843
16.2351;12.4462
16.4888;12.3082
16.7424;12.2251
16.9961;12.2827
17.2498;12.4208
17.5035;12.331
17.7571;12.2674
18.0108;12.332
18.2645;12.3498
18.5181;12.3106
18.7718;12.32
19.0255;12.323
19.2792;12.3957
19.5328;12.2397
19.7865;12.306
20.0402;12.3318
20.2939;12.3543
20.5475;12.3269
20.8012;12.3301
21.0549;12.31
21.3085;12.3259
21.5622;12.2958
21.8159;12.2634
22.0696;12.3552
22.3232;12.4099
22.5769;12.2704
22.8306;12.2879
23.0843;12.3786
23.3379;12.4588
23.5916;12.406
23.8453;12.2919
24.099;12.3232
24.3526;12.2439
24.6063;12.2676
24.86;12.3461
25.1136;12.333
25.3673;12.4086
25.621;12.3782
25.8747;12.3555
26.1283;12.3229
26.382;12.371
26.6357;12.3584
26.8894;12.4135
27.143;12.2342
27.3967;12.2228
27.6504;12.2345
27.9041;12.2231
28.1577;12.295
28.4114;12.262
28.6651;12.0072
28.9187;11.3899
29.1724;9.73713
29.4261;9.1893
29.6798;9.01183
29.9334;8.96079
30.1871;8.96945
30.4408;8.92023
30.6945;8.7732
30.9481;8.66406
31.2018;8.64368
31.4555;8.67573
31.7092;8.72073
31.9628;8.74919
32.2165;8.81347
32.4702;8.79981
32.7238;8.81973
32.9775;8.78133
33.2312;8.7576
33.4849;8.73795
33.7385;8.62805
33.9922;8.6333
34.2459;8.67433
