Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 12:23:36
Device temperature = 19.4091
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBm0XW
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;16.9531
0.253673;15.9697
0.507346;14.5121
0.76102;13.4835
1.01469;13.6875
1.26837;13.5743
1.52204;13.4049
1.77571;12.9305
2.02939;12.7644
2.28306;13.0817
2.53673;13.0462
2.79041;13.038
3.04408;12.9665
3.29775;12.8723
3.55142;12.7815
3.8051;12.6847
4.05877;12.6639
4.31244;12.6414
4.56612;12.7008
4.81979;12.7291
5.07346;12.7467
5.32714;12.7429
5.58081;12.7474
5.83448;12.6047
6.08816;12.5598
6.34183;12.561
6.5955;12.5515
6.84918;12.5467
7.10285;12.5188
7.35652;12.4062
7.6102;12.4133
7.86387;12.5217
8.11754;12.3927
8.37122;12.3831
8.62489;12.3545
8.87856;12.2733
9.13223;12.492
9.38591;12.536
9.63958;12.5013
9.89325;12.4099
10.1469;12.3884
10.4006;12.4071
10.6543;12.3343
10.9079;12.4368
11.1616;12.3981
11.4153;12.4401
11.669;12.394
11.9226;12.417
12.1763;12.3626
12.43;12.3667
12.6837;12.4176
12.9373;12.3068
13.191;12.3508
13.4447;12.4295
13.6984;12.4227
13.952;12.4332
14.2057;12.3891
14.4594;12.4365
14.713;12.3812
14.9667;12.3437
15.2204;12.414
15.4741;12.3935
15.7277;12.4275
15.9814;12.5567
16.2351;12.4088
16.4888;12.4399
16.7424;12.3816
16.9961;12.4052
17.2498;12.4657
17.5035;12.4899
17.7571;12.356
18.0108;12.4797
18.2645;12.4029
18.5181;12.3775
18.7718;12.3332
19.0255;12.3272
19.2792;12.4555
19.5328;12.4374
19.7865;12.5101
20.0402;12.4276
20.2939;12.3815
20.5475;12.3992
20.8012;12.4227
21.0549;12.4447
21.3085;12.4248
21.5622;12.4809
21.8159;12.3864
22.0696;12.3937
22.3232;12.4437
22.5769;12.4094
22.8306;12.3434
23.0843;12.4786
23.3379;12.388
23.5916;12.495
23.8453;12.4591
24.099;12.4185
24.3526;12.3727
24.6063;12.3966
24.86;12.4399
25.1136;12.4866
25.3673;12.4483
25.621;12.461
25.8747;12.3942
26.1283;12.3947
26.382;12.3836
26.6357;12.511
26.8894;12.4577
27.143;12.3426
27.3967;12.3208
27.6504;12.2916
27.9041;12.3206
28.1577;12.4048
28.4114;12.2762
28.6651;11.9504
28.9187;11.1358
29.1724;9.30684
29.4261;8.64649
29.6798;8.51203
29.9334;8.43853
30.1871;8.43641
30.4408;8.30317
30.6945;8.28986
30.9481;8.26871
31.2018;8.14031
31.4555;8.2387
31.7092;8.34652
31.9628;8.38154
32.2165;8.60553
32.4702;8.58088
32.7238;8.5677
32.9775;8.51828
33.2312;8.40168
33.4849;8.3994
33.7385;8.38154
33.9922;8.353
34.2459;8.42924
34.4996;8.39546
34.7532;8.44592
35.0069;8.4509
35.2606;8.30709
35.5142;8.22381
35.7679;8.17321
36.0216;8.1114
36.2753;8.12241
36.5289;8.06787
36.7826;8.05172
37.0363;8.02442
37.29;8.03588
37.5436;8.04035
37.7973;7.95464
38.051;7.91749
38.3047;7.95236
38.5583;7.91839
38.812;7.92155
39.0657;7.94785
39.3193;7.91024
39.573;7.81819
39.8267;7.91538
40.0804;7.83752
40.334;7.85961
40.5877;7.89792
40.8414;7.84703
41.0951;7.88552
41.3487;8.05635
41.6024;8.20621
41.8561;8.32145
42.1097;8.36229
42.3634;8.40399
42.6171;8.3587
42.8708;8.40524
43.1244;8.38709
43.3781;8.50739
43.6318;8.50795
43.8855;8.59842
44.1391;8.67344
44.3928;8.66537
44.6465;8.60941
44.9002;8.61074
45.1538;8.63317
45.4075;8.63246
45.6612;8.61771
45.9148;8.64727
46.1685;8.59606
46.4222;8.52851
46.6759;8.47627
46.9295;8.48557
47.1832;8.39668
47.4369;8.40233
47.6906;8.41908
47.9442;8.40524
48.1979;8.32697
48.4516;8.44135
48.7053;8.39537
48.9589;8.45483
49.2126;8.23734
49.4663;8.17009
49.7199;8.19447
49.9736;8.20013
50.2273;8.29757
50.481;8.58873
50.7346;8.59937
50.9883;8.55915
51.242;8.47214
51.4957;8.46669
51.7493;8.47309
52.003;8.54373
52.2567;8.54937
52.5104;8.59635
52.764;8.47309
53.0177;8.42399
53.2714;8.32117
53.525;8.22552
53.7787;8.31245
54.0324;8.2391
54.2861;8.14909
54.5397;8.07219
54.7934;8.07378
55.0471;8.16761
55.3008;8.1134
55.5544;8.25326
55.8081;8.31611
56.0618;8.34198
56.3154;8.28938
56.5691;8.32368
56.8228;8.32309
57.0765;8.32518
57.3301;8.31941
57.5838;8.24259
57.8375;8.29149
58.0912;8.30897
58.3448;8.29655
58.5985;8.38021
58.8522;8.21542
59.1059;8.33732
59.3595;8.33965
59.6132;8.48192
59.8669;8.39532
60.1205;8.34676
60.3742;8.28043
60.6279;8.23385
60.8816;8.13814
61.1352;8.27894
61.3889;8.292
61.6426;8.36877
61.8963;8.33956
62.1499;8.39831
62.4036;8.34415
62.6573;8.2444
62.911;8.21677
63.1646;8.28969
63.4183;8.25437
63.672;8.18665
63.9256;8.1838
64.1793;8.18612
64.433;8.29627
64.6867;8.29515
64.9403;8.23932
65.194;8.2373
65.4477;8.17462
65.7014;8.21377
65.955;8.1594
66.2087;8.21731
66.4624;8.25213
66.716;8.2829
66.9697;8.16819
67.2234;8.20918
67.4771;8.37567
