Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 15:53:36
Device temperature = 19.4089
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBm0Vt
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.562
0.253673;16.6675
0.507346;15.2772
0.76102;14.5501
1.01469;14.8569
1.26837;14.8472
1.52204;14.9684
1.77571;14.5447
2.02939;14.3753
2.28306;14.4564
2.53673;14.2834
2.79041;14.2605
3.04408;14.2747
3.29775;14.2851
3.55142;14.2927
3.8051;14.3941
4.05877;14.5422
4.31244;14.5811
4.56612;14.6643
4.81979;14.6527
5.07346;14.5764
5.32714;14.5066
5.58081;14.5136
5.83448;14.5326
6.08816;14.535
6.34183;14.5198
6.5955;14.4235
6.84918;14.4844
7.10285;14.5093
7.35652;14.4894
7.6102;14.5469
7.86387;14.5437
8.11754;14.5823
8.37122;14.5484
8.62489;14.4322
8.87856;14.4368
9.13223;14.3648
9.38591;14.4197
9.63958;14.379
9.89325;14.451
10.1469;14.4787
10.4006;14.4573
10.6543;14.4449
10.9079;14.5317
11.1616;14.412
11.4153;14.4705
11.669;14.4464
11.9226;14.4697
12.1763;14.5034
12.43;14.4857
12.6837;14.4597
12.9373;14.5259
13.191;14.4461
13.4447;14.4612
13.6984;14.2897
13.952;14.275
14.2057;14.3905
14.4594;14.3637
14.713;14.3442
14.9667;14.3872
15.2204;14.4354
15.4741;14.2505
15.7277;14.2712
15.9814;14.3029
16.2351;14.271
16.4888;14.3059
16.7424;14.3074
16.9961;14.2466
17.2498;14.3282
17.5035;14.3126
17.7571;14.3551
18.0108;14.4808
18.2645;14.4187
18.5181;14.4078
18.7718;14.3145
19.0255;14.2924
19.2792;14.3624
19.5328;14.3237
19.7865;14.2539
20.0402;14.2578
20.2939;14.2282
20.5475;14.2414
20.8012;14.1555
21.0549;14.2853
21.3085;14.4227
21.5622;14.4807
21.8159;14.3742
22.0696;14.3044
22.3232;14.3325
22.5769;14.2514
22.8306;14.225
23.0843;14.2434
23.3379;14.2608
23.5916;14.2944
23.8453;14.2516
24.099;14.361
24.3526;14.3998
24.6063;14.3833
24.86;14.2198
25.1136;14.2515
25.3673;14.2932
25.621;14.3441
25.8747;14.4503
26.1283;14.5473
26.382;14.5068
26.6357;14.5597
26.8894;14.5611
27.143;14.5625
27.3967;14.4937
27.6504;14.5314
27.9041;14.5239
28.1577;14.6298
28.4114;14.7966
28.6651;15.1195
28.9187;15.79
29.1724;17.0346
29.4261;17.4318
29.6798;17.4325
29.9334;17.3831
30.1871;17.3992
30.4408;17.331
30.6945;17.3976
30.9481;17.2948
31.2018;17.3329
31.4555;17.3924
31.7092;17.446
31.9628;17.64
32.2165;17.8051
32.4702;17.6706
32.7238;17.369
32.9775;17.0476
33.2312;17.0355
33.4849;17.1991
33.7385;17.1941
33.9922;17.2916
34.2459;17.1097
34.4996;17.0673
34.7532;16.9962
35.0069;16.9756
35.2606;17.0193
35.5142;17.191
35.7679;17.2348
36.0216;17.2531
36.2753;17.1954
36.5289;17.0986
36.7826;17.0698
37.0363;16.9978
37.29;16.9823
37.5436;16.9021
37.7973;16.8965
38.051;16.7617
38.3047;16.8296
38.5583;16.8542
38.812;16.8722
39.0657;16.7857
39.3193;16.7478
39.573;16.8153
39.8267;16.6786
40.0804;16.8311
40.334;16.8273
40.5877;16.716
40.8414;16.7235
41.0951;16.6483
41.3487;16.5046
41.6024;16.473
41.8561;16.4894
42.1097;16.5133
42.3634;16.6615
42.6171;16.7208
42.8708;16.6344
43.1244;16.4078
43.3781;16.2668
43.6318;16.2358
43.8855;16.2484
44.1391;16.3998
44.3928;16.672
44.6465;16.9452
44.9002;17.2495
45.1538;17.2058
45.4075;17.1255
45.6612;17.0584
45.9148;16.8897
46.1685;16.7698
46.4222;16.792
46.6759;16.8724
46.9295;16.9526
47.1832;16.9345
47.4369;17.07
47.6906;16.9881
47.9442;16.9609
48.1979;16.9686
48.4516;16.9504
48.7053;16.9579
48.9589;16.9905
49.2126;17.0786
49.4663;17.0723
49.7199;17.1077
49.9736;17.1001
50.2273;17.1573
50.481;17.3819
50.7346;17.5311
50.9883;17.6084
51.242;17.6047
51.4957;17.6252
51.7493;17.418
52.003;17.3695
52.2567;17.2707
52.5104;17.1558
52.764;17.1374
53.0177;17.312
53.2714;17.2177
53.525;17.2854
53.7787;17.187
54.0324;17.2052
54.2861;17.1646
54.5397;17.1516
54.7934;17.1046
55.0471;16.9721
55.3008;16.8959
55.5544;16.9036
55.8081;17.0232
56.0618;17.0821
56.3154;17.0344
56.5691;17.0473
56.8228;17.0356
57.0765;17.1029
57.3301;17.1216
57.5838;17.2117
57.8375;17.195
58.0912;17.2407
58.3448;17.2084
58.5985;17.1676
58.8522;17.2369
59.1059;17.1448
59.3595;17.0826
59.6132;17.0551
59.8669;17.1409
60.1205;17.1987
60.3742;17.2147
60.6279;17.3699
60.8816;17.3753
61.1352;17.314
61.3889;17.1943
61.6426;17.2486
61.8963;17.3348
62.1499;17.6368
62.4036;17.8996
62.6573;18.8241
62.911;19.7166
63.1646;20.7389
63.4183;21.6092
63.672;21.7466
63.9256;21.0615
64.1793;20.2271
64.433;19.2398
64.6867;18.5681
64.9403;18.7465
65.194;18.9285
