Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 12:13:36
Device temperature = 19.4833
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBm93M
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;16.9819
0.253673;15.8914
0.507346;14.5142
0.76102;13.5535
1.01469;13.7607
1.26837;13.5899
1.52204;13.5498
1.77571;12.9446
2.02939;12.8217
2.28306;13.1348
2.53673;13.1087
2.79041;13.0868
3.04408;13.0555
3.29775;12.9425
3.55142;12.8981
3.8051;12.7998
4.05877;12.7806
4.31244;12.818
4.56612;12.8304
4.81979;12.859
5.07346;12.8548
5.32714;12.8015
5.58081;12.7737
5.83448;12.6785
6.08816;12.6333
6.34183;12.6047
6.5955;12.6185
6.84918;12.6551
7.10285;12.5486
7.35652;12.5301
7.6102;12.4822
7.86387;12.4705
8.11754;12.5137
8.37122;12.5237
8.62489;12.518
8.87856;12.4776
9.13223;12.4379
9.38591;12.6195
9.63958;12.5377
9.89325;12.4886
10.1469;12.4508
10.4006;12.4592
10.6543;12.4082
10.9079;12.4722
11.1616;12.4873
11.4153;12.4742
11.669;12.5381
11.9226;12.4661
12.1763;12.4413
12.43;12.3748
12.6837;12.4124
12.9373;12.4496
13.191;12.4096
13.4447;12.4402
13.6984;12.4968
13.952;12.4219
14.2057;12.5534
14.4594;12.4481
14.713;12.5077
14.9667;12.4878
15.2204;12.4814
15.4741;12.4793
15.7277;12.5796
15.9814;12.5465
16.2351;12.5753
16.4888;12.4803
16.7424;12.4056
16.9961;12.4644
17.2498;12.5063
17.5035;12.4987
17.7571;12.5006
18.0108;12.4393
18.2645;12.4189
18.5181;12.4857
18.7718;12.5122
19.0255;12.4893
19.2792;12.457
19.5328;12.4315
19.7865;12.5066
20.0402;12.5527
20.2939;12.4903
20.5475;12.4736
20.8012;12.538
21.0549;12.5004
21.3085;12.4589
21.5622;12.393
21.8159;12.4414
22.0696;12.5033
22.3232;12.5237
22.5769;12.4431
22.8306;12.4608
23.0843;12.4882
23.3379;12.5274
23.5916;12.542
23.8453;12.514
24.099;12.4686
24.3526;12.4232
24.6063;12.4226
24.86;12.5206
25.1136;12.4703
25.3673;12.5086
25.621;12.5714
25.8747;12.5277
26.1283;12.4519
26.382;12.4229
26.6357;12.4157
26.8894;12.5597
27.143;12.4264
27.3967;12.402
