Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 16:03:36
Device temperature = 19.5109
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBnBZT
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.7152
0.253673;16.7305
0.507346;15.4754
0.76102;14.7345
1.01469;14.9945
1.26837;15.0537
1.52204;15.1551
1.77571;14.7616
2.02939;14.6366
2.28306;14.6872
2.53673;14.503
2.79041;14.4588
3.04408;14.5776
3.29775;14.5144
3.55142;14.5508
3.8051;14.7538
4.05877;14.8822
4.31244;14.9204
4.56612;15.0119
4.81979;15.0271
5.07346;14.9861
5.32714;14.8437
5.58081;14.8617
5.83448;15.0157
6.08816;14.9562
6.34183;14.9284
6.5955;14.8838
6.84918;14.8576
7.10285;15.037
7.35652;14.9443
7.6102;15.0187
7.86387;15.0739
8.11754;15.0578
8.37122;14.9357
8.62489;15.0705
8.87856;14.9501
9.13223;14.8997
9.38591;14.6952
9.63958;14.7506
9.89325;14.8704
10.1469;15.0316
10.4006;14.9162
10.6543;14.8902
10.9079;14.9593
11.1616;14.9354
11.4153;14.907
11.669;14.8755
11.9226;14.9782
12.1763;15.0162
12.43;14.9451
12.6837;14.9863
12.9373;14.9897
13.191;14.8915
13.4447;14.9099
13.6984;14.7801
13.952;14.7591
14.2057;14.7676
14.4594;14.8413
14.713;14.7805
14.9667;14.7666
15.2204;14.8586
15.4741;14.7036
15.7277;14.7418
15.9814;14.6919
16.2351;14.6807
16.4888;14.7019
16.7424;14.7723
16.9961;14.686
17.2498;14.7229
17.5035;14.7533
17.7571;14.8477
18.0108;14.8608
18.2645;14.9188
18.5181;14.9136
18.7718;14.8648
19.0255;14.7554
19.2792;14.6676
19.5328;14.7737
19.7865;14.7802
20.0402;14.7522
20.2939;14.6731
20.5475;14.5929
20.8012;14.6302
21.0549;14.8161
21.3085;14.9217
21.5622;14.9306
21.8159;14.8293
22.0696;14.7429
22.3232;14.7922
22.5769;14.7028
22.8306;14.7138
23.0843;14.7848
