Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 12:03:36
Device temperature = 19.5625
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBnIAA
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.124
0.253673;16.021
0.507346;14.6727
0.76102;13.6718
1.01469;13.75
1.26837;13.74
1.52204;13.4948
1.77571;12.9726
2.02939;12.8722
2.28306;13.1777
2.53673;13.2481
2.79041;13.1593
3.04408;13.1534
3.29775;12.9914
3.55142;13.0427
3.8051;12.887
4.05877;12.835
4.31244;12.8764
4.56612;12.886
4.81979;12.8521
5.07346;12.8609
5.32714;12.8439
5.58081;12.7677
5.83448;12.794
6.08816;12.7114
6.34183;12.7105
6.5955;12.7012
6.84918;12.704
7.10285;12.647
7.35652;12.5852
7.6102;12.6218
7.86387;12.6225
8.11754;12.6048
8.37122;12.6383
8.62489;12.6991
8.87856;12.5415
9.13223;12.5423
9.38591;12.6792
9.63958;12.6395
9.89325;12.6133
10.1469;12.5516
10.4006;12.5279
10.6543;12.4742
10.9079;12.5734
11.1616;12.5861
11.4153;12.5232
11.669;12.5493
11.9226;12.5262
12.1763;12.499
12.43;12.4281
12.6837;12.4898
12.9373;12.522
13.191;12.4957
13.4447;12.5609
13.6984;12.5403
13.952;12.5511
14.2057;12.6107
14.4594;12.6036
14.713;12.5871
14.9667;12.6155
15.2204;12.5197
15.4741;12.6089
15.7277;12.6045
15.9814;12.6793
16.2351;12.5612
16.4888;12.5497
16.7424;12.5547
16.9961;12.5629
17.2498;12.5866
17.5035;12.6238
17.7571;12.5196
18.0108;12.5425
18.2645;12.555
18.5181;12.5186
18.7718;12.6129
19.0255;12.5623
19.2792;12.5869
19.5328;12.6146
19.7865;12.5966
20.0402;12.629
20.2939;12.6143
20.5475;12.5404
20.8012;12.5931
21.0549;12.5105
21.3085;12.4993
21.5622;12.5672
21.8159;12.5287
22.0696;12.6061
