Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 16:13:36
Device temperature = 19.613
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBnOdt
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.8034
0.253673;16.9552
0.507346;15.6343
0.76102;14.9161
1.01469;15.2973
1.26837;15.3525
1.52204;15.4736
1.77571;15.1345
2.02939;14.8587
2.28306;15.0439
2.53673;14.7568
2.79041;14.7796
3.04408;14.8344
3.29775;14.8221
3.55142;14.8963
3.8051;15.1891
4.05877;15.24
4.31244;15.3735
4.56612;15.4228
4.81979;15.4448
5.07346;15.2908
5.32714;15.3147
5.58081;15.3502
5.83448;15.37
6.08816;15.4114
6.34183;15.3581
6.5955;15.2769
6.84918;15.2393
7.10285;15.4108
7.35652;15.5495
7.6102;15.5598
7.86387;15.5513
8.11754;15.5371
8.37122;15.4715
8.62489;15.4558
8.87856;15.4558
9.13223;15.3763
9.38591;15.2721
9.63958;15.3126
9.89325;15.3378
10.1469;15.3957
10.4006;15.4713
10.6543;15.4353
10.9079;15.4055
11.1616;15.4526
11.4153;15.4023
11.669;15.364
11.9226;15.513
12.1763;15.5041
12.43;15.4983
12.6837;15.4567
12.9373;15.4837
13.191;15.4764
13.4447;15.4553
13.6984;15.3451
13.952;15.2197
14.2057;15.1805
14.4594;15.2708
14.713;15.2767
14.9667;15.345
15.2204;15.3047
15.4741;15.3219
15.7277;15.2013
15.9814;15.075
16.2351;15.0675
16.4888;15.1929
16.7424;15.1949
16.9961;15.21
17.2498;15.1399
17.5035;15.2149
17.7571;15.3504
18.0108;15.4397
18.2645;15.4472
18.5181;15.3819
18.7718;15.3572
19.0255;15.219
19.2792;15.1756
19.5328;15.2015
19.7865;15.2219
20.0402;15.2172
20.2939;15.0953
20.5475;15.1118
20.8012;15.0017
21.0549;15.3282
21.3085;15.4197
21.5622;15.4162
21.8159;15.3266
22.0696;15.16
22.3232;15.177
22.5769;15.2235
22.8306;15.2422
23.0843;15.1924
23.3379;15.0902
23.5916;15.0053
23.8453;15.1239
24.099;15.2499
24.3526;15.3445
24.6063;15.2593
24.86;15.069
25.1136;14.8947
25.3673;15.1188
25.621;15.2006
25.8747;15.3625
26.1283;15.5201
26.382;15.4786
26.6357;15.523
26.8894;15.4376
27.143;15.5002
27.3967;15.5719
27.6504;15.6307
27.9041;15.647
28.1577;15.535
28.4114;15.5418
28.6651;15.8551
28.9187;16.6659
29.1724;18.4866
29.4261;19.0676
29.6798;19.2782
29.9334;19.3277
30.1871;19.4824
30.4408;19.6637
30.6945;19.7475
