Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 11:53:36
Device temperature = 19.6453
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBnSmT
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.169
0.253673;16.1313
0.507346;14.6771
0.76102;13.7789
1.01469;13.8093
1.26837;13.787
1.52204;13.5752
1.77571;13.1234
2.02939;13.0088
2.28306;13.2581
2.53673;13.3235
2.79041;13.2514
3.04408;13.1718
3.29775;13.1195
3.55142;12.9674
3.8051;12.901
4.05877;12.9435
4.31244;12.9714
4.56612;13.016
4.81979;13.0036
5.07346;12.9603
5.32714;12.9688
5.58081;12.9044
5.83448;12.8078
6.08816;12.7967
6.34183;12.8068
6.5955;12.7933
6.84918;12.8199
7.10285;12.6775
7.35652;12.6037
7.6102;12.6283
7.86387;12.6324
8.11754;12.6524
8.37122;12.7399
8.62489;12.6881
8.87856;12.6595
9.13223;12.6792
9.38591;12.767
9.63958;12.7746
9.89325;12.6774
10.1469;12.5989
10.4006;12.5263
10.6543;12.6173
10.9079;12.6768
11.1616;12.6233
11.4153;12.6713
11.669;12.603
11.9226;12.6699
12.1763;12.5531
12.43;12.5805
12.6837;12.5977
12.9373;12.6507
13.191;12.6886
13.4447;12.6453
13.6984;12.5591
13.952;12.6786
14.2057;12.6405
14.4594;12.5792
14.713;12.6454
14.9667;12.6335
15.2204;12.66
15.4741;12.6801
15.7277;12.69
15.9814;12.7246
16.2351;12.7105
16.4888;12.7054
16.7424;12.5627
16.9961;12.6197
17.2498;12.7623
17.5035;12.7096
17.7571;12.6071
18.0108;12.6515
18.2645;12.6508
18.5181;12.5969
18.7718;12.5884
19.0255;12.6025
19.2792;12.6761
19.5328;12.6444
19.7865;12.5895
20.0402;12.719
20.2939;12.7263
20.5475;12.6876
20.8012;12.6796
21.0549;12.6917
21.3085;12.6577
21.5622;12.6353
21.8159;12.5493
22.0696;12.688
22.3232;12.633
22.5769;12.6584
22.8306;12.6074
23.0843;12.7029
23.3379;12.7389
23.5916;12.7203
23.8453;12.6816
24.099;12.6249
24.3526;12.6271
24.6063;12.558
24.86;12.6733
25.1136;12.6739
25.3673;12.6809
25.621;12.6861
25.8747;12.6437
26.1283;12.5836
26.382;12.6
26.6357;12.6219
26.8894;12.6783
27.143;12.6403
27.3967;12.5446
27.6504;12.5158
27.9041;12.4835
28.1577;12.5905
28.4114;12.551
28.6651;12.1224
28.9187;11.2286
29.1724;9.05593
29.4261;8.17594
29.6798;7.95296
29.9334;7.90132
30.1871;7.96683
30.4408;7.89125
30.6945;7.78903
30.9481;7.75716
31.2018;7.67083
31.4555;7.68029
31.7092;7.80524
31.9628;7.75524
32.2165;7.82395
32.4702;7.93162
32.7238;8.00202
32.9775;8.13555
33.2312;8.17771
33.4849;8.07857
33.7385;8.13464
33.9922;8.051
34.2459;8.08675
34.4996;8.07979
34.7532;8.04451
35.0069;8.05654
35.2606;7.7931
35.5142;7.67379
35.7679;7.53559
36.0216;7.45215
36.2753;7.53031
36.5289;7.41159
36.7826;7.40266
37.0363;7.36647
37.29;7.38728
37.5436;7.3819
37.7973;7.31993
38.051;7.30601
38.3047;7.34168
38.5583;7.33157
38.812;7.25994
39.0657;7.26664
