Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 11:43:36
Device temperature = 19.7203
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBncMt
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.25
0.253673;16.2069
0.507346;14.7297
0.76102;13.8098
1.01469;13.8987
1.26837;13.8203
1.52204;13.7211
1.77571;13.0719
2.02939;12.9765
2.28306;13.4105
2.53673;13.3925
2.79041;13.3174
3.04408;13.2811
3.29775;13.2072
3.55142;13.1227
3.8051;13.0282
4.05877;13.01
4.31244;13.0552
4.56612;13.1334
4.81979;12.9921
5.07346;13.1743
5.32714;13.0851
5.58081;12.9684
5.83448;12.9193
6.08816;12.9336
6.34183;12.8977
6.5955;12.9494
6.84918;12.9039
7.10285;12.8331
7.35652;12.731
7.6102;12.7424
7.86387;12.7175
8.11754;12.771
8.37122;12.7818
8.62489;12.8084
8.87856;12.7458
9.13223;12.7444
9.38591;12.7535
9.63958;12.8297
9.89325;12.8276
10.1469;12.7428
10.4006;12.7347
10.6543;12.8108
10.9079;12.8166
11.1616;12.717
11.4153;12.8027
11.669;12.7397
11.9226;12.6658
12.1763;12.6829
12.43;12.6479
12.6837;12.6648
12.9373;12.79
13.191;12.6263
13.4447;12.6535
13.6984;12.7724
13.952;12.679
14.2057;12.7299
14.4594;12.7116
14.713;12.7788
14.9667;12.7269
15.2204;12.7323
15.4741;12.7572
15.7277;12.771
15.9814;12.7833
16.2351;12.8021
16.4888;12.7487
16.7424;12.723
16.9961;12.7196
17.2498;12.7327
17.5035;12.7952
17.7571;12.6834
18.0108;12.7755
18.2645;12.708
18.5181;12.7398
18.7718;12.7503
19.0255;12.7213
19.2792;12.6804
19.5328;12.7547
19.7865;12.7365
20.0402;12.7566
20.2939;12.7605
20.5475;12.7945
20.8012;12.7494
21.0549;12.7102
21.3085;12.6852
21.5622;12.7244
21.8159;12.7242
22.0696;12.7851
22.3232;12.7449
22.5769;12.7292
22.8306;12.6875
23.0843;12.7759
23.3379;12.8371
23.5916;12.7984
23.8453;12.7916
24.099;12.7154
24.3526;12.6728
24.6063;12.7079
24.86;12.746
25.1136;12.7608
25.3673;12.787
25.621;12.8121
25.8747;12.745
26.1283;12.7935
26.382;12.7037
26.6357;12.6766
26.8894;12.7511
27.143;12.6146
27.3967;12.6705
27.6504;12.6652
27.9041;12.6996
28.1577;12.6575
28.4114;12.6148
28.6651;12.293
28.9187;11.3649
29.1724;9.05057
29.4261;8.14627
29.6798;7.87629
29.9334;7.93649
30.1871;7.95027
30.4408;7.87646
30.6945;7.75912
30.9481;7.66173
31.2018;7.58169
31.4555;7.497
