Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 16:23:36
Device temperature = 19.7432
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBnfIT
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;18.0351
0.253673;17.1901
0.507346;15.8865
0.76102;15.2433
1.01469;15.5423
1.26837;15.732
1.52204;15.8099
1.77571;15.6155
2.02939;15.3482
2.28306;15.3996
2.53673;15.258
2.79041;15.2129
3.04408;15.2402
3.29775;15.3389
3.55142;15.393
3.8051;15.6825
4.05877;15.8174
4.31244;15.8896
4.56612;16.0226
4.81979;16.0058
5.07346;15.9806
5.32714;15.8262
5.58081;15.7463
5.83448;15.8589
6.08816;15.8867
6.34183;15.8459
6.5955;15.658
6.84918;15.7271
7.10285;15.9606
7.35652;16.1072
7.6102;16.2018
7.86387;16.1261
8.11754;16.0397
8.37122;15.9813
8.62489;15.9892
8.87856;15.9869
9.13223;15.9716
9.38591;15.8059
9.63958;15.8424
9.89325;15.9136
10.1469;16.0457
10.4006;16.0842
10.6543;16.1348
10.9079;15.9676
11.1616;15.9066
11.4153;15.9432
11.669;15.8994
11.9226;16.0887
12.1763;16.1406
12.43;16.033
12.6837;16.0683
12.9373;15.9755
13.191;15.9528
13.4447;16.0096
13.6984;16.0121
13.952;15.8289
14.2057;15.8413
14.4594;15.7395
14.713;15.8093
14.9667;15.8788
15.2204;15.8926
15.4741;15.9057
15.7277;15.7745
15.9814;15.5849
16.2351;15.5853
16.4888;15.6295
16.7424;15.7802
16.9961;15.7754
17.2498;15.7363
17.5035;15.7019
17.7571;15.8755
18.0108;16.1502
18.2645;16.0839
18.5181;16.0364
18.7718;15.8918
19.0255;15.6687
19.2792;15.7093
19.5328;15.8155
19.7865;15.8321
20.0402;15.7641
20.2939;15.5456
20.5475;15.4623
20.8012;15.5282
21.0549;15.7948
21.3085;16.0645
21.5622;15.9993
21.8159;15.9439
22.0696;15.6933
22.3232;15.7237
22.5769;15.7879
22.8306;15.8223
23.0843;15.7559
23.3379;15.6407
23.5916;15.5109
23.8453;15.5535
24.099;15.7952
24.3526;15.9418
24.6063;15.8684
24.86;15.65
25.1136;15.3636
25.3673;15.5138
25.621;15.6572
25.8747;16.0128
26.1283;16.067
26.382;16.1217
26.6357;15.9992
26.8894;15.9544
27.143;16.0592
27.3967;16.2217
27.6504;16.2533
27.9041;16.2912
28.1577;16.1353
28.4114;16.018
28.6651;16.3
28.9187;17.1401
29.1724;19.0749
29.4261;19.7735
29.6798;19.872
29.9334;19.8009
30.1871;19.6323
30.4408;19.7211
30.6945;19.6588
30.9481;19.6252
31.2018;19.2768
31.4555;19.2018
31.7092;19.0997
31.9628;19.0933
32.2165;19.0527
32.4702;18.9238
32.7238;18.679
32.9775;18.6255
33.2312;18.81
33.4849;18.9006
33.7385;19.0676
33.9922;19.1119
34.2459;18.8948
34.4996;18.8582
34.7532;18.7227
35.0069;18.7368
35.2606;18.865
35.5142;18.9537
35.7679;18.9934
36.0216;19.0049
36.2753;18.8862
36.5289;18.8852
36.7826;18.8484
37.0363;18.8788
37.29;18.9858
37.5436;18.9797
37.7973;19.0858
38.051;19.1937
38.3047;18.9511
38.5583;19.0439
38.812;19.1109
39.0657;19.3513
39.3193;19.4669
39.573;19.4839
39.8267;19.4527
40.0804;19.4198
40.334;19.5244
40.5877;19.4509
40.8414;19.1942
41.0951;19.0881
41.3487;18.8099
41.6024;18.6985
41.8561;18.5557
42.1097;18.5726
42.3634;18.7452
42.6171;18.7557
42.8708;18.6967
43.1244;18.5699
43.3781;18.3723
43.6318;18.3537
43.8855;18.2759
44.1391;18.1756
44.3928;18.2661
44.6465;18.3728
44.9002;18.5224
45.1538;18.6041
45.4075;18.7528
45.6612;18.8433
45.9148;18.8262
46.1685;18.8391
46.4222;18.9295
46.6759;18.9954
46.9295;19.1725
47.1832;19.1202
47.4369;19.1339
47.6906;19.0219
47.9442;19.0927
48.1979;19.2229
48.4516;19.4524
48.7053;19.4582
48.9589;19.4681
49.2126;19.3358
49.4663;19.2307
49.7199;19.2383
49.9736;19.1354
50.2273;19.1607
50.481;19.2783
50.7346;19.4361
50.9883;19.6016
51.242;19.8019
51.4957;19.9839
51.7493;20.0645
52.003;20.0861
52.2567;20.2539
52.5104;20.5466
52.764;20.6514
53.0177;20.5077
53.2714;20.3081
53.525;19.9809
53.7787;19.8986
54.0324;19.9716
54.2861;20.0358
54.5397;19.8275
54.7934;19.5852
55.0471;19.4741
55.3008;19.4231
55.5544;19.5017
55.8081;19.495
56.0618;19.4507
56.3154;19.3656
56.5691;19.287
56.8228;19.3763
57.0765;19.265
57.3301;19.4073
57.5838;19.4395
57.8375;19.4187
58.0912;19.4576
58.3448;19.4473
58.5985;19.38
58.8522;19.298
59.1059;19.3081
59.3595;19.3552
59.6132;19.4549
59.8669;19.6085
60.1205;19.6067
60.3742;19.7759
60.6279;19.7498
60.8816;19.7358
61.1352;19.6144
61.3889;19.3657
61.6426;19.1552
61.8963;19.1237
62.1499;19.2817
62.4036;19.5373
62.6573;19.7477
62.911;19.6784
63.1646;19.6346
63.4183;19.6454
63.672;19.5122
63.9256;19.6009
64.1793;19.6553
64.433;19.8014
