Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 11:33:36
Device temperature = 19.7995
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBnmVg
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.3944
0.253673;16.2926
0.507346;14.8325
0.76102;13.8882
1.01469;13.9818
1.26837;13.9249
1.52204;13.6838
1.77571;13.1208
2.02939;13.0558
2.28306;13.4616
2.53673;13.3953
2.79041;13.4502
3.04408;13.3759
3.29775;13.295
3.55142;13.1571
3.8051;13.0226
4.05877;13.0419
4.31244;13.1342
4.56612;13.1439
4.81979;13.181
5.07346;13.1127
5.32714;13.08
5.58081;13.0722
5.83448;12.9528
6.08816;12.8342
6.34183;12.926
6.5955;12.9567
6.84918;13.0181
7.10285;12.8706
7.35652;12.8368
7.6102;12.7949
7.86387;12.8007
8.11754;12.7623
8.37122;12.8392
8.62489;12.7617
8.87856;12.8026
9.13223;12.8776
9.38591;12.8721
9.63958;12.8747
9.89325;12.8144
10.1469;12.7907
10.4006;12.8165
10.6543;12.8118
10.9079;12.8685
11.1616;12.8665
11.4153;12.8214
11.669;12.784
11.9226;12.8002
12.1763;12.7596
12.43;12.7331
12.6837;12.7579
12.9373;12.758
13.191;12.8041
13.4447;12.7639
13.6984;12.8307
13.952;12.8146
14.2057;12.8118
14.4594;12.8397
14.713;12.8275
14.9667;12.8106
15.2204;12.7846
15.4741;12.8224
15.7277;12.8188
15.9814;12.8798
16.2351;12.8543
16.4888;12.816
16.7424;12.8163
16.9961;12.8853
17.2498;12.821
17.5035;12.8547
17.7571;12.7898
18.0108;12.755
18.2645;12.7615
18.5181;12.7629
18.7718;12.7036
19.0255;12.8375
19.2792;12.8233
19.5328;12.8132
19.7865;12.8406
20.0402;12.8108
20.2939;12.861
20.5475;12.7942
20.8012;12.8498
21.0549;12.841
21.3085;12.7808
21.5622;12.7513
21.8159;12.8615
22.0696;12.8047
22.3232;12.753
22.5769;12.8356
22.8306;12.8654
23.0843;12.8427
23.3379;12.8784
23.5916;12.8305
23.8453;12.8397
24.099;12.7012
24.3526;12.7548
24.6063;12.78
24.86;12.7767
25.1136;12.8916
25.3673;12.9239
25.621;12.8112
25.8747;12.8223
26.1283;12.6847
26.382;12.7194
26.6357;12.8109
26.8894;12.8197
27.143;12.7597
27.3967;12.739
27.6504;12.6189
27.9041;12.7129
28.1577;12.6927
28.4114;12.5865
28.6651;12.2939
28.9187;11.3347
29.1724;8.89554
29.4261;8.02624
29.6798;7.74807
29.9334;7.75455
30.1871;7.71521
30.4408;7.64355
30.6945;7.64481
30.9481;7.60394
31.2018;7.52146
31.4555;7.58071
31.7092;7.54301
31.9628;7.53082
32.2165;7.5845
32.4702;7.74882
32.7238;7.87339
32.9775;7.91479
33.2312;7.8898
33.4849;7.7841
33.7385;7.66729
33.9922;7.66932
34.2459;7.62136
34.4996;7.70022
34.7532;7.73477
35.0069;7.76979
35.2606;7.52047
35.5142;7.42452
35.7679;7.26257
36.0216;7.22168
36.2753;7.20366
36.5289;7.21737
36.7826;7.19594
37.0363;7.17358
37.29;7.25988
37.5436;7.1902
37.7973;7.16856
38.051;7.10203
38.3047;7.16599
38.5583;7.16539
38.812;7.21075
39.0657;7.16655
39.3193;7.08104
39.573;7.1066
39.8267;7.06437
40.0804;7.03737
40.334;7.09519
40.5877;7.05487
40.8414;7.10337
41.0951;7.08561
41.3487;7.30358
41.6024;7.29331
41.8561;7.43845
42.1097;7.41169
42.3634;7.33517
42.6171;7.36662
42.8708;7.49229
43.1244;7.49059
43.3781;7.57356
43.6318;7.56207
43.8855;7.56026
44.1391;7.53941
44.3928;7.49874
44.6465;7.49362
44.9002;7.53497
45.1538;7.58575
45.4075;7.69903
45.6612;7.60154
45.9148;7.59181
46.1685;7.57248
46.4222;7.55959
46.6759;7.6147
46.9295;7.62133
47.1832;7.69723
47.4369;7.62198
47.6906;7.54753
47.9442;7.39918
48.1979;7.44442
48.4516;7.39952
48.7053;7.41435
48.9589;7.41556
49.2126;7.34879
49.4663;7.23682
49.7199;7.24767
49.9736;7.19177
50.2273;7.32157
50.481;7.4022
50.7346;7.47419
50.9883;7.44353
51.242;7.41256
51.4957;7.39227
51.7493;7.44627
52.003;7.48017
52.2567;7.51464
52.5104;7.4343
52.764;7.41711
53.0177;7.43583
53.2714;7.35371
53.525;7.30555
53.7787;7.36622
54.0324;7.30071
54.2861;7.35022
54.5397;7.28217
54.7934;7.26214
55.0471;7.26215
55.3008;7.34641
55.5544;7.48682
55.8081;7.56792
56.0618;7.55475
56.3154;7.55055
56.5691;7.5792
56.8228;7.54372
57.0765;7.5268
57.3301;7.42688
57.5838;7.37284
57.8375;7.34125
58.0912;7.29944
58.3448;7.34598
58.5985;7.32713
58.8522;7.33214
59.1059;7.30246
59.3595;7.27311
59.6132;7.38128
59.8669;7.2296
60.1205;7.0863
60.3742;7.17483
60.6279;7.04786
60.8816;7.11542
61.1352;7.18558
61.3889;7.22028
61.6426;7.21473
61.8963;7.21908
62.1499;7.2534
62.4036;7.19112
62.6573;7.1741
62.911;7.21479
63.1646;7.22507
63.4183;7.13274
63.672;7.15115
63.9256;7.15375
64.1793;7.08089
64.433;7.05973
64.6867;7.04309
64.9403;7.03601
65.194;7.07442
65.4477;7.12094
65.7014;7.13365
65.955;7.16706
66.2087;7.15305
66.4624;7.16903
66.716;7.08287
66.9697;7.05202
67.2234;7.02311
67.4771;7.07586
67.7307;7.16235
67.9844;7.18553
68.2381;7.29999
68.4918;7.34937
68.7454;7.35114
68.9991;7.36206
69.2528;7.44443
69.5065;7.54879
69.7601;7.66389
70.0138;7.55656
70.2675;7.39544
70.5211;7.34714
70.7748;7.26396
71.0285;7.25702
71.2822;7.22524
71.5358;7.16837
71.7895;7.11994
72.0432;7.04503
72.2969;7.07831
72.5505;7.13046
72.8042;7.1167
73.0579;7.08454
73.3116;7.07176
73.5652;7.13121
73.8189;7.13844
74.0726;7.15
74.3262;7.15059
74.5799;7.18937
74.8336;7.03894
75.0873;7.05726
75.3409;7.05748
75.5946;7.01055
75.8483;7.03567
76.102;7.02369
76.3556;7.10943
76.6093;7.06096
76.863;7.04713
77.1167;7.07251
77.3703;6.96776
77.624;7.03745
77.8777;6.93491
78.1313;6.99712
78.385;7.11917
78.6387;7.03656
78.8924;6.9467
79.146;6.89219
79.3997;6.83929
79.6534;6.90338
79.9071;7.01652
80.1607;6.97777
80.4144;6.84966
80.6681;6.86086
80.9218;6.93705
81.1754;6.91978
81.4291;7.08161
81.6828;7.03507
81.9364;6.84847
82.1901;6.86737
82.4438;6.87373
82.6975;6.94449
82.9511;6.94362
83.2048;6.89153
83.4585;6.89732
83.7122;6.87995
83.9658;6.86087
84.2195;6.90041
84.4732;6.90421
84.7268;6.8288
84.9805;6.75413
85.2342;6.73115
85.4879;6.79389
85.7415;6.78216
85.9952;6.87484
86.2489;6.98507
86.5026;6.98487
86.7562;6.96035
87.0099;7.00136
87.2636;6.95529
87.5173;6.96266
87.7709;6.93465
88.0246;6.86755
88.2783;6.8955
88.5319;6.81362
88.7856;6.73777
89.0393;6.73252
89.293;6.8054
89.5466;6.8681
89.8003;6.93566
