Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 16:33:36
Device temperature = 19.8822
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBnw6/
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;18.2038
0.253673;17.3259
0.507346;16.2463
0.76102;15.4738
1.01469;15.8541
1.26837;16.0173
1.52204;16.1504
1.77571;15.9888
2.02939;15.7196
2.28306;15.8335
2.53673;15.5955
2.79041;15.5889
3.04408;15.6387
3.29775;15.6659
3.55142;15.7585
3.8051;16.104
4.05877;16.2407
4.31244;16.3742
4.56612;16.3901
4.81979;16.431
5.07346;16.2638
5.32714;16.2008
5.58081;16.2101
5.83448;16.2346
6.08816;16.3301
6.34183;16.1768
6.5955;16.1118
6.84918;16.1827
7.10285;16.3249
7.35652;16.5174
7.6102;16.7251
7.86387;16.6356
8.11754;16.5146
8.37122;16.5275
8.62489;16.5351
8.87856;16.4867
9.13223;16.482
9.38591;16.2413
9.63958;16.2959
9.89325;16.3228
10.1469;16.4891
10.4006;16.521
10.6543;16.5791
10.9079;16.5002
11.1616;16.4194
11.4153;16.3281
11.669;16.3128
11.9226;16.5339
12.1763;16.5584
12.43;16.614
12.6837;16.5579
12.9373;16.4086
13.191;16.481
13.4447;16.4876
13.6984;16.4256
13.952;16.3545
14.2057;16.1925
14.4594;16.2562
14.713;16.2573
14.9667;16.4714
15.2204;16.454
15.4741;16.3384
15.7277;16.1828
15.9814;16.015
16.2351;15.983
16.4888;16.2217
16.7424;16.2943
16.9961;16.2556
17.2498;16.2107
17.5035;16.1785
17.7571;16.2739
18.0108;16.4676
18.2645;16.5363
18.5181;16.5809
18.7718;16.4285
19.0255;16.1719
19.2792;16.1354
19.5328;16.1917
19.7865;16.2179
20.0402;16.1055
20.2939;16.0775
20.5475;15.9624
20.8012;16.0073
21.0549;16.3082
21.3085;16.5053
21.5622;16.4973
21.8159;16.2666
22.0696;16.1061
22.3232;16.2305
22.5769;16.2912
22.8306;16.316
23.0843;16.2118
23.3379;15.9814
23.5916;15.9457
23.8453;15.9346
24.099;16.3354
24.3526;16.3847
24.6063;16.3608
24.86;16.1601
25.1136;15.8572
25.3673;15.9176
25.621;16.1218
25.8747;16.3777
26.1283;16.6465
26.382;16.4867
26.6357;16.3883
26.8894;16.3643
27.143;16.5591
27.3967;16.6822
27.6504;16.7332
27.9041;16.7265
28.1577;16.526
28.4114;16.4408
28.6651;16.5568
28.9187;17.1733
29.1724;18.5044
29.4261;19.087
29.6798;19.3011
29.9334;19.2676
30.1871;19.332
30.4408;19.4254
30.6945;19.3661
30.9481;19.2622
31.2018;19.0335
31.4555;18.8966
31.7092;18.9782
31.9628;18.8774
32.2165;18.8233
32.4702;18.7243
32.7238;18.6329
32.9775;18.6719
33.2312;18.8721
33.4849;19.0088
33.7385;19.1594
33.9922;19.349
34.2459;19.1322
34.4996;18.9875
34.7532;18.8575
35.0069;18.882
35.2606;18.9363
35.5142;19.0006
35.7679;18.9801
36.0216;19.0427
36.2753;18.9682
36.5289;18.8637
36.7826;18.9189
37.0363;18.9393
37.29;19.0066
37.5436;19.1973
37.7973;19.3464
38.051;19.3852
38.3047;19.1557
38.5583;19.0227
38.812;19.204
39.0657;19.4075
39.3193;19.6443
39.573;19.6062
39.8267;19.602
