Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 11:23:36
Device temperature = 19.8969
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBnyza
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.4805
0.253673;16.3097
0.507346;14.9112
0.76102;13.9243
1.01469;14.0519
1.26837;13.9796
1.52204;13.8471
1.77571;13.3703
2.02939;13.2601
2.28306;13.5855
2.53673;13.546
2.79041;13.5085
3.04408;13.3875
3.29775;13.3791
3.55142;13.2158
3.8051;13.1711
4.05877;13.2676
4.31244;13.1979
4.56612;13.2084
4.81979;13.2721
5.07346;13.2466
5.32714;13.2276
5.58081;13.1371
5.83448;13.125
6.08816;13.0658
6.34183;13.0783
6.5955;13.0683
6.84918;13.1003
7.10285;12.9627
7.35652;12.8946
7.6102;12.9142
7.86387;12.9268
8.11754;12.9904
8.37122;12.9491
8.62489;12.9298
8.87856;12.93
9.13223;12.992
9.38591;13.0001
9.63958;12.9602
9.89325;12.9511
10.1469;12.9111
10.4006;12.8998
10.6543;12.8964
10.9079;12.8729
11.1616;12.9445
11.4153;12.904
11.669;12.9292
11.9226;12.8877
12.1763;12.8689
12.43;12.8516
12.6837;12.8521
12.9373;12.932
13.191;12.8274
13.4447;12.8495
13.6984;12.8905
13.952;12.9523
14.2057;12.8781
14.4594;12.8751
14.713;12.8745
14.9667;12.9945
15.2204;12.8764
15.4741;12.902
15.7277;12.9658
15.9814;12.9982
16.2351;12.9365
16.4888;12.9735
16.7424;12.8917
16.9961;12.9598
17.2498;12.9321
17.5035;12.9134
17.7571;12.8302
18.0108;12.9096
18.2645;12.855
18.5181;12.8161
18.7718;12.8724
19.0255;12.9406
19.2792;12.9253
19.5328;12.8709
19.7865;12.8745
20.0402;13.0017
20.2939;12.9447
20.5475;12.9601
20.8012;12.9661
21.0549;12.9438
21.3085;12.8823
21.5622;12.7864
21.8159;12.893
22.0696;13.0021
22.3232;12.9521
22.5769;12.881
22.8306;12.9375
23.0843;12.9922
23.3379;12.9524
23.5916;12.8814
23.8453;12.9268
24.099;12.8616
24.3526;12.796
24.6063;12.91
24.86;12.9364
25.1136;12.9895
25.3673;12.9821
25.621;12.911
25.8747;12.8995
26.1283;12.8308
26.382;12.8404
26.6357;12.9107
26.8894;12.9555
27.143;12.8937
27.3967;12.8171
27.6504;12.8333
27.9041;12.7878
28.1577;12.8467
28.4114;12.7107
28.6651;12.3009
28.9187;11.2909
29.1724;8.89888
29.4261;8.02322
29.6798;7.72731
29.9334;7.76084
30.1871;7.75402
30.4408;7.7586
30.6945;7.63743
30.9481;7.58635
31.2018;7.47952
31.4555;7.50693
31.7092;7.47
31.9628;7.529
32.2165;7.59193
32.4702;7.69451
32.7238;7.73861
32.9775;7.92318
33.2312;7.89862
33.4849;7.74709
33.7385;7.6627
33.9922;7.61626
34.2459;7.78069
34.4996;7.84694
34.7532;7.90417
35.0069;7.92618
35.2606;7.64722
35.5142;7.49371
35.7679;7.39495
36.0216;7.33493
36.2753;7.33686
36.5289;7.39758
36.7826;7.36648
37.0363;7.33751
37.29;7.32432
37.5436;7.33248
37.7973;7.17242
38.051;7.26707
38.3047;7.19784
38.5583;7.31777
38.812;7.29953
39.0657;7.2787
39.3193;7.23759
39.573;7.3058
39.8267;7.09831
40.0804;7.19878
40.334;7.18579
40.5877;7.13862
40.8414;7.14416
41.0951;7.20274
41.3487;7.31361
41.6024;7.39686
41.8561;7.50123
42.1097;7.6173
42.3634;7.55844
42.6171;7.54585
42.8708;7.61158
43.1244;7.65234
43.3781;7.75496
43.6318;7.76404
43.8855;7.71758
44.1391;7.84218
44.3928;7.74638
44.6465;7.74929
44.9002;7.71798
45.1538;7.77945
45.4075;7.85097
45.6612;7.77563
45.9148;7.70864
46.1685;7.61258
46.4222;7.67758
46.6759;7.71374
46.9295;7.63934
47.1832;7.65552
47.4369;7.68931
47.6906;7.6375
47.9442;7.52042
48.1979;7.43694
48.4516;7.45572
48.7053;7.57915
48.9589;7.43696
49.2126;7.44724
49.4663;7.42606
49.7199;7.25569
49.9736;7.32055
50.2273;7.28538
50.481;7.52479
50.7346;7.58615
50.9883;7.52668
51.242;7.52604
51.4957;7.46075
51.7493;7.50808
52.003;7.51801
52.2567;7.57301
52.5104;7.57257
52.764;7.52937
53.0177;7.40687
53.2714;7.36326
53.525;7.4233
53.7787;7.32013
54.0324;7.31418
54.2861;7.32944
54.5397;7.18319
54.7934;7.24737
55.0471;7.27503
55.3008;7.32328
55.5544;7.53255
55.8081;7.56439
56.0618;7.45566
56.3154;7.46481
56.5691;7.51431
56.8228;7.62897
57.0765;7.47536
57.3301;7.43917
57.5838;7.40748
57.8375;7.26514
58.0912;7.25605
58.3448;7.3319
58.5985;7.36857
58.8522;7.30133
59.1059;7.30915
59.3595;7.36814
59.6132;7.39955
59.8669;7.33946
60.1205;7.27609
60.3742;7.17824
60.6279;7.19401
60.8816;7.1737
61.1352;7.24627
61.3889;7.18714
61.6426;7.28235
61.8963;7.29896
62.1499;7.25938
62.4036;7.16981
62.6573;7.17408
62.911;7.17116
63.1646;7.1341
63.4183;7.09153
63.672;7.21505
63.9256;7.22635
64.1793;7.16312
64.433;7.13462
64.6867;7.06423
64.9403;7.13912
65.194;7.15243
65.4477;7.089
65.7014;7.14169
65.955;7.13548
66.2087;7.05366
66.4624;7.11562
66.716;7.12873
66.9697;7.20103
67.2234;7.14525
67.4771;7.21265
67.7307;7.25498
67.9844;7.22203
68.2381;7.26908
68.4918;7.45958
68.7454;7.48356
68.9991;7.53277
69.2528;7.52348
69.5065;7.62852
69.7601;7.70866
70.0138;7.60287
70.2675;7.49249
70.5211;7.38896
70.7748;7.33284
71.0285;7.33585
71.2822;7.28957
71.5358;7.15678
71.7895;7.10862
72.0432;7.16792
72.2969;7.13581
72.5505;7.15241
72.8042;7.10851
73.0579;7.17564
73.3116;7.27084
73.5652;7.24922
73.8189;7.24295
74.0726;7.18837
74.3262;7.17061
74.5799;7.10534
74.8336;7.09452
75.0873;7.0873
75.3409;7.06802
75.5946;7.04244
75.8483;7.15128
76.102;7.07929
76.3556;7.06541
76.6093;7.05143
76.863;7.05157
77.1167;7.07652
77.3703;7.02203
77.624;6.98517
77.8777;7.03103
78.1313;7.02007
78.385;7.05341
78.6387;7.02803
78.8924;7.0262
79.146;6.99936
79.3997;6.94428
79.6534;6.96289
79.9071;7.05852
80.1607;7.02639
80.4144;6.88951
80.6681;6.92674
80.9218;6.87517
81.1754;7.02216
81.4291;7.10014
81.6828;7.06394
81.9364;6.99465
82.1901;6.96893
82.4438;6.94921
82.6975;6.98407
82.9511;6.97278
83.2048;6.97561
83.4585;6.89869
83.7122;6.91954
83.9658;6.96226
84.2195;6.94928
84.4732;6.89709
84.7268;6.91013
84.9805;6.83887
85.2342;6.8621
85.4879;6.75071
85.7415;6.8167
85.9952;6.99265
86.2489;6.98006
86.5026;6.93032
86.7562;6.95862
87.0099;7.01634
87.2636;6.98874
87.5173;6.87203
87.7709;6.95778
88.0246;6.96676
88.2783;6.88944
88.5319;6.85371
88.7856;6.8661
89.0393;6.77255
89.293;6.80195
89.5466;6.7305
89.8003;6.78488
90.054;6.89745
90.3077;6.89687
90.5613;6.97107
90.815;6.98185
91.0687;6.96798
91.3223;6.98876
91.576;6.86122
91.8297;6.94156
92.0834;6.89218
92.337;6.78922
92.5907;6.73678
92.8444;6.73895
93.0981;6.82404
93.3517;6.91441
93.6054;6.95015
93.8591;7.01105
94.1128;7.02069
94.3664;6.97271
94.6201;7.07492
94.8738;7.07222
95.1274;6.94238
95.3811;6.95839
95.6348;6.95266
95.8885;6.98065
96.1421;6.90739
96.3958;6.95305
96.6495;6.99557
96.9032;6.99595
97.1568;6.99462
97.4105;6.97204
97.6642;6.96589
97.9179;6.95399
98.1715;6.923
98.4252;6.86338
98.6789;6.95822
98.9325;6.88671
99.1862;6.92576
99.4399;6.95954
99.6936;6.92037
99.9472;6.9343
100.201;6.93394
100.455;6.93144
100.708;6.95538
100.962;6.97357
101.216;7.02724
101.469;7.04479
101.723;7.04494
101.977;6.9607
102.23;6.97635
102.484;6.89998
102.738;6.8736
102.991;6.77422
103.245;6.74677
103.499;6.67864
103.752;6.64365
104.006;6.63312
104.26;6.61555
104.513;6.57985
104.767;6.62245
105.021;6.57224
105.274;6.51562
105.528;6.59694
105.782;6.54102
106.035;6.4524
106.289;6.33736
106.543;6.21239
106.796;6.10841
107.05;6.09417
107.304;6.07328
107.557;5.99589
107.811;5.97946
108.065;5.93684
108.318;6.04612
108.572;5.99761
108.826;5.83595
109.079;5.70756
109.333;5.56404
109.587;5.53916
109.84;5.39806
110.094;5.30461
110.348;5.25305
110.602;5.24023
110.855;5.271
111.109;5.39483
111.363;5.51982
111.616;5.60167
111.87;5.64029
112.124;5.51924
112.377;5.37
112.631;5.25884
112.885;5.24347
113.138;5.30614
113.392;5.40254
113.646;5.49186
113.899;5.45332
114.153;5.49147
114.407;5.56379
114.66;5.57947
114.914;5.56978
115.168;5.53072
115.421;5.41857
115.675;5.38131
115.929;5.11314
116.182;4.92223
116.436;4.93946
116.69;4.99261
116.943;5.00364
117.197;5.10556
117.451;5.30311
117.704;5.4241
117.958;5.4919
118.212;5.62644
118.465;5.66681
118.719;5.5313
118.973;5.30234
119.226;5.03428
119.48;4.82104
119.734;4.7422
119.987;4.75008
120.241;4.83939
120.495;4.72094
120.748;4.64487
121.002;4.62143
121.256;4.69218
121.509;5.22483
121.763;5.65989
122.017;5.83561
122.27;5.42525
122.524;4.34225
122.778;4.24867
123.032;4.3433
123.285;4.38802
123.539;4.69038
123.793;4.85468
124.046;4.97548
124.3;4.94644
124.554;5.19564
124.807;5.50871
125.061;5.44814
125.315;5.26998
125.568;5.36415
125.822;5.62794
126.076;5.73913
126.329;5.74497
126.583;5.87753
126.837;5.98373
127.09;5.88908
127.344;5.99566
127.598;5.95485
127.851;5.82845
128.105;5.75191
128.359;5.88
128.612;6.00276
128.866;6.0675
129.12;6.19337
129.373;6.31005
129.627;6.37582
129.881;6.2458
130.134;6.16584
130.388;6.25169
130.642;6.29423
130.895;6.33825
131.149;6.3904
131.403;6.47511
131.656;6.68638
131.91;6.81292
132.164;6.84131
132.417;6.72124
132.671;6.64665
132.925;6.62988
133.178;6.8122
133.432;7.02314
133.686;7.34139
133.939;7.25607
134.193;6.94849
134.447;6.6798
134.7;6.59982
134.954;6.56546
135.208;6.63013
135.461;6.68329
135.715;6.93398
135.969;7.09751
136.223;7.25268
136.476;7.204
136.73;6.91958
136.984;6.59808
137.237;6.45505
137.491;6.40601
137.745;6.24733
137.998;6.24722
138.252;6.37124
138.506;6.38574
138.759;6.26955
139.013;6.07506
139.267;6.0603
139.52;6.09326
139.774;6.13854
140.028;6.17915
140.281;6.37593
140.535;6.50976
140.789;6.84282
141.042;6.63197
141.296;6.48602
141.55;6.37603
141.803;6.51488
142.057;6.73456
142.311;6.97735
142.564;7.45846
142.818;7.53846
143.072;7.00948
143.325;6.44749
143.579;6.36822
143.833;6.41305
144.086;6.40942
144.34;6.55987
144.594;6.61573
144.847;6.57101
145.101;6.44428
145.355;6.42417
145.608;6.50129
145.862;6.64577
146.116;6.86912
146.369;7.12794
146.623;7.40565
146.877;7.06813
147.13;6.77588
147.384;6.63279
147.638;6.65382
147.891;6.60663
148.145;6.53729
148.399;6.57039
148.652;6.73302
148.906;7.05081
149.16;7.46225
149.414;7.74846
149.667;7.63003
149.921;6.98299
150.175;6.795
150.428;6.82643
150.682;7.04213
150.936;7.33655
151.189;7.26298
151.443;7.20522
151.697;7.24343
151.95;7.2379
152.204;7.05102
152.458;6.97002
152.711;7.13172
152.965;7.20083
153.219;7.36333
153.472;7.53807
153.726;7.91156
153.98;8.05249
154.233;7.95293
154.487;7.66883
154.741;7.60529
154.994;7.5857
155.248;7.72683
155.502;7.72131
155.755;7.63797
156.009;7.48463
156.263;7.53768
156.516;7.46007
156.77;7.43508
157.024;7.6156
157.277;7.65031
157.531;7.41495
157.785;7.36533
158.038;7.25618
158.292;7.26461
158.546;7.27008
158.799;7.25906
159.053;7.48191
159.307;7.64385
159.56;7.66404
159.814;7.60873
160.068;7.49615
160.321;7.40824
160.575;7.32626
160.829;7.31244
161.082;7.57129
161.336;7.67478
161.59;7.73629
161.844;7.58939
162.097;7.29635
162.351;7.33473
162.605;7.5076
162.858;7.72242
163.112;7.85741
163.366;7.80733
163.619;7.7064
163.873;7.58041
164.127;7.56086
164.38;7.62611
164.634;7.54701
164.888;7.52574
165.141;7.67978
165.395;7.80383
165.649;7.77035
165.902;7.6113
166.156;7.44612
166.41;7.48388
166.663;7.5153
166.917;7.51642
167.171;7.7744
167.424;7.69535
