Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 11:13:36
Device temperature = 19.9768
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBn9B9
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.5037
0.253673;16.393
0.507346;14.9317
0.76102;14.0252
1.01469;14.1434
1.26837;14.0656
1.52204;13.9066
1.77571;13.3779
2.02939;13.312
2.28306;13.5246
2.53673;13.6478
2.79041;13.5557
3.04408;13.4639
3.29775;13.4235
3.55142;13.3148
3.8051;13.3707
4.05877;13.2588
4.31244;13.2597
4.56612;13.3085
4.81979;13.2299
5.07346;13.2246
5.32714;13.1858
5.58081;13.2444
5.83448;13.188
6.08816;13.119
6.34183;13.0652
6.5955;13.1658
6.84918;13.1405
7.10285;13.076
7.35652;13.0286
7.6102;13.0364
7.86387;13.0321
8.11754;13.036
8.37122;13.0623
8.62489;13.0538
8.87856;13.0173
9.13223;13.0461
9.38591;13.0719
9.63958;13.0581
9.89325;13.0208
10.1469;12.9678
10.4006;12.9306
10.6543;12.9905
10.9079;12.9628
11.1616;13.0103
11.4153;13.0423
11.669;13.0599
11.9226;13.0177
12.1763;13.0049
12.43;12.9022
12.6837;12.9783
12.9373;12.9703
13.191;12.9407
13.4447;13.0104
13.6984;12.9708
13.952;13.046
14.2057;13.0166
14.4594;12.9769
14.713;12.9986
14.9667;13.0309
15.2204;12.9808
15.4741;13.0335
15.7277;13.0361
15.9814;13.0373
16.2351;13.0849
16.4888;13.0177
16.7424;12.9594
16.9961;13.0283
17.2498;13.0986
17.5035;13.0168
17.7571;13.0159
18.0108;12.9968
18.2645;12.9565
18.5181;12.9655
18.7718;12.9215
19.0255;12.9275
19.2792;12.9643
19.5328;13.0107
19.7865;12.9975
20.0402;13.0231
20.2939;13.0239
20.5475;13.0328
20.8012;12.9705
21.0549;12.9544
21.3085;12.9016
21.5622;12.8623
21.8159;12.9941
22.0696;13.1059
22.3232;13.0237
22.5769;13.0026
22.8306;12.9289
23.0843;13.0605
23.3379;13.0396
23.5916;12.9949
23.8453;13.0825
24.099;12.9344
24.3526;12.8986
24.6063;12.8906
24.86;13.0544
25.1136;13.0402
25.3673;13.063
25.621;13.0418
25.8747;12.9831
26.1283;12.8884
26.382;12.8962
26.6357;12.9271
26.8894;13.0449
27.143;12.8698
27.3967;12.9381
27.6504;12.8571
27.9041;12.8224
28.1577;12.8861
28.4114;12.7943
28.6651;12.2842
28.9187;11.2625
29.1724;8.97792
29.4261;8.04885
29.6798;7.82069
29.9334;7.78663
30.1871;7.77114
30.4408;7.7421
30.6945;7.64723
30.9481;7.6523
31.2018;7.60666
31.4555;7.6239
31.7092;7.60904
31.9628;7.66626
32.2165;7.7252
32.4702;7.76287
32.7238;7.86891
32.9775;8.03935
33.2312;7.91622
33.4849;7.85853
33.7385;7.79534
33.9922;7.81708
34.2459;7.87446
34.4996;7.93132
34.7532;7.94793
35.0069;8.00823
35.2606;7.76907
35.5142;7.59562
35.7679;7.5599
36.0216;7.48123
36.2753;7.43228
36.5289;7.34065
36.7826;7.36244
37.0363;7.38792
37.29;7.38047
37.5436;7.34734
37.7973;7.36448
38.051;7.34508
38.3047;7.33981
38.5583;7.38985
38.812;7.3311
39.0657;7.26183
39.3193;7.25283
39.573;7.26488
39.8267;7.22702
40.0804;7.19152
40.334;7.17134
40.5877;7.2378
40.8414;7.23546
41.0951;7.26972
41.3487;7.37298
41.6024;7.41938
41.8561;7.63628
42.1097;7.63929
42.3634;7.60544
42.6171;7.57872
42.8708;7.68065
43.1244;7.71937
43.3781;7.82671
43.6318;7.79472
43.8855;7.82282
44.1391;7.82844
44.3928;7.84587
44.6465;7.78185
44.9002;7.77746
45.1538;7.78481
45.4075;7.8859
45.6612;7.82402
45.9148;7.82426
46.1685;7.86072
46.4222;7.82647
46.6759;7.77303
46.9295;7.73384
47.1832;7.71849
47.4369;7.75735
47.6906;7.63479
47.9442;7.66779
48.1979;7.58038
48.4516;7.55652
48.7053;7.59719
48.9589;7.54842
49.2126;7.55618
49.4663;7.41633
49.7199;7.38314
49.9736;7.45585
50.2273;7.51823
50.481;7.74227
50.7346;7.74284
50.9883;7.65447
51.242;7.59233
51.4957;7.5678
51.7493;7.58803
52.003;7.72836
52.2567;7.69199
52.5104;7.64957
52.764;7.62052
53.0177;7.53806
53.2714;7.49435
53.525;7.50081
53.7787;7.4629
54.0324;7.37338
54.2861;7.41876
54.5397;7.32545
54.7934;7.33967
55.0471;7.26483
55.3008;7.3939
55.5544;7.53314
55.8081;7.586
56.0618;7.6642
56.3154;7.65047
56.5691;7.6161
56.8228;7.58379
57.0765;7.50449
57.3301;7.45687
57.5838;7.42381
57.8375;7.3698
58.0912;7.36852
58.3448;7.39627
58.5985;7.42243
58.8522;7.42524
59.1059;7.33564
59.3595;7.38783
59.6132;7.40916
59.8669;7.41648
60.1205;7.40916
60.3742;7.27586
60.6279;7.30281
60.8816;7.27116
61.1352;7.28869
61.3889;7.29717
61.6426;7.44136
61.8963;7.41005
62.1499;7.39793
62.4036;7.33587
62.6573;7.34058
62.911;7.30373
63.1646;7.25732
63.4183;7.22489
63.672;7.26857
63.9256;7.26152
64.1793;7.17465
64.433;7.25499
64.6867;7.24857
64.9403;7.2941
65.194;7.24817
65.4477;7.21054
65.7014;7.28465
65.955;7.23467
66.2087;7.25344
66.4624;7.31018
66.716;7.32702
66.9697;7.26186
67.2234;7.2147
67.4771;7.27031
67.7307;7.27585
67.9844;7.40349
68.2381;7.42749
68.4918;7.5315
68.7454;7.58028
68.9991;7.57379
69.2528;7.55767
69.5065;7.68004
69.7601;7.76523
70.0138;7.68747
70.2675;7.64453
70.5211;7.55021
70.7748;7.47713
71.0285;7.42836
71.2822;7.33716
71.5358;7.2786
71.7895;7.28729
72.0432;7.19651
72.2969;7.27598
72.5505;7.33614
72.8042;7.25656
73.0579;7.21953
73.3116;7.30326
73.5652;7.36217
73.8189;7.34724
74.0726;7.32628
74.3262;7.2501
74.5799;7.29532
74.8336;7.31385
75.0873;7.17522
75.3409;7.16452
75.5946;7.14009
75.8483;7.2166
76.102;7.13299
76.3556;7.16383
76.6093;7.1993
76.863;7.16554
77.1167;7.16825
77.3703;7.08839
