Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 16:43:37
Device temperature = 20.0411
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBoFQs
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;18.2944
0.253673;17.4364
0.507346;16.1633
0.76102;15.5507
1.01469;15.8763
1.26837;16.0549
1.52204;16.2459
1.77571;16.1364
2.02939;16.0688
2.28306;16.1009
2.53673;15.7653
2.79041;15.7558
3.04408;15.8561
3.29775;15.9005
3.55142;16.0003
3.8051;16.3606
4.05877;16.6057
4.31244;16.5668
4.56612;16.6616
4.81979;16.5431
5.07346;16.5666
5.32714;16.3363
5.58081;16.3893
5.83448;16.4477
6.08816;16.5842
6.34183;16.3958
6.5955;16.2593
6.84918;16.3747
7.10285;16.5869
7.35652;16.8409
7.6102;16.9533
7.86387;16.9135
8.11754;16.7886
8.37122;16.6476
8.62489;16.7375
8.87856;16.8272
9.13223;16.7139
9.38591;16.5571
9.63958;16.5474
9.89325;16.67
10.1469;16.8541
10.4006;16.8236
10.6543;16.8653
10.9079;16.7319
11.1616;16.5923
11.4153;16.6224
11.669;16.6036
11.9226;16.8912
12.1763;16.9621
12.43;16.9641
12.6837;16.7834
12.9373;16.7481
13.191;16.763
13.4447;16.7498
13.6984;16.6736
13.952;16.5945
14.2057;16.5394
14.4594;16.4486
14.713;16.5502
14.9667;16.7204
15.2204;16.7297
15.4741;16.5367
15.7277;16.3697
15.9814;16.1699
16.2351;16.3164
16.4888;16.505
16.7424;16.6201
16.9961;16.4769
17.2498;16.4042
17.5035;16.468
17.7571;16.5226
18.0108;16.8482
18.2645;16.8643
18.5181;16.8666
18.7718;16.8198
19.0255;16.5334
19.2792;16.4094
19.5328;16.5025
19.7865;16.5506
20.0402;16.49
20.2939;16.4279
20.5475;16.2744
20.8012;16.2857
21.0549;16.646
21.3085;16.7703
