Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 11:03:36
Device temperature = 20.0677
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBoIqm
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.575
0.253673;16.5491
0.507346;15.0624
0.76102;14.1419
1.01469;14.2541
1.26837;14.1722
1.52204;14.005
1.77571;13.5421
2.02939;13.351
2.28306;13.757
2.53673;13.6809
2.79041;13.7253
3.04408;13.6616
3.29775;13.5736
3.55142;13.422
3.8051;13.4095
4.05877;13.3941
4.31244;13.3804
4.56612;13.3505
4.81979;13.317
5.07346;13.3628
5.32714;13.4509
5.58081;13.3198
5.83448;13.2179
6.08816;13.227
6.34183;13.2514
6.5955;13.1962
6.84918;13.2828
7.10285;13.1677
7.35652;13.2183
7.6102;13.1199
7.86387;13.1503
8.11754;13.0892
8.37122;13.1218
8.62489;13.0767
8.87856;13.1216
9.13223;13.1268
9.38591;13.2426
9.63958;13.3187
9.89325;13.1275
10.1469;13.0291
10.4006;13.09
10.6543;13.0819
10.9079;13.1159
11.1616;13.1134
11.4153;13.09
11.669;13.088
11.9226;13.1406
12.1763;13.0337
12.43;13.0384
12.6837;12.9947
12.9373;13.07
13.191;13.0963
13.4447;13.1048
13.6984;13.0946
13.952;13.1605
14.2057;13.05
14.4594;13.1039
14.713;12.99
14.9667;13.0958
15.2204;13.093
15.4741;13.1517
15.7277;13.0375
15.9814;13.2012
16.2351;13.1597
16.4888;13.1268
16.7424;13.0018
16.9961;13.186
17.2498;13.0979
17.5035;13.1268
17.7571;13.0307
18.0108;13.0932
18.2645;13.1142
18.5181;13.1463
18.7718;13.0545
19.0255;13.0832
19.2792;13.0888
19.5328;13.1289
19.7865;13.0868
20.0402;13.1153
20.2939;13.0908
20.5475;13.113
20.8012;13.0959
21.0549;13.1272
21.3085;13.1029
21.5622;13.0887
21.8159;13.0726
22.0696;13.1421
22.3232;13.112
22.5769;13.14
22.8306;13.0797
23.0843;13.1448
23.3379;13.1537
23.5916;13.1637
23.8453;13.1505
24.099;13.0657
24.3526;13.0322
24.6063;13.0455
24.86;13.0869
25.1136;13.1652
25.3673;13.2209
25.621;13.1495
25.8747;13.1003
26.1283;13.042
26.382;12.9912
26.6357;13.0668
26.8894;13.0923
27.143;13.1035
27.3967;13.0029
27.6504;13.0823
27.9041;13.0043
28.1577;13.0236
28.4114;12.8533
28.6651;12.3656
28.9187;11.3611
29.1724;8.89666
29.4261;8.15538
29.6798;7.90127
29.9334;7.82148
30.1871;7.84666
30.4408;7.83659
30.6945;7.76712
30.9481;7.71993
31.2018;7.75493
31.4555;7.80255
31.7092;7.7775
31.9628;7.69412
32.2165;7.73503
32.4702;7.89433
32.7238;7.97279
32.9775;8.08717
33.2312;7.96384
33.4849;7.91534
33.7385;7.90976
33.9922;7.80032
34.2459;7.87317
34.4996;7.89065
34.7532;7.98198
35.0069;7.94313
35.2606;7.69343
35.5142;7.71202
35.7679;7.59753
36.0216;7.54315
36.2753;7.51499
36.5289;7.58071
36.7826;7.52983
37.0363;7.56973
37.29;7.53532
37.5436;7.50133
37.7973;7.55541
38.051;7.46483
38.3047;7.53891
38.5583;7.51701
38.812;7.4404
39.0657;7.469
39.3193;7.39824
39.573;7.35922
39.8267;7.37477
40.0804;7.34037
40.334;7.39164
40.5877;7.41663
40.8414;7.40352
41.0951;7.44507
41.3487;7.53263
41.6024;7.64293
41.8561;7.57632
42.1097;7.64855
42.3634;7.60526
42.6171;7.67964
42.8708;7.70287
43.1244;7.73323
43.3781;7.82735
43.6318;7.92727
43.8855;7.80221
44.1391;7.88115
44.3928;7.81846
44.6465;7.76016
44.9002;7.69797
45.1538;7.71352
45.4075;7.75306
45.6612;7.87031
45.9148;7.82876
46.1685;7.83434
46.4222;7.76984
46.6759;7.78541
46.9295;7.8356
47.1832;7.81492
47.4369;7.75037
47.6906;7.68334
47.9442;7.66824
48.1979;7.61945
48.4516;7.68476
48.7053;7.68963
48.9589;7.63472
49.2126;7.57666
49.4663;7.51033
49.7199;7.49399
49.9736;7.50101
50.2273;7.46907
50.481;7.68049
50.7346;7.7232
50.9883;7.6501
51.242;7.57839
51.4957;7.64994
51.7493;7.62623
52.003;7.68247
52.2567;7.72883
52.5104;7.70838
52.764;7.70698
53.0177;7.62993
53.2714;7.57317
53.525;7.54179
53.7787;7.52484
54.0324;7.60299
54.2861;7.56313
54.5397;7.53096
54.7934;7.41777
55.0471;7.48746
55.3008;7.52254
55.5544;7.64915
55.8081;7.68868
56.0618;7.7549
56.3154;7.7736
56.5691;7.75487
56.8228;7.71886
57.0765;7.63058
57.3301;7.66245
57.5838;7.57311
57.8375;7.5219
58.0912;7.48523
58.3448;7.5399
58.5985;7.53668
58.8522;7.52665
59.1059;7.54275
59.3595;7.48726
59.6132;7.49668
59.8669;7.45899
60.1205;7.38297
60.3742;7.4029
60.6279;7.46782
60.8816;7.45231
61.1352;7.53294
61.3889;7.41029
61.6426;7.45678
61.8963;7.4862
62.1499;7.49152
62.4036;7.48296
62.6573;7.51192
62.911;7.41511
63.1646;7.40185
63.4183;7.37841
63.672;7.28491
63.9256;7.33545
64.1793;7.33756
64.433;7.33768
64.6867;7.31656
64.9403;7.30697
65.194;7.29771
65.4477;7.24202
65.7014;7.32936
65.955;7.31641
66.2087;7.35638
66.4624;7.33543
66.716;7.34335
66.9697;7.373
67.2234;7.33478
67.4771;7.31477
67.7307;7.38728
67.9844;7.41635
68.2381;7.52816
68.4918;7.55745
68.7454;7.6269
68.9991;7.59973
69.2528;7.59649
69.5065;7.69779
69.7601;7.71005
70.0138;7.72789
70.2675;7.62813
70.5211;7.57303
70.7748;7.53663
71.0285;7.52693
71.2822;7.44238
71.5358;7.3942
71.7895;7.37515
72.0432;7.3502
72.2969;7.36255
72.5505;7.39036
72.8042;7.36991
73.0579;7.35247
73.3116;7.39437
73.5652;7.391
73.8189;7.36913
74.0726;7.3998
74.3262;7.39617
74.5799;7.34432
74.8336;7.35569
75.0873;7.2815
75.3409;7.30742
75.5946;7.28049
