Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 10:53:36
Device temperature = 20.1557
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBoT7g
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.7032
0.253673;16.5384
0.507346;15.1247
0.76102;14.2435
1.01469;14.3802
1.26837;14.2888
1.52204;14.1188
1.77571;13.6144
2.02939;13.398
2.28306;13.7789
2.53673;13.7405
2.79041;13.7585
3.04408;13.7387
3.29775;13.5197
3.55142;13.6515
3.8051;13.4448
4.05877;13.4133
4.31244;13.4003
4.56612;13.4278
4.81979;13.4725
5.07346;13.4891
5.32714;13.4321
5.58081;13.4235
5.83448;13.4036
6.08816;13.3877
6.34183;13.2865
6.5955;13.3526
6.84918;13.3449
7.10285;13.3242
7.35652;13.2229
7.6102;13.1777
7.86387;13.2395
8.11754;13.1965
8.37122;13.2074
8.62489;13.2303
8.87856;13.1693
9.13223;13.2487
9.38591;13.2534
9.63958;13.2768
9.89325;13.251
10.1469;13.1754
10.4006;13.1331
10.6543;13.1624
10.9079;13.1856
11.1616;13.1773
11.4153;13.2174
11.669;13.2616
11.9226;13.1902
12.1763;13.1648
12.43;13.1388
12.6837;13.1182
12.9373;13.1345
13.191;13.201
13.4447;13.1192
13.6984;13.1834
13.952;13.1704
14.2057;13.2258
14.4594;13.1708
14.713;13.1862
14.9667;13.1405
15.2204;13.2115
15.4741;13.1655
15.7277;13.1871
15.9814;13.2244
16.2351;13.2879
16.4888;13.1535
16.7424;13.162
16.9961;13.2231
17.2498;13.2534
17.5035;13.2628
17.7571;13.2347
18.0108;13.1685
18.2645;13.1862
18.5181;13.178
18.7718;13.2604
19.0255;13.1666
19.2792;13.2145
19.5328;13.1933
19.7865;13.2972
20.0402;13.2468
20.2939;13.2395
20.5475;13.2138
20.8012;13.2437
21.0549;13.2268
21.3085;13.1696
21.5622;13.1676
21.8159;13.2194
22.0696;13.2303
22.3232;13.2052
22.5769;13.2373
22.8306;13.2213
23.0843;13.2374
23.3379;13.2498
23.5916;13.2432
23.8453;13.2401
24.099;13.213
24.3526;13.1621
24.6063;13.1739
24.86;13.2365
25.1136;13.3023
25.3673;13.2283
25.621;13.1673
25.8747;13.1751
26.1283;13.1637
26.382;13.1922
26.6357;13.1741
26.8894;13.2272
27.143;13.1669
27.3967;13.1055
27.6504;13.0395
27.9041;13.0988
28.1577;13.0712
28.4114;12.9391
28.6651;12.5007
28.9187;11.3222
29.1724;8.92466
29.4261;8.16704
29.6798;7.92602
29.9334;7.89555
30.1871;7.91969
30.4408;7.87956
30.6945;7.79172
30.9481;7.79518
31.2018;7.76811
31.4555;7.81704
31.7092;7.77455
31.9628;7.74502
32.2165;7.79466
32.4702;7.91907
32.7238;8.01566
32.9775;8.18428
33.2312;8.02715
33.4849;7.91246
33.7385;7.8791
33.9922;7.9303
34.2459;7.93009
34.4996;8.0673
34.7532;7.99591
35.0069;7.93439
35.2606;7.8028
35.5142;7.76027
35.7679;7.65818
36.0216;7.62953
36.2753;7.6044
36.5289;7.61197
36.7826;7.54013
37.0363;7.5688
37.29;7.56827
37.5436;7.53199
37.7973;7.48063
38.051;7.41958
38.3047;7.47267
38.5583;7.47783
38.812;7.5072
39.0657;7.51339
39.3193;7.46606
39.573;7.50722
39.8267;7.41128
40.0804;7.4135
40.334;7.39952
40.5877;7.41821
40.8414;7.41816
41.0951;7.49172
41.3487;7.56253
41.6024;7.6934
41.8561;7.69851
42.1097;7.68385
42.3634;7.72972
42.6171;7.78563
42.8708;7.79042
43.1244;7.87152
43.3781;7.91613
43.6318;7.91094
43.8855;7.85251
44.1391;7.94846
44.3928;7.9102
44.6465;7.87045
44.9002;7.76665
45.1538;7.7321
45.4075;7.76613
45.6612;7.87621
45.9148;7.78486
46.1685;7.89461
46.4222;7.85602
46.6759;7.82607
46.9295;7.76591
47.1832;7.77072
47.4369;7.7182
47.6906;7.76448
47.9442;7.70479
48.1979;7.68234
48.4516;7.74198
48.7053;7.72876
48.9589;7.64932
49.2126;7.61052
49.4663;7.54892
49.7199;7.57918
49.9736;7.54595
50.2273;7.63655
50.481;7.751
50.7346;7.74222
50.9883;7.73749
51.242;7.64771
51.4957;7.60626
51.7493;7.72557
52.003;7.72534
52.2567;7.78147
52.5104;7.78138
52.764;7.698
53.0177;7.70765
53.2714;7.52993
53.525;7.61503
53.7787;7.60988
54.0324;7.57829
54.2861;7.55795
54.5397;7.57195
54.7934;7.57571
55.0471;7.59354
55.3008;7.58536
55.5544;7.62985
55.8081;7.70084
56.0618;7.70992
56.3154;7.80177
56.5691;7.88849
56.8228;7.76631
57.0765;7.72395
57.3301;7.70624
57.5838;7.61024
57.8375;7.6011
58.0912;7.55856
58.3448;7.64237
58.5985;7.62865
58.8522;7.57205
59.1059;7.59725
59.3595;7.58668
59.6132;7.56441
59.8669;7.51951
60.1205;7.45965
60.3742;7.50026
60.6279;7.4731
60.8816;7.52567
61.1352;7.40772
61.3889;7.48999
61.6426;7.42238
61.8963;7.52537
62.1499;7.49635
62.4036;7.48094
62.6573;7.51105
62.911;7.49668
63.1646;7.37892
63.4183;7.40681
63.672;7.43491
63.9256;7.38348
64.1793;7.30779
64.433;7.30612
64.6867;7.39912
64.9403;7.3369
65.194;7.32876
65.4477;7.28454
65.7014;7.30955
65.955;7.35673
66.2087;7.3206
66.4624;7.30549
66.716;7.38765
66.9697;7.32681
67.2234;7.36306
67.4771;7.37828
67.7307;7.33367
67.9844;7.41784
68.2381;7.48242
68.4918;7.53553
68.7454;7.66406
68.9991;7.57044
69.2528;7.63945
69.5065;7.68121
69.7601;7.8168
70.0138;7.77663
70.2675;7.64831
70.5211;7.56608
70.7748;7.64429
71.0285;7.50167
71.2822;7.47173
71.5358;7.33323
71.7895;7.34235
72.0432;7.3515
72.2969;7.40633
72.5505;7.43468
72.8042;7.42348
73.0579;7.40452
73.3116;7.34589
73.5652;7.36377
73.8189;7.409
74.0726;7.44339
74.3262;7.35309
74.5799;7.37857
74.8336;7.31603
75.0873;7.32968
75.3409;7.3384
75.5946;7.33812
75.8483;7.32971
76.102;7.27062
76.3556;7.30401
76.6093;7.31209
76.863;7.30861
77.1167;7.28963
77.3703;7.18766
77.624;7.27925
77.8777;7.24195
78.1313;7.25092
78.385;7.17331
78.6387;7.23409
78.8924;7.17913
79.146;7.15882
79.3997;7.08203
79.6534;7.07868
79.9071;7.16805
80.1607;7.10534
80.4144;7.06497
80.6681;7.09432
80.9218;7.11663
81.1754;7.17504
81.4291;7.19356
81.6828;7.20507
81.9364;7.14811
82.1901;7.20113
82.4438;7.21066
82.6975;7.1957
82.9511;7.21413
83.2048;7.19958
83.4585;7.14028
83.7122;7.12203
83.9658;7.2007
84.2195;7.15088
84.4732;7.14336
84.7268;7.09569
84.9805;7.0394
85.2342;7.01231
85.4879;7.01861
85.7415;7.01039
85.9952;7.12766
86.2489;7.18524
86.5026;7.10507
86.7562;7.13508
87.0099;7.18494
87.2636;7.18451
87.5173;7.13888
87.7709;7.12312
88.0246;7.11224
88.2783;7.12707
88.5319;7.07836
88.7856;7.0778
89.0393;7.02403
89.293;7.06519
89.5466;7.03024
89.8003;7.07947
90.054;7.12343
90.3077;7.11345
90.5613;7.14774
90.815;7.15411
91.0687;7.17245
91.3223;7.1428
91.576;7.08431
91.8297;7.02681
92.0834;7.00859
92.337;7.08242
92.5907;6.98335
92.8444;6.99167
93.0981;7.07744
93.3517;7.10899
93.6054;7.20307
93.8591;7.18417
94.1128;7.16818
94.3664;7.17633
94.6201;7.18079
94.8738;7.15484
95.1274;7.23243
95.3811;7.18326
95.6348;7.15872
95.8885;7.10782
96.1421;7.12813
96.3958;7.11967
96.6495;7.09771
96.9032;7.09095
97.1568;7.16502
97.4105;7.13995
97.6642;7.07607
