Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 16:53:37
Device temperature = 20.2135
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBobU/
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;18.6448
0.253673;17.7624
0.507346;16.4452
0.76102;15.8683
1.01469;16.2515
1.26837;16.5098
1.52204;16.668
1.77571;16.5645
2.02939;16.4091
2.28306;16.434
2.53673;16.1272
2.79041;16.2126
3.04408;16.2762
3.29775;16.4131
3.55142;16.4608
3.8051;16.8599
4.05877;16.9842
4.31244;17.0219
4.56612;17.0097
4.81979;16.9122
5.07346;16.8493
5.32714;16.7642
5.58081;16.7007
5.83448;16.8505
6.08816;16.8156
6.34183;16.7429
6.5955;16.6184
6.84918;16.7224
7.10285;17.0051
7.35652;17.2417
7.6102;17.349
7.86387;17.185
8.11754;17.0858
8.37122;17.087
8.62489;17.1175
8.87856;17.234
9.13223;17.1403
9.38591;17.0188
9.63958;16.8425
9.89325;17.0049
10.1469;17.1362
10.4006;17.1864
10.6543;17.2924
10.9079;17.0956
11.1616;16.9928
11.4153;16.8781
11.669;16.9564
11.9226;17.2031
12.1763;17.2089
12.43;17.2376
12.6837;17.1066
12.9373;17.061
13.191;17.1256
13.4447;17.108
13.6984;17.1261
13.952;16.9843
14.2057;16.839
14.4594;16.8138
14.713;16.8321
14.9667;17.1089
15.2204;17.0662
15.4741;16.996
15.7277;16.8158
15.9814;16.5201
16.2351;16.6156
16.4888;16.7672
16.7424;16.9528
16.9961;16.8861
17.2498;16.7933
17.5035;16.7979
17.7571;16.8983
18.0108;17.184
18.2645;17.1088
18.5181;17.1752
18.7718;17.0567
19.0255;16.8667
19.2792;16.7805
19.5328;16.7943
19.7865;16.8625
20.0402;16.7485
20.2939;16.718
20.5475;16.623
20.8012;16.581
21.0549;16.8735
21.3085;17.0583
21.5622;17.0378
21.8159;16.9452
22.0696;16.7619
22.3232;16.8292
22.5769;16.9882
22.8306;16.9881
23.0843;16.8021
23.3379;16.616
23.5916;16.5155
23.8453;16.583
24.099;16.9133
24.3526;17.0518
24.6063;16.9477
24.86;16.7827
25.1136;16.4016
25.3673;16.4497
25.621;16.6964
25.8747;17.0102
26.1283;17.1626
26.382;17.0878
26.6357;17.0069
26.8894;16.9297
27.143;17.0973
27.3967;17.2438
27.6504;17.374
27.9041;17.3558
28.1577;16.9834
28.4114;16.8858
28.6651;17.0343
28.9187;17.5423
29.1724;19.0447
29.4261;19.6248
29.6798;19.8428
29.9334;19.8499
30.1871;19.8071
30.4408;19.844
30.6945;19.7591
30.9481;19.716
31.2018;19.5064
31.4555;19.4674
31.7092;19.3645
31.9628;19.4018
32.2165;19.3742
32.4702;19.2889
32.7238;19.2401
32.9775;19.2108
33.2312;19.2874
33.4849;19.4434
33.7385;19.5634
33.9922;19.6064
34.2459;19.3931
34.4996;19.2285
34.7532;19.1881
35.0069;19.1584
35.2606;19.1191
35.5142;19.0807
35.7679;19.0457
36.0216;19.0771
36.2753;19.0053
36.5289;19.0085
36.7826;19.0351
37.0363;19.0964
37.29;19.2002
37.5436;19.3762
37.7973;19.4222
38.051;19.5378
38.3047;19.3357
38.5583;19.2582
38.812;19.3581
39.0657;19.6148
39.3193;19.8347
39.573;19.824
39.8267;19.7964
40.0804;19.95
40.334;20.0772
40.5877;19.9173
40.8414;19.7623
41.0951;19.5187
41.3487;19.131
41.6024;18.8544
41.8561;18.6674
