Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 10:43:36
Device temperature = 20.2396
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBoeqz
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.7998
0.253673;16.7167
0.507346;15.348
0.76102;14.3325
1.01469;14.4882
1.26837;14.463
1.52204;14.1876
1.77571;13.7194
2.02939;13.6133
2.28306;13.9517
2.53673;13.9246
2.79041;13.8744
3.04408;13.8198
3.29775;13.7346
3.55142;13.6614
3.8051;13.5708
4.05877;13.5146
4.31244;13.571
4.56612;13.588
4.81979;13.5919
5.07346;13.6206
5.32714;13.5115
5.58081;13.4747
5.83448;13.5061
6.08816;13.453
6.34183;13.4368
6.5955;13.4615
6.84918;13.4058
7.10285;13.412
7.35652;13.3396
7.6102;13.3531
7.86387;13.3274
8.11754;13.3826
8.37122;13.3553
8.62489;13.2886
8.87856;13.3192
9.13223;13.3663
9.38591;13.3742
9.63958;13.3856
9.89325;13.3449
10.1469;13.2813
10.4006;13.3086
10.6543;13.273
10.9079;13.3022
11.1616;13.2646
11.4153;13.2771
11.669;13.2878
11.9226;13.2101
12.1763;13.261
12.43;13.2366
12.6837;13.2153
12.9373;13.2988
13.191;13.227
13.4447;13.2584
13.6984;13.2923
13.952;13.3128
14.2057;13.2873
14.4594;13.2561
14.713;13.2608
14.9667;13.3146
15.2204;13.2571
15.4741;13.2826
15.7277;13.2938
15.9814;13.4263
16.2351;13.3916
16.4888;13.3304
16.7424;13.3317
16.9961;13.3517
17.2498;13.3196
17.5035;13.3175
17.7571;13.2997
18.0108;13.3175
18.2645;13.2872
18.5181;13.2862
18.7718;13.251
19.0255;13.3387
19.2792;13.3652
19.5328;13.3175
19.7865;13.3578
20.0402;13.4571
20.2939;13.3678
20.5475;13.3421
20.8012;13.3743
21.0549;13.31
21.3085;13.2921
21.5622;13.2418
21.8159;13.2567
22.0696;13.3322
22.3232;13.2933
22.5769;13.3119
22.8306;13.2874
23.0843;13.3341
23.3379;13.4076
23.5916;13.3529
23.8453;13.3555
24.099;13.2644
24.3526;13.2867
24.6063;13.2218
24.86;13.3205
25.1136;13.3696
25.3673;13.3235
25.621;13.3387
25.8747;13.241
26.1283;13.2279
26.382;13.2959
26.6357;13.3178
26.8894;13.2415
27.143;13.2246
27.3967;13.2529
27.6504;13.1563
27.9041;13.135
28.1577;13.2895
28.4114;13.113
28.6651;12.656
28.9187;11.6431
29.1724;9.18021
29.4261;8.22372
29.6798;7.90552
29.9334;7.97208
30.1871;8.0378
30.4408;7.95168
30.6945;7.902
30.9481;7.88193
31.2018;7.85051
31.4555;7.86653
31.7092;7.75646
31.9628;7.78393
32.2165;7.88213
32.4702;7.90726
32.7238;8.14469
32.9775;8.2458
33.2312;8.23914
33.4849;8.10892
33.7385;8.0022
33.9922;8.00039
34.2459;8.03633
34.4996;8.09369
34.7532;8.07073
35.0069;8.07531
35.2606;7.94599
35.5142;7.7686
35.7679;7.63805
36.0216;7.64098
36.2753;7.56782
36.5289;7.52758
36.7826;7.45993
37.0363;7.47578
37.29;7.49906
37.5436;7.43938
37.7973;7.52959
38.051;7.48723
38.3047;7.48631
38.5583;7.52428
38.812;7.496
39.0657;7.48091
39.3193;7.40591
39.573;7.4225
39.8267;7.41199
40.0804;7.33578
40.334;7.37981
40.5877;7.38032
40.8414;7.37334
41.0951;7.40065
41.3487;7.50762
41.6024;7.57574
41.8561;7.62924
42.1097;7.79741
42.3634;7.80999
42.6171;7.6764
42.8708;7.71074
43.1244;7.80044
43.3781;7.89539
43.6318;7.91191
43.8855;7.9476
44.1391;7.88891
44.3928;7.90585
44.6465;7.78473
44.9002;7.82927
45.1538;7.75288
45.4075;7.84732
45.6612;7.85951
45.9148;7.87269
46.1685;7.82591
46.4222;7.90158
46.6759;7.97731
46.9295;7.86673
47.1832;7.96028
47.4369;7.84763
47.6906;7.82913
47.9442;7.74134
48.1979;7.65337
48.4516;7.70653
48.7053;7.70865
48.9589;7.66927
49.2126;7.60048
49.4663;7.49349
49.7199;7.53106
49.9736;7.38708
50.2273;7.5622
50.481;7.68124
50.7346;7.80419
50.9883;7.70319
51.242;7.64578
51.4957;7.64196
51.7493;7.67246
52.003;7.64673
52.2567;7.78126
52.5104;7.83776
52.764;7.79078
53.0177;7.70016
53.2714;7.58019
53.525;7.56522
53.7787;7.64321
54.0324;7.6669
54.2861;7.59531
54.5397;7.51101
54.7934;7.50415
55.0471;7.47879
55.3008;7.49202
55.5544;7.63362
55.8081;7.75479
56.0618;7.79098
56.3154;7.78791
56.5691;7.87887
56.8228;7.80997
57.0765;7.70617
57.3301;7.71688
57.5838;7.65695
57.8375;7.67222
58.0912;7.61129
58.3448;7.63916
58.5985;7.6403
58.8522;7.50723
59.1059;7.52485
59.3595;7.49084
59.6132;7.50124
59.8669;7.55083
60.1205;7.5513
60.3742;7.46961
60.6279;7.50509
60.8816;7.47912
61.1352;7.47926
61.3889;7.46844
61.6426;7.46664
61.8963;7.54487
62.1499;7.48884
62.4036;7.51912
62.6573;7.54607
62.911;7.49845
63.1646;7.44916
63.4183;7.42597
63.672;7.44426
63.9256;7.44243
64.1793;7.33456
64.433;7.38821
