Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 10:33:36
Device temperature = 20.3307
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBoqVG
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.8745
0.253673;16.7863
0.507346;15.3741
0.76102;14.4632
1.01469;14.5689
1.26837;14.4844
1.52204;14.319
1.77571;13.7353
2.02939;13.6551
2.28306;13.9197
2.53673;13.9489
2.79041;13.9275
3.04408;13.936
3.29775;13.8365
3.55142;13.7507
3.8051;13.6703
4.05877;13.6225
4.31244;13.6499
4.56612;13.67
4.81979;13.6851
5.07346;13.6537
5.32714;13.6118
5.58081;13.6275
5.83448;13.589
6.08816;13.6203
6.34183;13.4461
6.5955;13.4906
6.84918;13.548
7.10285;13.5092
7.35652;13.5116
7.6102;13.4307
7.86387;13.4379
8.11754;13.4465
8.37122;13.3635
8.62489;13.4126
8.87856;13.3828
9.13223;13.4372
9.38591;13.5313
9.63958;13.5264
9.89325;13.4742
10.1469;13.375
10.4006;13.3382
10.6543;13.3667
10.9079;13.4411
11.1616;13.4333
11.4153;13.4592
11.669;13.4276
11.9226;13.3164
12.1763;13.3096
12.43;13.2829
12.6837;13.2971
12.9373;13.3451
13.191;13.3654
13.4447;13.4187
13.6984;13.4682
13.952;13.4376
14.2057;13.3908
14.4594;13.3385
14.713;13.3656
14.9667;13.4351
15.2204;13.4597
15.4741;13.434
15.7277;13.4783
15.9814;13.4629
16.2351;13.4371
16.4888;13.3909
16.7424;13.3679
16.9961;13.3986
17.2498;13.467
17.5035;13.4352
17.7571;13.4411
18.0108;13.3426
18.2645;13.4055
18.5181;13.3257
18.7718;13.3439
19.0255;13.4207
19.2792;13.4492
19.5328;13.4294
19.7865;13.3971
20.0402;13.4168
20.2939;13.4971
20.5475;13.4067
20.8012;13.3289
21.0549;13.3765
21.3085;13.4247
21.5622;13.3701
21.8159;13.427
22.0696;13.3938
22.3232;13.3924
22.5769;13.4017
22.8306;13.3663
23.0843;13.4294
23.3379;13.4771
23.5916;13.4756
23.8453;13.4632
24.099;13.3741
24.3526;13.3082
24.6063;13.3184
24.86;13.3751
25.1136;13.4556
25.3673;13.4286
25.621;13.4234
25.8747;13.4015
26.1283;13.2879
26.382;13.4186
26.6357;13.3358
26.8894;13.2947
27.143;13.3476
27.3967;13.2574
27.6504;13.256
27.9041;13.2967
28.1577;13.3156
28.4114;13.2353
28.6651;12.8527
28.9187;11.8363
29.1724;9.49376
29.4261;8.48695
29.6798;8.18202
29.9334;8.24371
30.1871;8.20461
30.4408;8.14521
30.6945;8.11597
30.9481;7.9406
31.2018;7.96952
31.4555;7.91441
31.7092;7.86671
31.9628;7.95573
32.2165;7.96708
32.4702;8.11942
32.7238;8.27901
32.9775;8.46879
33.2312;8.41488
33.4849;8.26885
33.7385;8.23038
33.9922;8.26907
34.2459;8.29214
34.4996;8.35115
34.7532;8.32777
35.0069;8.30136
35.2606;8.07869
35.5142;7.94465
35.7679;7.72105
36.0216;7.71636
36.2753;7.715
36.5289;7.64731
36.7826;7.5548
37.0363;7.62872
37.29;7.67777
37.5436;7.63058
37.7973;7.54366
38.051;7.58402
38.3047;7.60905
38.5583;7.62829
38.812;7.56741
39.0657;7.57972
39.3193;7.53449
39.573;7.52528
39.8267;7.4896
40.0804;7.47479
40.334;7.47436
40.5877;7.52401
40.8414;7.50401
41.0951;7.50122
41.3487;7.61749
41.6024;7.74327
41.8561;7.88262
42.1097;7.91594
42.3634;7.85789
42.6171;7.87504
42.8708;7.85793
43.1244;7.89651
43.3781;8.07053
43.6318;8.052
43.8855;8.03756
