Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 17:03:37
Device temperature = 20.3922
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBoyM6
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;18.7472
0.253673;17.9099
0.507346;16.5959
0.76102;16.0543
1.01469;16.5243
1.26837;16.6802
1.52204;16.9291
1.77571;16.857
2.02939;16.6635
2.28306;16.7349
2.53673;16.4464
2.79041;16.3662
3.04408;16.6684
3.29775;16.7332
3.55142;16.8
3.8051;17.22
4.05877;17.3579
4.31244;17.3038
4.56612;17.2746
4.81979;17.1167
5.07346;17.0306
5.32714;16.8763
5.58081;16.8662
5.83448;17.0399
6.08816;17.1113
6.34183;17.006
6.5955;16.8613
6.84918;16.8859
7.10285;17.3113
7.35652;17.4601
7.6102;17.6223
7.86387;17.4561
8.11754;17.2603
8.37122;17.1752
8.62489;17.2759
8.87856;17.4211
9.13223;17.4014
9.38591;17.1378
9.63958;17.1295
9.89325;17.1842
10.1469;17.3132
10.4006;17.4262
10.6543;17.3956
10.9079;17.3898
11.1616;17.2171
11.4153;17.1088
11.669;17.1582
11.9226;17.4066
12.1763;17.4206
12.43;17.4431
12.6837;17.3748
12.9373;17.2489
13.191;17.3959
13.4447;17.3595
13.6984;17.3003
13.952;17.1867
14.2057;17.0685
14.4594;17.0267
14.713;17.064
14.9667;17.2234
15.2204;17.3153
15.4741;17.1456
15.7277;16.9903
15.9814;16.7873
16.2351;16.7901
16.4888;17.0487
16.7424;17.2041
16.9961;17.142
17.2498;17.0619
17.5035;16.9818
17.7571;17.0374
18.0108;17.2946
18.2645;17.4301
18.5181;17.3306
18.7718;17.3174
19.0255;17.0157
19.2792;17.0211
19.5328;17.0645
19.7865;17.0779
20.0402;17.0247
20.2939;16.9331
20.5475;16.8068
20.8012;16.7705
21.0549;17.1361
21.3085;17.3832
21.5622;17.2921
21.8159;17.1433
22.0696;17.112
22.3232;17.0935
22.5769;17.2751
22.8306;17.2625
23.0843;17.0747
23.3379;16.8483
23.5916;16.7226
23.8453;16.7439
24.099;17.1251
24.3526;17.2038
24.6063;17.2338
24.86;17.0222
25.1136;16.6689
25.3673;16.7566
25.621;16.941
25.8747;17.1646
26.1283;17.4413
26.382;17.3105
26.6357;17.2604
26.8894;17.157
27.143;17.2928
27.3967;17.5233
27.6504;17.6196
27.9041;17.5706
28.1577;17.2698
28.4114;17.1534
28.6651;17.3887
28.9187;18.2384
29.1724;20.0292
29.4261;20.8187
29.6798;21.0161
29.9334;21.113
30.1871;21.3165
30.4408;21.2861
30.6945;21.3608
30.9481;21.1749
31.2018;20.8495
31.4555;20.756
31.7092;20.5978
31.9628;20.6193
32.2165;20.5364
32.4702;20.2974
32.7238;20.1771
32.9775;20.0631
33.2312;20.235
33.4849;20.4429
33.7385;20.5774
33.9922;20.7013
34.2459;20.4935
34.4996;20.2345
34.7532;20.1136
35.0069;20.1248
35.2606;20.2231
35.5142;20.5219
35.7679;20.461
36.0216;20.4566
36.2753;20.5252
36.5289;20.5273
36.7826;20.4962
37.0363;20.5068
37.29;20.618
37.5436;20.7915
37.7973;21.0177
38.051;21.0467
38.3047;20.9659
38.5583;20.9068
38.812;21.1852
39.0657;21.4645
39.3193;21.8537
39.573;21.8945
39.8267;21.9109
40.0804;21.9268
40.334;22.0813
40.5877;21.9568
40.8414;21.7997
41.0951;21.5875
41.3487;21.087
41.6024;20.8838
41.8561;20.5575
42.1097;20.4548
42.3634;20.6814
42.6171;20.721
42.8708;20.6539
43.1244;20.5057
43.3781;20.2507
43.6318;20.3179
43.8855;20.1457
44.1391;20.1065
44.3928;20.1377
44.6465;20.3165
44.9002;20.7213
45.1538;20.923
45.4075;21.3216
45.6612;21.7909
45.9148;22.0418
