Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 10:23:36
Device temperature = 20.4151
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBo1Ig
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;17.9302
0.253673;16.8081
0.507346;15.4551
0.76102;14.5214
1.01469;14.5733
1.26837;14.512
1.52204;14.349
1.77571;13.8303
2.02939;13.7287
2.28306;14.0643
2.53673;14.0404
2.79041;14.0673
3.04408;13.921
3.29775;13.8828
3.55142;13.7373
3.8051;13.684
4.05877;13.7362
4.31244;13.7021
4.56612;13.7099
4.81979;13.6738
5.07346;13.7782
5.32714;13.665
5.58081;13.648
5.83448;13.5666
6.08816;13.5682
6.34183;13.5216
6.5955;13.633
6.84918;13.5593
7.10285;13.5359
7.35652;13.4245
7.6102;13.4101
7.86387;13.4791
8.11754;13.508
8.37122;13.5116
8.62489;13.4017
8.87856;13.4166
9.13223;13.448
9.38591;13.5138
9.63958;13.523
9.89325;13.465
10.1469;13.4447
10.4006;13.3956
10.6543;13.4604
10.9079;13.5213
11.1616;13.4752
11.4153;13.4318
11.669;13.4374
11.9226;13.4214
12.1763;13.4099
12.43;13.4266
12.6837;13.4541
12.9373;13.4252
13.191;13.4623
13.4447;13.3843
13.6984;13.4304
13.952;13.4378
14.2057;13.442
14.4594;13.3838
14.713;13.4279
14.9667;13.4836
15.2204;13.4497
15.4741;13.4059
15.7277;13.4675
15.9814;13.4962
16.2351;13.5074
16.4888;13.4493
16.7424;13.402
16.9961;13.4913
17.2498;13.4859
17.5035;13.4351
17.7571;13.413
18.0108;13.4087
18.2645;13.4142
18.5181;13.4301
18.7718;13.4099
19.0255;13.4375
19.2792;13.4655
19.5328;13.4313
19.7865;13.4355
20.0402;13.4391
20.2939;13.5042
20.5475;13.5125
20.8012;13.5739
21.0549;13.4743
21.3085;13.3431
21.5622;13.4637
21.8159;13.4723
22.0696;13.4602
22.3232;13.4611
22.5769;13.4114
22.8306;13.4798
23.0843;13.4971
23.3379;13.3797
23.5916;13.5345
23.8453;13.4878
24.099;13.3431
24.3526;13.3271
24.6063;13.3399
24.86;13.4235
25.1136;13.4772
25.3673;13.516
25.621;13.4201
25.8747;13.4437
26.1283;13.3671
26.382;13.3916
26.6357;13.4162
26.8894;13.4756
27.143;13.3826
27.3967;13.2977
27.6504;13.2938
27.9041;13.2712
28.1577;13.3146
28.4114;13.2905
28.6651;12.852
28.9187;11.7562
29.1724;9.39505
29.4261;8.39714
29.6798;8.1648
29.9334;8.18067
30.1871;8.2209
30.4408;8.16048
30.6945;8.04094
30.9481;8.05294
31.2018;8.06622
31.4555;7.95818
31.7092;7.94107
31.9628;8.01511
32.2165;8.03577
32.4702;8.21012
32.7238;8.35421
32.9775;8.45495
33.2312;8.44478
33.4849;8.40139
33.7385;8.30888
33.9922;8.35371
34.2459;8.37697
34.4996;8.4525
34.7532;8.42754
35.0069;8.44586
35.2606;8.21401
35.5142;7.98741
35.7679;7.84954
36.0216;7.87413
36.2753;7.74798
36.5289;7.77386
36.7826;7.73004
37.0363;7.71368
37.29;7.72667
37.5436;7.66996
37.7973;7.69423
38.051;7.64796
38.3047;7.68607
38.5583;7.69905
38.812;7.66304
39.0657;7.67089
39.3193;7.58846
39.573;7.57033
39.8267;7.56278
40.0804;7.52101
40.334;7.49743
40.5877;7.48867
40.8414;7.56277
41.0951;7.58108
41.3487;7.72638
41.6024;7.87567
41.8561;7.88477
42.1097;8.0283
42.3634;8.04562
42.6171;7.93447
42.8708;7.96625
43.1244;8.09231
43.3781;8.16728
43.6318;8.20322
43.8855;8.17112
44.1391;8.22448
44.3928;8.19513
44.6465;8.13595
44.9002;8.16403
45.1538;8.16141
45.4075;8.31513
45.6612;8.23693
45.9148;8.16004
46.1685;8.14089
46.4222;8.14401
46.6759;8.05202
46.9295;8.1084
47.1832;8.15637
47.4369;8.12193
47.6906;8.02932
47.9442;7.98677
48.1979;7.99978
48.4516;7.97692
48.7053;7.95975
48.9589;7.91826
49.2126;7.86553
49.4663;7.77556
49.7199;7.73065
49.9736;7.72683
50.2273;7.80392
50.481;7.88959
50.7346;7.95509
50.9883;7.87331
51.242;7.86709
51.4957;7.89582
51.7493;7.93688
52.003;7.95077
52.2567;7.9763
52.5104;8.0037
52.764;8.00059
53.0177;7.86169
53.2714;7.85699
53.525;7.87523
53.7787;7.79856
54.0324;7.78919
54.2861;7.86164
54.5397;7.86689
54.7934;7.78847
55.0471;7.77888
55.3008;7.9067
55.5544;8.04122
55.8081;8.08695
56.0618;7.97166
56.3154;7.91536
56.5691;7.97555
56.8228;7.90756
57.0765;7.89199
57.3301;7.92775
57.5838;7.82285
57.8375;7.84771
58.0912;7.85107
58.3448;7.80406
58.5985;7.81525
58.8522;7.77261
59.1059;7.74307
59.3595;7.86784
59.6132;7.87275
59.8669;7.83041
60.1205;7.66207
60.3742;7.60695
60.6279;7.57844
60.8816;7.65103
61.1352;7.65684
61.3889;7.72076
61.6426;7.72941
61.8963;7.73619
62.1499;7.78922
62.4036;7.70881
62.6573;7.6547
62.911;7.72377
63.1646;7.64114
63.4183;7.58228
63.672;7.67278
63.9256;7.60232
64.1793;7.54954
64.433;7.59865
64.6867;7.63176
64.9403;7.52342
65.194;7.50821
65.4477;7.56257
65.7014;7.68205
65.955;7.66293
66.2087;7.59361
66.4624;7.61387
66.716;7.58914
66.9697;7.54574
67.2234;7.59654
67.4771;7.66675
67.7307;7.68986
67.9844;7.70078
68.2381;7.77724
68.4918;7.85001
68.7454;7.8273
68.9991;7.90229
69.2528;7.89765
69.5065;8.03025
69.7601;8.16752
70.0138;8.02122
70.2675;7.87718
70.5211;7.85628
70.7748;7.82804
71.0285;7.75505
71.2822;7.68918
71.5358;7.65336
71.7895;7.59352
72.0432;7.57222
72.2969;7.56134
72.5505;7.62197
72.8042;7.57982
73.0579;7.64244
73.3116;7.65059
73.5652;7.60334
73.8189;7.65855
74.0726;7.61743
74.3262;7.6087
74.5799;7.58431
