Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 10:13:36
Device temperature = 20.5186
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBpCYY
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;18.0464
0.253673;16.9767
0.507346;15.5692
0.76102;14.642
1.01469;14.7474
1.26837;14.5992
1.52204;14.4899
1.77571;13.8816
2.02939;13.7562
2.28306;14.14
2.53673;14.18
2.79041;14.1152
3.04408;14.0898
3.29775;13.9786
3.55142;13.8726
3.8051;13.7867
4.05877;13.803
4.31244;13.783
4.56612;13.8464
4.81979;13.8335
5.07346;13.8754
5.32714;13.7904
5.58081;13.7451
5.83448;13.6754
6.08816;13.6681
6.34183;13.671
6.5955;13.7803
6.84918;13.732
7.10285;13.7659
7.35652;13.5982
7.6102;13.6236
7.86387;13.5046
8.11754;13.5304
8.37122;13.6298
8.62489;13.5616
8.87856;13.5191
9.13223;13.612
9.38591;13.6267
9.63958;13.6529
9.89325;13.5969
10.1469;13.5679
10.4006;13.5754
10.6543;13.5876
10.9079;13.6114
11.1616;13.5729
11.4153;13.6193
11.669;13.5457
11.9226;13.4668
12.1763;13.4759
12.43;13.484
12.6837;13.5019
12.9373;13.5086
13.191;13.5298
13.4447;13.546
13.6984;13.5202
13.952;13.5901
14.2057;13.5102
14.4594;13.5807
14.713;13.5875
14.9667;13.6448
15.2204;13.4805
15.4741;13.5232
15.7277;13.5582
15.9814;13.5807
16.2351;13.6292
16.4888;13.5691
16.7424;13.5195
16.9961;13.6129
17.2498;13.5666
17.5035;13.6766
17.7571;13.6025
18.0108;13.5003
18.2645;13.5126
18.5181;13.5894
18.7718;13.5608
19.0255;13.5411
19.2792;13.572
19.5328;13.5255
19.7865;13.5414
20.0402;13.5198
20.2939;13.5176
20.5475;13.5814
20.8012;13.6025
21.0549;13.5548
21.3085;13.4661
21.5622;13.4728
21.8159;13.4974
22.0696;13.6151
22.3232;13.5102
22.5769;13.5467
22.8306;13.5459
23.0843;13.6691
