Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 17:13:37
Device temperature = 20.5786
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBpKD5
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;18.9432
0.253673;17.9933
0.507346;16.8228
0.76102;16.2428
1.01469;16.71
1.26837;16.9762
1.52204;17.2535
1.77571;17.1228
2.02939;17.019
2.28306;17.0258
2.53673;16.7457
2.79041;16.7152
3.04408;16.8966
3.29775;16.9881
3.55142;17.1052
3.8051;17.4931
4.05877;17.5571
4.31244;17.5056
4.56612;17.5187
4.81979;17.4341
5.07346;17.2908
5.32714;17.1182
5.58081;17.1647
5.83448;17.2442
6.08816;17.3013
6.34183;17.1321
6.5955;17.0681
6.84918;17.1888
7.10285;17.4186
7.35652;17.6923
7.6102;17.8105
7.86387;17.7058
8.11754;17.5237
8.37122;17.4848
8.62489;17.5153
8.87856;17.664
9.13223;17.5735
9.38591;17.4094
9.63958;17.2119
9.89325;17.4015
10.1469;17.5504
10.4006;17.5473
10.6543;17.6401
10.9079;17.5557
11.1616;17.4827
11.4153;17.3297
11.669;17.3857
11.9226;17.6154
12.1763;17.7514
12.43;17.677
12.6837;17.543
12.9373;17.4361
13.191;17.5345
13.4447;17.5179
13.6984;17.564
13.952;17.375
14.2057;17.301
14.4594;17.3419
14.713;17.3343
14.9667;17.5927
15.2204;17.5475
15.4741;17.3625
15.7277;17.2939
15.9814;17.0674
16.2351;17.0242
16.4888;17.2451
16.7424;17.4899
16.9961;17.3621
17.2498;17.2701
17.5035;17.2332
17.7571;17.3672
18.0108;17.5906
18.2645;17.6035
18.5181;17.5766
18.7718;17.4992
19.0255;17.2716
19.2792;17.2145
19.5328;17.2599
19.7865;17.3543
20.0402;17.3075
20.2939;17.0617
20.5475;16.9871
20.8012;17.0253
21.0549;17.3682
21.3085;17.5265
21.5622;17.4321
21.8159;17.3576
22.0696;17.172
22.3232;17.3058
22.5769;17.3792
22.8306;17.5419
23.0843;17.2701
23.3379;17.0403
23.5916;16.9562
23.8453;16.9363
24.099;17.3758
24.3526;17.5063
24.6063;17.4261
24.86;17.2425
25.1136;16.9144
25.3673;16.9425
25.621;17.1464
25.8747;17.4226
26.1283;17.6962
26.382;17.5596
26.6357;17.415
26.8894;17.3825
27.143;17.4787
27.3967;17.6785
27.6504;17.771
27.9041;17.7661
28.1577;17.5504
28.4114;17.4007
28.6651;17.4488
28.9187;18.1215
29.1724;19.5193
29.4261;20.0673
29.6798;20.3309
29.9334;20.3927
30.1871;20.4856
30.4408;20.4369
30.6945;20.4874
30.9481;20.2893
31.2018;20.0285
31.4555;20.0671
31.7092;19.9438
31.9628;19.9911
32.2165;20.0136
32.4702;19.9591
32.7238;19.8728
32.9775;19.8173
33.2312;19.9715
33.4849;20.1052
33.7385;20.1674
33.9922;20.3124
34.2459;20.1721
34.4996;20.0138
34.7532;19.9225
35.0069;19.8512
35.2606;19.8665
35.5142;19.875
35.7679;19.8847
36.0216;19.868
36.2753;19.7901
36.5289;19.8087
36.7826;19.8148
37.0363;19.8308
37.29;19.9584
37.5436;20.1447
37.7973;20.1847
38.051;20.1922
38.3047;20.0156
38.5583;19.9041
38.812;19.9331
39.0657;20.0873
39.3193;20.3057
39.573;20.2883
39.8267;20.4141
40.0804;20.497
40.334;20.5708
40.5877;20.4874
40.8414;20.3592
41.0951;20.1114
41.3487;19.8111
41.6024;19.6756
41.8561;19.5423
42.1097;19.519
42.3634;19.6037
42.6171;19.6171
42.8708;19.6139
43.1244;19.5427
43.3781;19.2926
43.6318;19.2565
43.8855;19.1974
44.1391;19.2128
44.3928;19.2445
44.6465;19.378
44.9002;19.4157
45.1538;19.529
45.4075;19.6272
45.6612;19.6998
45.9148;19.777
46.1685;19.816
46.4222;19.9086
46.6759;20.0439
46.9295;20.1122
47.1832;20.2217
47.4369;20.2781
47.6906;20.433
47.9442;20.4764
48.1979;20.5206
48.4516;20.4996
48.7053;20.378
48.9589;20.2818
49.2126;20.204
49.4663;20.077
49.7199;19.9621
49.9736;19.8032
50.2273;19.7014
50.481;19.7947
50.7346;19.9724
50.9883;20.2089
51.242;20.5397
51.4957;20.6304
51.7493;20.6026
52.003;20.6233
52.2567;20.6471
52.5104;20.472
52.764;20.4877
53.0177;20.4596
53.2714;20.4275
53.525;20.3157
53.7787;20.3162
54.0324;20.2472
54.2861;20.3087
54.5397;20.2371
54.7934;20.1513
55.0471;20.0002
55.3008;19.937
55.5544;19.9246
55.8081;19.901
56.0618;19.8325
56.3154;19.8651
56.5691;19.7386
56.8228;19.7708
57.0765;19.9064
57.3301;19.9823
57.5838;20.0506
57.8375;20.1166
58.0912;20.0455
58.3448;20.0558
58.5985;20.0397
58.8522;19.9713
59.1059;20.0039
59.3595;20.2653
59.6132;20.74
59.8669;20.9021
60.1205;20.9996
60.3742;21.0707
60.6279;20.9516
60.8816;20.8012
61.1352;20.6411
61.3889;20.4717
61.6426;20.2456
61.8963;20.1757
62.1499;20.2809
62.4036;20.4855
62.6573;20.654
62.911;20.6412
63.1646;20.5786
63.4183;20.5467
63.672;20.3616
63.9256;20.3745
64.1793;20.3798
64.433;20.4357
64.6867;20.5759
64.9403;20.6375
65.194;20.689
65.4477;20.8188
65.7014;20.8598
65.955;20.8008
66.2087;20.7009
66.4624;20.6251
66.716;20.7965
66.9697;20.6657
67.2234;20.7053
67.4771;20.7209
67.7307;20.6264
67.9844;20.5947
68.2381;20.5673
68.4918;20.645
68.7454;20.6512
68.9991;20.7475
69.2528;20.8965
69.5065;21.2309
69.7601;21.5753
70.0138;21.6194
70.2675;21.6416
70.5211;21.8469
70.7748;22.1311
71.0285;22.0188
71.2822;21.759
71.5358;21.363
71.7895;21.407
72.0432;21.6696
72.2969;21.6398
72.5505;21.3069
72.8042;20.5377
73.0579;20.4257
73.3116;20.3355
73.5652;20.3885
73.8189;20.3695
74.0726;20.6735
74.3262;20.8112
74.5799;20.9679
74.8336;20.9204
75.0873;20.8851
75.3409;20.8598
75.5946;20.7738
75.8483;20.6624
76.102;20.629
76.3556;20.5522
76.6093;20.6299
76.863;20.7995
77.1167;20.7495
77.3703;20.6189
77.624;20.4982
77.8777;20.4987
78.1313;20.7107
78.385;20.8668
78.6387;20.9604
78.8924;21.0141
79.146;20.9319
79.3997;20.837
79.6534;20.6959
79.9071;20.8799
80.1607;21.1327
80.4144;21.2646
80.6681;21.5466
80.9218;21.7282
81.1754;21.8323
81.4291;21.7161
81.6828;21.5663
81.9364;21.6212
82.1901;21.6705
82.4438;21.6184
82.6975;21.6172
82.9511;21.4991
83.2048;21.5036
83.4585;21.2323
83.7122;21.0566
83.9658;20.71
84.2195;20.6425
84.4732;20.5436
84.7268;20.7496
84.9805;20.831
85.2342;21.0135
85.4879;21.0308
85.7415;21.0374
85.9952;21.0963
86.2489;21.3506
86.5026;21.5091
86.7562;21.6434
87.0099;21.5727
87.2636;21.4923
87.5173;21.4917
87.7709;21.5468
88.0246;21.5129
88.2783;21.4437
88.5319;21.4119
88.7856;21.3146
89.0393;21.4487
89.293;21.65
89.5466;21.7139
89.8003;21.8293
90.054;21.2671
90.3077;20.9827
90.5613;20.7688
90.815;20.8237
91.0687;20.8551
91.3223;20.8286
91.576;20.7243
91.8297;20.6043
92.0834;20.5919
92.337;20.8484
92.5907;21.0132
92.8444;21.1254
93.0981;21.2593
93.3517;21.2226
93.6054;21.1655
93.8591;21.0574
94.1128;21.0148
94.3664;21.1264
94.6201;21.2167
94.8738;21.2904
95.1274;21.1829
95.3811;21.0019
95.6348;20.9858
95.8885;21.0192
96.1421;21.1965
96.3958;21.4308
96.6495;21.3681
96.9032;21.2696
97.1568;21.1164
97.4105;21.1078
97.6642;21.2178
97.9179;21.2627
98.1715;21.2489
98.4252;21.3424
98.6789;21.3792
98.9325;21.5611
99.1862;21.5651
99.4399;21.4693
99.6936;21.4691
99.9472;21.3718
100.201;21.3244
100.455;21.3136
100.708;21.2173
100.962;21.1051
101.216;20.869
101.469;20.743
101.723;20.7493
101.977;20.9769
102.23;21.617
102.484;21.7886
102.738;21.685
102.991;21.7249
103.245;21.8612
103.499;22.1534
103.752;22.4822
104.006;22.754
104.26;22.9035
104.513;22.9652
104.767;22.9392
105.021;23.0383
105.274;23.4122
105.528;23.7886
105.782;24.1574
106.035;24.7674
106.289;25.6585
106.543;26.0093
106.796;26.1691
107.05;26.454
107.304;27.1154
107.557;27.2538
107.811;27.1772
108.065;26.8581
108.318;26.5165
108.572;26.7084
108.826;26.8389
109.079;27.0456
109.333;27.0423
109.587;27.0861
109.84;27.1825
110.094;27.3971
110.348;27.6619
110.602;27.8255
110.855;27.5781
111.109;27.2211
111.363;26.5165
111.616;26.1511
111.87;25.9845
112.124;26.0812
112.377;26.4298
112.631;26.6243
112.885;26.5953
113.138;26.5886
113.392;26.7138
113.646;26.7662
113.899;26.7381
114.153;26.8594
114.407;27.1646
114.66;27.3083
114.914;27.0935
115.168;26.9348
115.421;27.0748
115.675;27.1451
115.929;27.1381
116.182;27.1821
116.436;27.393
116.69;27.6818
116.943;27.6793
117.197;27.5046
117.451;26.7116
117.704;26.3715
117.958;26.1734
118.212;26.0669
118.465;25.993
118.719;26.201
118.973;26.5646
119.226;27.2432
119.48;28.3657
119.734;28.7607
119.987;28.8704
120.241;28.9226
120.495;28.7907
120.748;28.5922
121.002;28.1737
121.256;27.9104
121.509;27.8783
121.763;27.8638
122.017;27.8579
122.27;28.491
122.524;29.7537
122.778;29.809
123.032;29.412
123.285;29.5793
123.539;30.2028
123.793;30.1335
124.046;29.7588
124.3;29.4097
124.554;28.4859
124.807;27.7245
125.061;27.5341
125.315;27.6938
125.568;27.3785
125.822;26.7303
126.076;26.1663
126.329;25.9261
126.583;25.85
126.837;25.6712
127.09;25.4284
127.344;25.5328
127.598;26.3114
127.851;27.0703
128.105;27.3481
128.359;27.334
128.612;27.3301
128.866;27.5904
129.12;27.7585
129.373;27.6609
129.627;27.1694
129.881;27.0755
130.134;26.8305
130.388;26.5988
130.642;25.6697
130.895;25.4443
131.149;25.5916
131.403;26.1016
131.656;26.9041
131.91;27.0824
132.164;26.8723
132.417;26.7187
132.671;26.9267
132.925;27.0121
133.178;26.7493
133.432;26.3218
133.686;25.5484
133.939;25.218
134.193;24.7741
134.447;24.2151
134.7;23.7526
134.954;23.7856
135.208;23.7542
135.461;23.6424
135.715;23.1006
135.969;22.6653
136.223;22.3278
136.476;22.209
136.73;22.2971
136.984;22.3345
137.237;22.2147
137.491;22.1335
137.745;22.1709
137.998;22.1759
138.252;22.1496
138.506;22.3647
138.759;22.8424
139.013;22.9829
139.267;22.8922
139.52;22.7586
139.774;22.5284
140.028;22.5477
140.281;22.7246
140.535;22.9117
140.789;22.9348
141.042;22.7021
141.296;22.4487
141.55;22.4914
141.803;22.3306
142.057;22.2414
142.311;21.9736
142.564;21.7668
142.818;21.9195
143.072;22.2112
143.325;22.3526
143.579;22.4222
143.833;22.2897
144.086;22.1086
144.34;21.9247
144.594;21.9136
144.847;22.0104
145.101;21.9145
145.355;21.7903
145.608;21.6253
145.862;21.4709
146.116;21.3563
146.369;21.1983
146.623;20.8594
146.877;20.625
147.13;20.6927
147.384;20.6728
147.638;20.6856
147.891;20.6965
148.145;20.5869
148.399;20.6247
148.652;20.5902
148.906;20.3443
149.16;20.1638
149.414;20.173
149.667;20.1579
149.921;20.249
150.175;20.0711
150.428;19.8029
150.682;19.8791
150.936;20.0949
151.189;20.1891
151.443;20.2768
151.697;20.416
151.95;20.4091
152.204;20.1961
152.458;19.8456
152.711;19.6522
152.965;19.4016
153.219;19.4637
153.472;19.6446
153.726;19.8384
153.98;20.0428
154.233;20.0785
154.487;19.9311
154.741;20.0329
154.994;20.1421
155.248;20.1862
155.502;20.2123
155.755;20.2558
156.009;20.2762
156.263;20.1757
156.516;20.1799
156.77;20.1887
157.024;20.5702
157.277;20.6737
157.531;20.4616
157.785;20.2484
158.038;20.1677
158.292;20.1477
158.546;20.1554
158.799;20.0323
159.053;20.1237
159.307;20.247
159.56;20.3853
159.814;20.5664
160.068;20.6774
160.321;20.4595
160.575;20.1941
160.829;19.9752
161.082;19.9993
161.336;20.1713
161.59;20.1309
161.844;20.0483
162.097;19.7882
162.351;19.4868
162.605;19.3711
162.858;19.3916
163.112;19.9838
163.366;20.2301
163.619;20.1248
163.873;19.9519
164.127;19.5894
164.38;19.5038
164.634;19.5077
164.888;19.4841
165.141;19.885
165.395;20.1008
165.649;19.9092
165.902;19.6504
166.156;19.6207
166.41;19.8431
166.663;19.8732
166.917;19.8932
167.171;19.9038
167.424;20.0604
167.678;20.0513
167.932;20.2232
168.185;20.6442
168.439;20.8585
168.693;20.7491
168.946;20.4833
169.2;20.0274
169.454;20.0733
169.707;20.0893
169.961;19.931
170.215;19.6161
170.468;19.5407
170.722;19.6047
170.976;19.8417
171.229;20.0082
171.483;19.9813
171.737;19.9477
171.99;20.0453
172.244;19.9655
172.498;19.7927
172.751;19.589
173.005;19.4646
173.259;19.4516
173.512;19.4595
173.766;19.4956
174.02;19.6275
174.273;19.7507
174.527;19.7783
174.781;19.8119
175.035;19.9927
175.288;19.8927
175.542;19.5618
175.796;19.3031
176.049;19.4401
176.303;20.3448
176.557;20.703
176.81;20.7252
177.064;20.5665
177.318;20.3203
177.571;20.2983
177.825;20.4792
178.079;21.0878
178.332;22.4915
178.586;22.6452
178.84;22.1515
179.093;21.5458
179.347;21.0915
179.601;21.1944
179.854;21.4025
180.108;21.5669
180.362;21.3845
180.615;20.7869
180.869;20.259
181.123;20.0174
181.376;20.6115
181.63;20.9534
181.884;20.8106
182.137;20.4338
182.391;20.1634
182.645;20.4133
182.898;20.6576
183.152;20.9288
183.406;21.635
183.659;22.0935
183.913;22.3263
184.167;22.5024
184.42;22.2795
184.674;22.1231
184.928;22.3653
185.181;22.9984
185.435;23.2333
185.689;22.7945
185.942;22.1528
186.196;21.7243
186.45;20.7087
186.703;20.3486
186.957;20.2856
187.211;20.5134
187.464;20.6141
187.718;20.6095
187.972;20.357
188.226;20.0253
188.479;19.6512
188.733;19.9241
188.987;20.1146
189.24;20.0016
189.494;19.7263
189.748;19.7542
190.001;19.7261
190.255;19.624
190.509;19.445
190.762;19.4809
191.016;19.5305
191.27;19.7101
191.523;20.0669
191.777;20.3823
192.031;20.3128
192.284;20.3122
192.538;19.9734
192.792;19.9688
193.045;19.9442
193.299;20.1126
193.553;20.2378
193.806;20.2439
194.06;19.9789
194.314;19.8797
194.567;19.8192
194.821;19.9395
195.075;19.8773
195.328;20.0033
195.582;20.2409
195.836;20.4988
196.089;20.5367
196.343;20.3911
196.597;20.2252
196.85;20.4622
197.104;20.8786
197.358;21.3646
197.611;21.4148
197.865;21.0511
198.119;20.7157
198.372;20.701
198.626;20.9519
198.88;21.2084
199.133;21.5779
199.387;21.9739
199.641;22.3654
199.894;22.4855
200.148;22.3874
200.402;22.1149
200.656;21.2003
200.909;20.631
201.163;20.3974
201.417;20.4896
201.67;20.8378
201.924;21.1994
202.178;21.6195
202.431;22.0732
202.685;22.1355
202.939;21.967
203.192;21.874
203.446;22.1171
203.7;22.7991
203.953;22.9332
204.207;22.7245
204.461;22.6298
204.714;23.0701
204.968;23.3646
205.222;23.5633
205.475;23.7201
205.729;24.0324
205.983;24.4394
206.236;24.9356
206.49;25.7571
206.744;26.7825
206.997;26.8615
207.251;26.628
207.505;26.615
207.758;27.4163
208.012;27.8014
208.266;27.7155
208.519;27.7305
208.773;28.7899
209.027;29.4341
209.28;29.0021
209.534;28.2308
209.788;27.3387
210.041;26.5981
210.295;25.7255
210.549;25.2064
210.802;25.7411
211.056;25.7778
211.31;25.2131
211.563;24.97
211.817;25.3353
212.071;25.9359
212.324;26.1634
212.578;25.9168
212.832;24.9668
213.085;24.541
213.339;24.5483
213.593;24.7892
213.846;24.0434
214.1;23.3539
214.354;23.1086
214.608;23.4383
214.861;24.844
215.115;25.4622
215.369;25.5155
215.622;25.3176
215.876;25.1504
216.13;25.031
216.383;24.9169
216.637;24.9677
216.891;26.1195
217.144;26.9331
217.398;27.4745
217.652;28.0309
217.905;28.6925
218.159;28.5264
218.413;28.0647
218.666;27.3438
218.92;27.0205
219.174;27.2244
219.427;27.1772
219.681;26.846
219.935;26.3716
220.188;26.0288
220.442;25.5156
220.696;25.1356
220.949;25.1029
221.203;25.4719
221.457;25.8351
221.71;25.8463
221.964;25.8236
222.218;26.3439
222.471;27.0054
222.725;27.8498
222.979;28.6397
223.232;28.9269
223.486;28.971
223.74;28.9763
223.993;29.529
224.247;29.9571
224.501;29.7106
224.754;28.8327
225.008;27.222
225.262;26.6154
225.515;26.0581
225.769;25.7411
226.023;26.3825
226.276;27.5062
226.53;28.2996
226.784;28.4228
227.038;27.2725
227.291;26.6839
227.545;26.3663
227.799;25.7929
228.052;24.4266
228.306;23.6042
228.56;22.8095
228.813;22.244
229.067;22.3274
229.321;22.733
229.574;22.6976
229.828;22.4043
230.082;22.1359
230.335;22.7901
230.589;23.4057
230.843;23.6426
231.096;23.3805
231.35;23.3361
231.604;23.1635
231.857;22.0315
232.111;17.491
232.365;14.6808
232.618;13.0334
232.872;12.5347
233.126;12.6782
233.379;12.6006
233.633;12.4924
233.887;12.4953
234.14;12.4485
234.394;12.425
234.648;12.4016
234.901;12.3581
235.155;12.352
235.409;12.2935
235.662;12.3056
235.916;12.3233
236.17;12.2418
236.423;12.3413
236.677;12.3056
236.931;12.3014
237.184;12.2887
237.438;12.2729
237.692;12.2769
237.945;12.3372
238.199;12.2532
238.453;12.2679
238.706;12.2336
238.96;12.2796
239.214;12.2316
239.467;12.191
239.721;12.1454
239.975;12.1939
240.229;12.2479
240.482;12.2796
240.736;12.1932
240.99;12.2292
241.243;12.2485
241.497;12.1962
241.751;12.1909
242.004;12.1961
242.258;12.1878
242.512;12.1143
242.765;12.1995
243.019;12.1764
243.273;12.1863
243.526;12.1388
243.78;12.154
244.034;12.177
244.287;12.1423
244.541;12.165
244.795;12.1643
245.048;12.12
245.302;12.0975
245.556;12.1173
245.809;12.1029
246.063;12.1371
246.317;12.105
246.57;12.1198
246.824;12.1016
247.078;12.1434
247.331;12.1958
247.585;12.1152
247.839;12.15
248.092;12.1358
248.346;12.1074
248.6;12.1215
248.853;12.0847
249.107;12.1202
249.361;12.1098
249.614;12.1262
249.868;12.1532
250.122;12.1305
250.375;12.1659
250.629;12.1683
250.883;12.0306
251.136;12.1526
251.39;12.1458
251.644;12.1176
251.897;12.0722
252.151;12.0891
252.405;12.1231
252.659;12.1771
252.912;12.0673
253.166;12.1087
253.42;12.0608
253.673;12.103
253.927;12.0601
254.181;12.1161
254.434;12.1104
254.688;12.1137
254.942;12.0713
255.195;12.0716
255.449;12.0528
255.703;12.0447
255.956;12.0258
256.21;12.0659
256.464;11.9738
256.717;12.0678
256.971;12.0438
257.225;12.0629
257.478;12.0666
257.732;12.0482
257.986;11.9636
258.239;11.9293
258.493;11.9605
258.747;12.0438
259;11.9825
259.254;12.0314
259.508;12.002
259.761;12.0293
260.015;11.9765
260.269;12.0241
260.522;12.0307
260.776;12.0294
261.03;11.9748
261.283;12.0153
261.537;12.0849
261.791;12.0443
262.044;11.9682
262.298;11.9829
262.552;11.9774
262.805;12.0303
263.059;12.0496
263.313;12.0322
263.566;12.0861
263.82;12.0008
264.074;11.9925
264.327;11.9829
264.581;12.0084
264.835;12.0305
265.089;11.9555
265.342;11.9519
265.596;11.938
265.85;11.9313
266.103;11.9281
266.357;12.0125
266.611;11.9806
266.864;12.0147
267.118;11.9397
267.372;11.9499
267.625;11.9774
267.879;11.951
268.133;11.9314
268.386;11.9613
268.64;11.9337
268.894;12.0247
269.147;11.9989
269.401;11.9782
269.655;11.9507
269.908;11.9962
270.162;11.964
270.416;11.9433
270.669;12.016
270.923;12.008
271.177;11.948
271.43;12.0817
271.684;11.9973
271.938;11.9711
272.191;11.912
272.445;11.9089
272.699;12.077
272.952;11.9842
273.206;11.9491
273.46;11.9908
273.713;12.0361
273.967;12.0384
274.221;12.0206
274.474;11.9828
274.728;11.9576
274.982;11.9813
275.235;12.0083
275.489;12.0007
275.743;11.9597
275.996;12.0111
276.25;11.9912
276.504;12.0398
276.757;11.9158
277.011;11.9095
277.265;11.9577
277.518;11.9806
277.772;11.9906
278.026;12.0104
278.28;11.9612
278.533;12.0542
278.787;11.9961
279.041;11.9682
279.294;12.0141
279.548;12.0478
279.802;11.9613
280.055;11.9512
280.309;11.9233
280.563;11.9728
280.816;11.9968
281.07;11.9182
281.324;12.0091
281.577;12.0145
281.831;11.9471
282.085;11.9856
282.338;11.9839
282.592;12.0357
282.846;11.9441
283.099;11.9875
283.353;11.9619
283.607;11.996
283.86;11.9769
284.114;11.9532
284.368;11.9596
284.621;12.0397
284.875;11.993
285.129;11.9634
285.382;12.019
285.636;12.0484
285.89;12.0265
286.143;11.9603
286.397;12.0134
286.651;12.0219
286.904;12.0792
287.158;12.0943
287.412;12.0136
287.665;12.0314
287.919;12.0698
288.173;12.0257
288.426;11.9855
288.68;11.9883
288.934;12.1078
289.187;12.0853
289.441;12.0223
289.695;12.0808
289.948;12.0758
290.202;12.0183
290.456;12.0515
290.709;12.083
290.963;12.0434
291.217;12.0981
291.47;12.0083
291.724;12.0218
291.978;12.0617
292.232;12.0766
292.485;12.0509
292.739;12.0261
292.993;12.0854
293.246;12.1007
293.5;12.0099
293.754;12.0837
294.007;12.0891
294.261;12.0537
294.515;12.0648
294.768;12.0857
295.022;12.0436
295.276;12.0651
295.529;12.0353
295.783;12.0867
296.037;11.9685
296.29;12.0087
296.544;12.0207
296.798;12.0262
297.051;12.0472
297.305;12.059
297.559;11.9413
297.812;11.9892
298.066;11.9737
298.32;12.0264
298.573;12.0092
298.827;12.0515
299.081;12.0198
299.334;12.0549
299.588;12.0311
299.842;12.0287
300.095;12.0438
300.349;12.0413
300.603;12.0164
300.856;11.9903
301.11;11.9724
301.364;12.0003
301.617;12.0673
301.871;12.0515
302.125;11.9549
302.378;12.0209
302.632;11.9877
302.886;12.0205
303.139;12.0185
303.393;12.0343
303.647;11.9874
303.9;12.0061
304.154;12.0456
304.408;12.0688
304.661;11.9529
304.915;11.9897
305.169;12.0157
305.423;12.0182
305.676;12.0043
305.93;12.0684
306.184;12.012
306.437;12.0336
306.691;11.9572
306.945;12.006
307.198;12.13
307.452;12.1459
307.706;12.0651
307.959;12.0956
308.213;12.0123
308.467;12.0138
308.72;12.0203
308.974;12.019
309.228;12.0327
309.481;12.0513
309.735;12.0211
309.989;12.0205
310.242;11.9495
310.496;12.0052
310.75;12.0266
311.003;12.0107
311.257;12.0388
311.511;12.0566
311.764;11.9817
312.018;12.0086
312.272;12.0008
312.525;12.0272
312.779;12.0378
313.033;12.0166
313.286;12.0154
313.54;12.0337
313.794;12.0198
314.047;12.0113
314.301;12.0124
314.555;12.0489
314.808;11.9943
315.062;11.9941
315.316;11.9777
315.569;12.0183
315.823;12.0146
316.077;11.967
316.33;11.9622
316.584;12.0488
316.838;12.0329
317.091;12.0402
317.345;12.002
317.599;12.0417
317.853;11.9882
318.106;12.0344
318.36;12.0246
318.614;12.035
318.867;11.9706
319.121;12.0115
319.375;11.9823
319.628;12.0423
319.882;12.0364
320.136;12.021
320.389;12.0118
320.643;12.0226
320.897;11.9686
321.15;12.0499
321.404;12.0534
321.658;12.0702
321.911;12.0437
322.165;12.0003
322.419;11.9755
322.672;12.0081
322.926;11.9472
323.18;11.9661
323.433;11.9919
323.687;12.0099
323.941;12.0361
324.194;12.0275
324.448;11.9856
324.702;12.0389
324.955;12.0544
325.209;12.0008
325.463;12.0164
325.716;12.0822
325.97;11.9391
326.224;11.9439
326.477;11.9852
326.731;12.0115
326.985;11.946
327.238;11.9699
327.492;12.0037
327.746;12.0316
327.999;12.0075
328.253;12.0077
328.507;12.0441
328.76;12.0041
329.014;11.9181
329.268;11.9211
329.521;12.0421
329.775;12.0459
330.029;11.9853
330.283;12.0063
330.536;12.0162
330.79;11.9106
331.044;11.9394
331.297;11.9822
331.551;11.9942
331.805;12.0404
332.058;12.014
332.312;11.9742
332.566;11.9422
332.819;11.9942
333.073;11.9611
333.327;12.0326
333.58;11.9329
333.834;11.9834
334.088;11.9371
334.341;11.9786
334.595;11.9417
334.849;11.9724
335.102;11.9548
335.356;11.9547
335.61;11.9201
335.863;12.0108
336.117;11.9977
336.371;11.9789
336.624;11.9674
336.878;11.9558
337.132;11.9523
337.385;11.9419
337.639;11.95
337.893;11.9561
338.146;11.967
338.4;11.9425
338.654;11.9541
