Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 10:03:36
Device temperature = 20.6104
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBpOIZ
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;18.1534
0.253673;17.0572
0.507346;15.5954
0.76102;14.7472
1.01469;14.858
1.26837;14.7365
1.52204;14.5551
1.77571;14.0177
2.02939;13.8884
2.28306;14.2729
2.53673;14.2348
2.79041;14.2303
3.04408;14.1438
3.29775;14.0099
3.55142;14.0249
3.8051;13.915
4.05877;13.9047
4.31244;13.9233
4.56612;13.912
4.81979;13.9489
5.07346;13.9507
5.32714;13.861
5.58081;13.7999
5.83448;13.7894
6.08816;13.7689
6.34183;13.7734
6.5955;13.7921
6.84918;13.91
7.10285;13.7585
7.35652;13.6196
7.6102;13.6664
7.86387;13.6747
8.11754;13.6436
8.37122;13.6937
8.62489;13.5468
8.87856;13.6707
9.13223;13.7347
9.38591;13.6947
9.63958;13.702
9.89325;13.6675
10.1469;13.6872
10.4006;13.5999
10.6543;13.6429
10.9079;13.7167
11.1616;13.7526
11.4153;13.6534
11.669;13.6639
11.9226;13.5767
12.1763;13.5529
12.43;13.5243
12.6837;13.514
12.9373;13.6258
13.191;13.5848
13.4447;13.5768
13.6984;13.5563
13.952;13.6388
14.2057;13.6772
14.4594;13.63
14.713;13.647
14.9667;13.6082
15.2204;13.6604
15.4741;13.6282
15.7277;13.6395
15.9814;13.7079
16.2351;13.7219
16.4888;13.723
16.7424;13.6919
16.9961;13.6847
17.2498;13.6687
17.5035;13.681
17.7571;13.6457
18.0108;13.6405
18.2645;13.6072
18.5181;13.5906
18.7718;13.669
19.0255;13.6569
19.2792;13.6956
19.5328;13.6388
19.7865;13.6307
20.0402;13.677
20.2939;13.6377
20.5475;13.6664
20.8012;13.7451
21.0549;13.7292
21.3085;13.6652
21.5622;13.6251
21.8159;13.6052
22.0696;13.704
22.3232;13.6371
22.5769;13.6206
22.8306;13.5575
23.0843;13.7375
23.3379;13.7703
23.5916;13.7553
23.8453;13.6936
24.099;13.6493
24.3526;13.6107
24.6063;13.6105
24.86;13.6136
25.1136;13.7093
25.3673;13.7324
25.621;13.7167
25.8747;13.5782
26.1283;13.6032
26.382;13.518
26.6357;13.5362
26.8894;13.6576
27.143;13.6004
27.3967;13.5804
27.6504;13.4702
27.9041;13.4365
28.1577;13.6206
28.4114;13.5646
28.6651;13.1426
28.9187;12.1913
29.1724;9.77828
29.4261;8.71211
29.6798;8.40955
29.9334;8.36251
30.1871;8.49562
30.4408;8.34961
30.6945;8.27077
30.9481;8.16311
31.2018;8.05515
31.4555;8.08027
31.7092;8.02996
31.9628;7.99361
32.2165;8.1335
32.4702;8.29378
32.7238;8.41341
32.9775;8.54979
33.2312;8.4671
33.4849;8.26428
33.7385;8.23892
33.9922;8.14929
34.2459;8.29689
34.4996;8.40175
34.7532;8.40596
35.0069;8.34527
35.2606;8.19682
35.5142;8.01899
35.7679;7.88019
36.0216;7.738
36.2753;7.80839
36.5289;7.80086
36.7826;7.79326
37.0363;7.72129
37.29;7.74682
37.5436;7.73713
37.7973;7.7461
38.051;7.71417
38.3047;7.66909
38.5583;7.76999
38.812;7.68069
39.0657;7.72462
39.3193;7.69219
39.573;7.6549
39.8267;7.60823
40.0804;7.54872
40.334;7.58802
40.5877;7.61063
40.8414;7.57142
41.0951;7.61857
41.3487;7.70398
41.6024;7.814
41.8561;7.91665
42.1097;7.94615
42.3634;7.96571
42.6171;7.96301
42.8708;7.99828
43.1244;7.98082
43.3781;8.07436
43.6318;8.13354
43.8855;8.08475
44.1391;7.94107
44.3928;8.05484
44.6465;8.01919
44.9002;7.9695
45.1538;8.04641
45.4075;8.11099
45.6612;8.14739
45.9148;8.10884
46.1685;8.02269
46.4222;8.09264
46.6759;8.13078
46.9295;8.1834
47.1832;8.26913
47.4369;8.20727
47.6906;8.11878
47.9442;8.0004
48.1979;7.91117
48.4516;7.94784
48.7053;7.91504
48.9589;7.87854
49.2126;7.8549
49.4663;7.7489
49.7199;7.72684
49.9736;7.69082
50.2273;7.76298
50.481;7.91545
50.7346;7.90888
50.9883;7.90583
51.242;7.86068
