Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 09:53:36
Device temperature = 20.7141
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBpbZ6
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;18.1785
0.253673;17.1704
0.507346;15.7189
0.76102;14.8106
1.01469;14.8957
1.26837;14.7735
1.52204;14.6164
1.77571;14.1242
2.02939;14.0138
2.28306;14.3639
2.53673;14.3724
2.79041;14.3033
3.04408;14.2308
3.29775;14.1445
3.55142;14.0643
3.8051;14.1109
4.05877;14.0759
4.31244;14.0634
4.56612;14.0297
4.81979;14.0887
5.07346;14.0753
5.32714;14.0156
5.58081;14.0028
5.83448;13.8886
6.08816;13.9016
6.34183;13.9501
6.5955;13.8225
6.84918;13.9221
7.10285;13.839
7.35652;13.8408
7.6102;13.8372
7.86387;13.8116
8.11754;13.7626
8.37122;13.8151
8.62489;13.8044
8.87856;13.814
9.13223;13.86
9.38591;13.903
9.63958;13.7833
9.89325;13.8108
10.1469;13.7775
10.4006;13.6964
10.6543;13.7709
10.9079;13.7802
11.1616;13.7649
11.4153;13.7722
11.669;13.765
11.9226;13.7127
12.1763;13.6457
12.43;13.6483
12.6837;13.7204
12.9373;13.67
13.191;13.7837
13.4447;13.7335
13.6984;13.729
13.952;13.7576
14.2057;13.8538
14.4594;13.7406
14.713;13.7864
14.9667;13.7998
15.2204;13.7684
15.4741;13.8357
15.7277;13.7895
15.9814;13.8545
16.2351;13.7911
16.4888;13.8073
16.7424;13.7854
16.9961;13.7423
17.2498;13.8752
17.5035;13.8518
17.7571;13.7107
18.0108;13.7623
18.2645;13.7782
18.5181;13.7177
18.7718;13.7743
19.0255;13.7665
19.2792;13.7732
19.5328;13.8111
19.7865;13.7891
20.0402;13.7977
20.2939;13.7883
20.5475;13.8443
20.8012;13.7995
21.0549;13.7982
21.3085;13.7692
21.5622;13.7619
21.8159;13.6905
22.0696;13.8142
22.3232;13.766
22.5769;13.8128
22.8306;13.7181
23.0843;13.7558
23.3379;13.8281
23.5916;13.8507
23.8453;13.8399
24.099;13.6916
24.3526;13.7042
24.6063;13.6775
24.86;13.8039
25.1136;13.8647
25.3673;13.8309
25.621;13.7607
25.8747;13.7388
26.1283;13.6423
26.382;13.6319
26.6357;13.721
26.8894;13.6901
27.143;13.6386
27.3967;13.6771
27.6504;13.6824
27.9041;13.6474
28.1577;13.645
28.4114;13.6123
28.6651;13.1753
28.9187;12.2518
29.1724;9.69183
29.4261;8.69237
29.6798;8.32539
29.9334;8.2525
30.1871;8.33338
30.4408;8.28211
30.6945;8.21651
30.9481;8.20881
31.2018;8.14561
31.4555;8.13237
31.7092;8.10302
31.9628;8.01671
32.2165;8.2003
32.4702;8.27635
32.7238;8.4447
32.9775;8.55738
33.2312;8.42652
33.4849;8.39928
33.7385;8.25168
33.9922;8.25494
34.2459;8.30368
34.4996;8.38016
34.7532;8.43336
35.0069;8.36048
35.2606;8.12392
35.5142;8.06608
35.7679;7.95631
36.0216;7.8184
36.2753;7.87884
36.5289;7.83005
36.7826;7.78892
37.0363;7.82065
37.29;7.8229
37.5436;7.78154
37.7973;7.79514
38.051;7.68653
38.3047;7.77958
38.5583;7.80274
38.812;7.78656
39.0657;7.70783
39.3193;7.7048
39.573;7.73556
39.8267;7.6239
40.0804;7.61154
40.334;7.71923
40.5877;7.67549
40.8414;7.66503
41.0951;7.69232
