Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 17:23:37
Device temperature = 20.7682
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBpiVG
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;19.161
0.253673;18.2528
0.507346;17.0612
0.76102;16.4538
1.01469;16.9155
1.26837;17.1665
1.52204;17.4613
1.77571;17.5059
2.02939;17.3037
2.28306;17.3425
2.53673;17.0162
2.79041;17.0665
3.04408;17.2888
3.29775;17.3211
3.55142;17.4315
3.8051;17.8831
4.05877;17.873
4.31244;17.8779
4.56612;17.8871
4.81979;17.6715
5.07346;17.5757
5.32714;17.4074
5.58081;17.3682
5.83448;17.4802
6.08816;17.5629
6.34183;17.4469
6.5955;17.3197
6.84918;17.4343
7.10285;17.7472
7.35652;17.9011
7.6102;17.9664
7.86387;17.9106
8.11754;17.6859
8.37122;17.7328
8.62489;17.8307
8.87856;17.896
9.13223;17.8735
9.38591;17.6536
9.63958;17.53
9.89325;17.651
10.1469;17.7222
10.4006;17.9142
10.6543;17.9444
10.9079;17.7464
11.1616;17.6185
11.4153;17.6827
11.669;17.6356
11.9226;17.9191
12.1763;17.9296
12.43;17.8811
12.6837;17.8169
12.9373;17.7149
13.191;17.8166
13.4447;17.7973
13.6984;17.8332
13.952;17.5524
14.2057;17.5132
14.4594;17.5317
14.713;17.5343
14.9667;17.7202
15.2204;17.8042
15.4741;17.6343
15.7277;17.4692
15.9814;17.2836
16.2351;17.2126
16.4888;17.4574
16.7424;17.6689
16.9961;17.5682
17.2498;17.4539
17.5035;17.4677
17.7571;17.5428
18.0108;17.8741
18.2645;17.7528
18.5181;17.8131
18.7718;17.726
19.0255;17.4483
19.2792;17.4268
19.5328;17.5311
19.7865;17.5937
20.0402;17.4817
20.2939;17.3612
20.5475;17.2186
20.8012;17.2556
21.0549;17.5986
21.3085;17.7355
21.5622;17.6891
21.8159;17.5372
22.0696;17.4641
22.3232;17.5526
22.5769;17.5961
22.8306;17.7074
23.0843;17.4944
23.3379;17.3456
23.5916;17.1212
23.8453;17.1556
24.099;17.5338
24.3526;17.7203
24.6063;17.6736
24.86;17.3947
25.1136;17.1428
25.3673;17.2336
25.621;17.4058
25.8747;17.6329
26.1283;17.9117
26.382;17.7977
26.6357;17.6252
26.8894;17.6454
27.143;17.7513
27.3967;17.9618
27.6504;17.9957
27.9041;18.0064
28.1577;17.7462
28.4114;17.6344
28.6651;17.8422
28.9187;18.4562
29.1724;20.3577
29.4261;21.0641
29.6798;21.2878
29.9334;21.3886
30.1871;21.4203
30.4408;21.5093
30.6945;21.447
30.9481;21.34
31.2018;21.1879
31.4555;21.0828
31.7092;21.0353
31.9628;21.1005
32.2165;21.0302
32.4702;20.8366
32.7238;20.7342
32.9775;20.5681
33.2312;20.6198
33.4849;20.9121
33.7385;21.0927
33.9922;21.1161
34.2459;20.9403
34.4996;20.6992
34.7532;20.5308
35.0069;20.4764
35.2606;20.6973
35.5142;20.8981
35.7679;21.0402
36.0216;21.0512
36.2753;20.9606
36.5289;20.8817
36.7826;20.881
37.0363;20.8825
37.29;20.9628
37.5436;21.1506
37.7973;21.2137
38.051;21.2274
38.3047;21.0261
38.5583;20.9499
38.812;21.0399
39.0657;21.2482
39.3193;21.4615
39.573;21.4635
39.8267;21.5279
40.0804;21.5813
40.334;21.6473
40.5877;21.4913
40.8414;21.2706
41.0951;21.0592
41.3487;20.7952
41.6024;20.5384
41.8561;20.3258
42.1097;20.29
42.3634;20.4029
42.6171;20.4165
42.8708;20.4143
43.1244;20.2696
43.3781;20.1499
43.6318;20.031
43.8855;20.035
44.1391;19.9474
44.3928;19.9682
44.6465;20.1779
44.9002;20.2914
45.1538;20.3723
45.4075;20.4909
45.6612;20.643
45.9148;20.6912
46.1685;20.8035
46.4222;21.2074
46.6759;21.5924
46.9295;21.793
47.1832;21.9146
47.4369;21.8779
47.6906;22.0811
