Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 09:43:36
Device temperature = 20.8094
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBpnmn
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;18.3899
0.253673;17.3276
0.507346;15.806
0.76102;14.8309
1.01469;14.9663
1.26837;14.9322
1.52204;14.7135
1.77571;14.1991
2.02939;14.1041
2.28306;14.4583
2.53673;14.3844
2.79041;14.3981
3.04408;14.3731
3.29775;14.2999
3.55142;14.1055
3.8051;14.1077
4.05877;14.1422
4.31244;14.1486
4.56612;14.0947
4.81979;14.0917
5.07346;14.1689
5.32714;14.1271
5.58081;14.0333
5.83448;13.9726
6.08816;14.0494
6.34183;14.0539
6.5955;14.076
6.84918;14.0495
7.10285;13.9864
7.35652;13.9344
7.6102;13.8596
7.86387;13.8402
8.11754;13.8391
8.37122;13.8703
8.62489;13.8415
8.87856;13.8268
9.13223;13.8923
9.38591;13.9315
9.63958;13.9825
9.89325;13.8971
10.1469;13.887
10.4006;13.8878
10.6543;13.8364
10.9079;13.844
11.1616;13.9402
11.4153;13.8624
11.669;13.8448
11.9226;13.8339
12.1763;13.7805
12.43;13.8281
12.6837;13.8193
12.9373;13.8029
13.191;13.8838
13.4447;13.8958
13.6984;13.8854
13.952;13.8474
14.2057;13.8428
14.4594;13.8523
14.713;13.8311
14.9667;13.8131
15.2204;13.8975
15.4741;13.9027
15.7277;13.9055
15.9814;13.9282
16.2351;13.9039
16.4888;13.8491
16.7424;13.8895
16.9961;13.8545
17.2498;13.9342
17.5035;13.9505
17.7571;13.8586
18.0108;13.8322
18.2645;13.8761
18.5181;13.858
18.7718;13.8289
19.0255;13.8578
19.2792;13.8988
19.5328;13.873
19.7865;13.8332
20.0402;13.9001
20.2939;13.8828
20.5475;13.9146
20.8012;13.8744
21.0549;13.8639
21.3085;13.8564
21.5622;13.9073
21.8159;13.7779
22.0696;13.8777
22.3232;13.8412
22.5769;13.8507
22.8306;13.8223
23.0843;13.9382
23.3379;13.9837
23.5916;13.9203
23.8453;13.9472
24.099;13.7935
24.3526;13.8144
24.6063;13.8491
24.86;13.8802
25.1136;13.9512
25.3673;13.9391
25.621;13.8764
25.8747;13.7816
26.1283;13.8206
26.382;13.7508
26.6357;13.7968
26.8894;13.7796
27.143;13.8501
27.3967;13.8159
27.6504;13.7854
27.9041;13.7136
28.1577;13.8081
28.4114;13.6639
28.6651;13.2481
28.9187;12.3298
29.1724;9.8697
29.4261;8.80568
29.6798;8.49464
29.9334;8.45047
30.1871;8.44599
30.4408;8.38031
30.6945;8.36723
30.9481;8.25182
31.2018;8.1711
31.4555;8.24397
31.7092;8.14781
31.9628;8.14314
32.2165;8.24635
32.4702;8.39619
32.7238;8.52035
32.9775;8.73268
33.2312;8.71917
33.4849;8.52506
33.7385;8.3917
33.9922;8.36621
34.2459;8.42047
34.4996;8.53421
34.7532;8.61907
35.0069;8.60779
35.2606;8.3318
35.5142;8.16247
35.7679;7.98184
36.0216;7.94308
36.2753;7.98164
36.5289;7.97177
36.7826;7.95121
37.0363;7.92007
37.29;7.89425
37.5436;7.93236
37.7973;7.8749
38.051;7.89759
38.3047;7.88112
38.5583;7.93738
38.812;7.8854
39.0657;7.83873
39.3193;7.89845
39.573;7.85079
39.8267;7.8248
40.0804;7.71379
40.334;7.79873
40.5877;7.80965
40.8414;7.76047
41.0951;7.81955
41.3487;7.94678
41.6024;8.1412
41.8561;8.17809
42.1097;8.19018
42.3634;8.23507
42.6171;8.17708
42.8708;8.22407
43.1244;8.21708
43.3781;8.40737
43.6318;8.40382
43.8855;8.34162
44.1391;8.38138
44.3928;8.36461
44.6465;8.30404
44.9002;8.27548
45.1538;8.33686
45.4075;8.36964
45.6612;8.35723
45.9148;8.32938
46.1685;8.34653
46.4222;8.28599
46.6759;8.31615
46.9295;8.28347
47.1832;8.31911
47.4369;8.29349
47.6906;8.21516
47.9442;8.17147
48.1979;8.0893
48.4516;8.09339
48.7053;8.10665
48.9589;7.98433
49.2126;8.06114
49.4663;7.91209
49.7199;7.91412
49.9736;7.95013
50.2273;8.00705
50.481;8.2427
50.7346;8.24722
50.9883;8.22061
51.242;8.16659
51.4957;8.0733
51.7493;8.18368
52.003;8.15808
52.2567;8.18122
