Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 09:33:36
Device temperature = 20.9135
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBp07Z
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;18.433
0.253673;17.3886
0.507346;15.9103
0.76102;14.8599
1.01469;15.0085
1.26837;14.9193
1.52204;14.8043
1.77571;14.2486
2.02939;14.1703
2.28306;14.4985
2.53673;14.4961
2.79041;14.535
3.04408;14.4
3.29775;14.3615
3.55142;14.2468
3.8051;14.2062
4.05877;14.2731
4.31244;14.2681
4.56612;14.16
4.81979;14.1849
5.07346;14.1811
5.32714;14.2301
5.58081;14.0907
5.83448;14.0922
6.08816;14.0449
6.34183;14.0481
6.5955;14.0979
6.84918;14.071
7.10285;14.0211
7.35652;14.0207
7.6102;13.9429
7.86387;13.9421
8.11754;14.0061
8.37122;14.0162
8.62489;13.9738
8.87856;13.9026
9.13223;13.9814
9.38591;14.0886
9.63958;14.078
9.89325;13.92
10.1469;13.962
10.4006;13.9328
10.6543;13.9557
10.9079;13.9457
11.1616;13.9637
11.4153;14.0112
11.669;14.0252
11.9226;13.9077
12.1763;13.8487
12.43;13.8449
12.6837;13.8515
12.9373;13.8929
13.191;13.975
13.4447;13.9676
13.6984;13.9678
13.952;13.9881
14.2057;13.9361
14.4594;13.974
14.713;13.939
14.9667;13.9899
15.2204;14.0242
15.4741;14.0007
15.7277;13.9507
15.9814;14.0024
16.2351;13.9673
16.4888;13.962
16.7424;13.9562
16.9961;13.9934
17.2498;13.9994
17.5035;13.9837
17.7571;13.9852
18.0108;13.9312
18.2645;13.875
18.5181;13.9868
18.7718;13.9649
19.0255;13.9011
19.2792;13.9773
19.5328;13.9945
19.7865;13.9516
20.0402;14.0024
20.2939;13.9521
20.5475;13.9535
20.8012;13.9652
21.0549;13.9865
21.3085;13.935
21.5622;13.9466
21.8159;13.8965
22.0696;13.9021
22.3232;13.9081
22.5769;13.9216
22.8306;13.9658
23.0843;14.0047
23.3379;14.0123
23.5916;14.0217
23.8453;13.9456
24.099;13.9899
24.3526;13.8927
24.6063;13.8717
24.86;13.8164
25.1136;14.003
25.3673;13.961
25.621;13.9156
25.8747;13.9524
26.1283;13.8251
26.382;13.822
26.6357;13.9076
26.8894;13.9366
27.143;13.8724
27.3967;13.8068
27.6504;13.7828
27.9041;13.8422
28.1577;13.7865
28.4114;13.7944
28.6651;13.3939
28.9187;12.3914
29.1724;9.82376
29.4261;8.84857
