Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 17:33:37
Device temperature = 20.9654
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBp7kk
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;19.3627
0.253673;18.3879
0.507346;17.2314
0.76102;16.6623
1.01469;17.0877
1.26837;17.4277
1.52204;17.7138
1.77571;17.6957
2.02939;17.5461
2.28306;17.6067
2.53673;17.2715
2.79041;17.3434
3.04408;17.4476
3.29775;17.6658
3.55142;17.73
3.8051;18.1347
4.05877;18.3427
4.31244;18.1803
4.56612;18.0342
4.81979;17.8535
5.07346;17.7912
5.32714;17.6536
5.58081;17.6168
5.83448;17.7271
6.08816;17.7656
6.34183;17.6547
6.5955;17.4828
6.84918;17.5849
7.10285;17.8969
7.35652;18.158
7.6102;18.2259
7.86387;18.061
8.11754;18.0374
8.37122;17.8722
8.62489;17.925
8.87856;18.1041
9.13223;18.0381
9.38591;17.872
9.63958;17.7592
9.89325;17.8114
10.1469;17.9792
10.4006;18.0995
10.6543;18.1027
10.9079;17.9814
11.1616;17.8479
11.4153;17.7557
11.669;17.7949
11.9226;18.0437
12.1763;18.108
12.43;18.1428
12.6837;18.0011
12.9373;17.9102
13.191;17.9851
13.4447;18.0315
13.6984;18.0494
13.952;17.8561
14.2057;17.6878
14.4594;17.7302
14.713;17.7734
14.9667;17.9676
15.2204;18.0111
15.4741;17.8416
15.7277;17.6764
15.9814;17.388
16.2351;17.5416
16.4888;17.663
16.7424;17.8606
16.9961;17.8238
17.2498;17.7217
17.5035;17.6893
17.7571;17.6959
18.0108;18.0316
18.2645;18.0128
18.5181;18.0129
18.7718;17.9174
19.0255;17.7394
19.2792;17.674
19.5328;17.806
19.7865;17.7507
20.0402;17.7243
20.2939;17.567
20.5475;17.448
20.8012;17.4856
21.0549;17.7421
21.3085;17.9732
21.5622;17.9414
21.8159;17.8106
22.0696;17.6754
22.3232;17.774
22.5769;17.8745
22.8306;17.8998
23.0843;17.6863
23.3379;17.5031
23.5916;17.3771
23.8453;17.3895
24.099;17.7434
24.3526;18.0094
24.6063;17.8095
24.86;17.6956
25.1136;17.2936
25.3673;17.3902
25.621;17.6191
25.8747;17.8569
26.1283;18.0865
26.382;18.0561
26.6357;17.8228
26.8894;17.8022
27.143;17.9195
27.3967;18.0945
27.6504;18.2603
27.9041;18.2023
28.1577;17.9306
28.4114;17.8079
28.6651;18.0134
