Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 09:23:36
Device temperature = 21.0245
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBqDIt
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;18.5364
0.253673;17.5182
0.507346;16.0742
0.76102;15.0671
1.01469;15.1778
1.26837;15.1058
1.52204;14.8632
1.77571;14.2978
2.02939;14.256
2.28306;14.5961
2.53673;14.6129
2.79041;14.5872
3.04408;14.5746
3.29775;14.3927
3.55142;14.3423
3.8051;14.2828
4.05877;14.3135
4.31244;14.25
4.56612;14.2992
4.81979;14.3049
5.07346;14.3451
5.32714;14.2921
5.58081;14.202
5.83448;14.085
6.08816;14.1459
6.34183;14.1196
6.5955;14.1042
6.84918;14.1718
7.10285;14.1315
7.35652;14.1413
7.6102;14.0133
7.86387;14.0269
8.11754;14.1172
8.37122;14.0539
8.62489;14.0433
8.87856;14.0916
9.13223;14.0741
9.38591;14.0978
9.63958;14.1201
9.89325;14.086
10.1469;14.0717
10.4006;14.0421
10.6543;13.9851
10.9079;14.0266
11.1616;14.0981
11.4153;14.056
11.669;14.0683
11.9226;14.0267
12.1763;13.9945
12.43;13.9073
12.6837;13.9816
12.9373;14.0223
13.191;14.0357
13.4447;14.0212
13.6984;14.0109
13.952;14.0562
14.2057;14.0898
14.4594;14.0713
14.713;14.0646
14.9667;14.0022
15.2204;14.0322
15.4741;13.9938
15.7277;14.0463
15.9814;14.0433
16.2351;14.1134
16.4888;14.0411
16.7424;14.0697
16.9961;14.054
17.2498;14.0945
17.5035;14.0894
17.7571;14.1031
18.0108;14.0136
18.2645;13.9798
18.5181;13.9936
18.7718;13.9813
19.0255;13.9939
19.2792;14.0429
19.5328;14.0203
19.7865;14.0409
20.0402;13.9603
20.2939;14.0481
20.5475;14.0122
20.8012;14.1441
21.0549;14.0323
21.3085;14.0874
21.5622;14.0288
21.8159;14.0258
22.0696;14.0376
22.3232;14.102
22.5769;14.0213
22.8306;13.9683
23.0843;14.1358
23.3379;14.095
23.5916;14.1411
23.8453;13.9885
24.099;13.9681
24.3526;13.9747
24.6063;13.9491
24.86;14.0896
25.1136;14.0753
25.3673;14.0513
25.621;14.0666
25.8747;13.9571
26.1283;13.9716
26.382;13.9818
26.6357;13.9096
26.8894;14.0264
27.143;13.9458
27.3967;13.9366
27.6504;13.8572
27.9041;13.8495
28.1577;13.8961
28.4114;13.8867
28.6651;13.459
28.9187;12.3976
29.1724;9.93969
29.4261;8.86575
29.6798;8.6319
29.9334;8.48418
30.1871;8.64371
30.4408;8.62615
30.6945;8.42931
30.9481;8.37756
31.2018;8.22002
31.4555;8.23525
31.7092;8.26214
31.9628;8.26438
32.2165;8.42858
32.4702;8.55059
32.7238;8.68416
32.9775;8.8656
33.2312;8.80323
33.4849;8.66076
33.7385;8.68806
33.9922;8.57575
34.2459;8.71138
34.4996;8.76224
34.7532;8.7382
35.0069;8.62988
35.2606;8.40367
35.5142;8.22848
35.7679;8.11313
36.0216;7.99709
36.2753;7.91914
36.5289;8.02884
36.7826;7.94822
37.0363;7.97797
37.29;7.96396
