Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 09:13:36
Device temperature = 21.1327
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBqQ/F
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;18.6832
0.253673;17.5641
0.507346;16.0756
0.76102;15.1401
1.01469;15.3416
1.26837;15.248
1.52204;14.9865
1.77571;14.4438
2.02939;14.3214
2.28306;14.6657
2.53673;14.6432
2.79041;14.6152
3.04408;14.6008
3.29775;14.4897
3.55142;14.4187
3.8051;14.4109
4.05877;14.3423
4.31244;14.3319
4.56612;14.2686
4.81979;14.3997
5.07346;14.3002
5.32714;14.303
5.58081;14.268
5.83448;14.2727
6.08816;14.2306
6.34183;14.2073
6.5955;14.2708
6.84918;14.2615
7.10285;14.2121
7.35652;14.1604
7.6102;14.1065
7.86387;14.184
8.11754;14.1948
8.37122;14.0652
8.62489;14.0956
8.87856;14.0619
9.13223;14.1434
9.38591;14.205
9.63958;14.2045
9.89325;14.1518
10.1469;14.1759
10.4006;14.1168
10.6543;14.1323
10.9079;14.1194
11.1616;14.1549
11.4153;14.1042
11.669;14.0532
11.9226;14.079
12.1763;14.0922
12.43;14.0024
12.6837;14.0484
12.9373;14.0606
13.191;14.0917
13.4447;14.0629
13.6984;14.1439
13.952;14.1127
14.2057;14.1498
14.4594;14.0802
14.713;14.0908
14.9667;14.0291
15.2204;14.0624
15.4741;14.116
15.7277;14.1653
15.9814;14.151
16.2351;14.1907
16.4888;14.1544
16.7424;14.0625
16.9961;14.1512
17.2498;14.1986
17.5035;14.1141
17.7571;14.1229
18.0108;14.065
18.2645;14.1034
18.5181;14.0114
18.7718;14.0838
