Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 17:43:37
Device temperature = 21.1641
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBqVAU
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;19.1307
0.253673;18.2234
0.507346;17.0312
0.76102;16.5231
1.01469;16.8982
1.26837;17.2305
1.52204;17.5753
1.77571;17.571
2.02939;17.3905
2.28306;17.4547
2.53673;17.2085
2.79041;17.4027
3.04408;17.5449
3.29775;17.6068
3.55142;17.793
3.8051;18.095
4.05877;18.1988
4.31244;18.1598
4.56612;17.9894
4.81979;17.8957
5.07346;17.7553
5.32714;17.5581
5.58081;17.4663
5.83448;17.5679
6.08816;17.6739
6.34183;17.5919
6.5955;17.4305
6.84918;17.5305
7.10285;17.8434
7.35652;18.0667
7.6102;18.1973
7.86387;17.9748
8.11754;17.9863
8.37122;17.7703
8.62489;17.9334
8.87856;18.041
9.13223;18.0287
9.38591;17.8024
9.63958;17.7062
9.89325;17.7981
10.1469;18.001
10.4006;18.0029
10.6543;18.1542
10.9079;18.0036
11.1616;17.8128
11.4153;17.7831
11.669;17.8301
11.9226;18.1508
12.1763;18.1731
12.43;18.1131
12.6837;18.0515
12.9373;17.917
13.191;17.9051
13.4447;18.1076
13.6984;18.0629
13.952;17.8477
14.2057;17.7403
14.4594;17.7713
14.713;17.7556
14.9667;17.9468
15.2204;17.984
15.4741;17.8873
15.7277;17.6892
15.9814;17.3972
16.2351;17.4549
16.4888;17.6967
16.7424;17.882
16.9961;17.8229
17.2498;17.7286
17.5035;17.7403
17.7571;17.798
18.0108;18.0821
18.2645;18.1205
18.5181;18.1204
18.7718;17.9273
19.0255;17.8317
19.2792;17.6883
19.5328;17.9017
19.7865;17.8284
20.0402;17.8278
20.2939;17.5507
20.5475;17.3923
20.8012;17.5246
21.0549;17.9805
21.3085;18.0351
21.5622;18.0577
21.8159;17.8427
22.0696;17.6987
22.3232;17.7328
22.5769;17.9768
22.8306;18.0415
23.0843;17.8545
23.3379;17.7372
23.5916;17.4606
23.8453;17.5104
24.099;17.8804
24.3526;18.0344
24.6063;17.9608
24.86;17.6942
25.1136;17.4914
25.3673;17.5385
25.621;17.6818
25.8747;18.0137
26.1283;18.1696
26.382;18.0985
26.6357;17.9809
26.8894;17.9141
27.143;18.1955
27.3967;18.3085
27.6504;18.3369
27.9041;18.3598
28.1577;18.016
28.4114;17.9652
28.6651;18.0642
28.9187;18.8257
29.1724;20.8876
29.4261;21.8334
29.6798;22.1972
29.9334;22.2524
30.1871;22.3322
30.4408;22.7517
30.6945;22.9983
30.9481;23.0761
31.2018;22.5831
31.4555;22.1616
31.7092;22.0212
31.9628;22.01
32.2165;21.9102
32.4702;21.7808
32.7238;21.4123
32.9775;21.2869
33.2312;21.2686
33.4849;21.4089
33.7385;21.6465
33.9922;21.7561
34.2459;21.5165
34.4996;21.2914
34.7532;21.0246
35.0069;20.9932
35.2606;21.2082
35.5142;21.3226
35.7679;21.4689
36.0216;21.4553
36.2753;21.3249
36.5289;21.2603
36.7826;21.3366
37.0363;21.2958
37.29;21.4636
37.5436;21.5142
37.7973;21.6477
38.051;21.5063
38.3047;21.2866
38.5583;21.2053
38.812;21.3989
39.0657;21.7615
39.3193;22.0369
39.573;21.7966
39.8267;21.8327
40.0804;21.7407
40.334;21.8633
40.5877;21.6745
40.8414;21.4908
41.0951;21.258
41.3487;20.918
41.6024;20.6853
41.8561;20.5658
42.1097;20.6013
42.3634;20.6948
42.6171;20.6466
42.8708;20.6501
43.1244;20.6275
43.3781;20.4281
43.6318;20.3859
43.8855;20.2995
44.1391;20.2531
44.3928;20.1856
44.6465;20.3469
44.9002;20.4658
45.1538;20.6246
45.4075;21.0409
45.6612;21.1962
45.9148;21.2537
46.1685;21.3079
46.4222;21.49
46.6759;21.8197
46.9295;22.032
47.1832;22.2315
47.4369;22.5262
47.6906;22.6743
47.9442;22.7876
48.1979;23.0496
48.4516;23.5535
48.7053;24.3158
48.9589;25.3787
49.2126;26.3376
49.4663;25.2189
49.7199;23.4761
49.9736;22.3745
50.2273;21.9904
50.481;22.2784
50.7346;22.8156
50.9883;23.3727
51.242;25.175
51.4957;30.1656
51.7493;32.4533
52.003;33.0955
52.2567;32.9001
52.5104;32.831
52.764;33.1136
53.0177;33.0509
53.2714;32.3833
53.525;29.4349
53.7787;27.3526
54.0324;25.4987
54.2861;24.1357
54.5397;22.8847
54.7934;22.6905
55.0471;22.4366
55.3008;22.1228
55.5544;21.8498
55.8081;21.9471
56.0618;21.925
56.3154;21.8591
56.5691;21.8177
56.8228;21.961
57.0765;21.978
57.3301;22.1116
57.5838;22.2698
57.8375;22.3014
58.0912;22.5416
58.3448;22.6694
58.5985;22.598
58.8522;22.5363
59.1059;22.4147
59.3595;22.3551
59.6132;22.4351
59.8669;22.5229
60.1205;22.7527
60.3742;22.8048
60.6279;22.8006
60.8816;22.7479
61.1352;22.5073
61.3889;22.1885
61.6426;21.9532
61.8963;21.8467
62.1499;22.042
62.4036;22.3282
62.6573;22.7079
62.911;22.7916
63.1646;22.9582
63.4183;23.2794
63.672;23.3798
63.9256;23.1133
64.1793;22.7932
64.433;22.846
64.6867;23.4533
64.9403;23.732
65.194;23.7407
65.4477;23.8393
65.7014;23.9222
65.955;23.494
66.2087;23.0713
66.4624;22.8327
66.716;22.6307
66.9697;22.6509
67.2234;22.6253
67.4771;22.7224
67.7307;22.8822
67.9844;22.9038
68.2381;22.8975
68.4918;22.7304
68.7454;22.8352
68.9991;23.3374
69.2528;23.9986
69.5065;24.497
69.7601;24.6726
70.0138;24.4046
70.2675;23.9991
70.5211;23.6876
70.7748;23.4133
71.0285;23.2696
71.2822;22.9475
71.5358;22.7279
71.7895;22.871
72.0432;23.0085
72.2969;22.9091
72.5505;22.4827
72.8042;21.8148
73.0579;22.0562
73.3116;22.1726
73.5652;22.2881
73.8189;22.4501
