Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 09:03:36
Device temperature = 21.25
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBqgAA
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;18.8003
0.253673;17.7567
0.507346;16.2509
0.76102;15.2547
1.01469;15.3887
1.26837;15.3237
1.52204;15.1323
1.77571;14.5443
2.02939;14.4887
2.28306;14.8319
2.53673;14.752
2.79041;14.7484
3.04408;14.6588
3.29775;14.6252
3.55142;14.4743
3.8051;14.5568
4.05877;14.425
4.31244;14.4638
4.56612;14.4937
4.81979;14.4228
5.07346;14.4702
5.32714;14.4085
5.58081;14.3454
5.83448;14.3562
6.08816;14.3168
6.34183;14.3851
6.5955;14.3845
6.84918;14.4096
7.10285;14.3592
7.35652;14.2292
7.6102;14.2497
7.86387;14.1982
8.11754;14.1914
8.37122;14.2472
8.62489;14.2199
8.87856;14.1741
9.13223;14.2428
9.38591;14.3114
9.63958;14.3866
9.89325;14.2647
10.1469;14.159
10.4006;14.2457
10.6543;14.2353
10.9079;14.264
11.1616;14.2769
11.4153;14.2716
11.669;14.2313
11.9226;14.1364
12.1763;14.1011
12.43;14.2122
12.6837;14.2124
12.9373;14.1415
13.191;14.237
13.4447;14.1691
13.6984;14.1645
13.952;14.2409
14.2057;14.2387
14.4594;14.1936
14.713;14.1697
14.9667;14.227
15.2204;14.2554
15.4741;14.2694
15.7277;14.1988
15.9814;14.2888
16.2351;14.279
16.4888;14.2752
16.7424;14.258
16.9961;14.1927
17.2498;14.2653
17.5035;14.2089
17.7571;14.1602
18.0108;14.1246
18.2645;14.1772
18.5181;14.2132
18.7718;14.232
19.0255;14.1607
