Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 08:53:36
Device temperature = 21.3594
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBquAN
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;18.9388
0.253673;17.7955
0.507346;16.408
0.76102;15.4631
1.01469;15.465
1.26837;15.4027
1.52204;15.2034
1.77571;14.6886
2.02939;14.5792
2.28306;14.993
2.53673;14.901
2.79041;14.9018
3.04408;14.8332
3.29775;14.6938
3.55142;14.6694
3.8051;14.5695
4.05877;14.6017
4.31244;14.6004
4.56612;14.5632
4.81979;14.5498
5.07346;14.5397
5.32714;14.5566
5.58081;14.4882
5.83448;14.5171
6.08816;14.5194
6.34183;14.4605
6.5955;14.4914
6.84918;14.5901
7.10285;14.5096
7.35652;14.4126
7.6102;14.3601
7.86387;14.3353
8.11754;14.3341
8.37122;14.3289
8.62489;14.3649
8.87856;14.3233
9.13223;14.4154
9.38591;14.4607
9.63958;14.4839
9.89325;14.4203
10.1469;14.4073
10.4006;14.3895
10.6543;14.3771
10.9079;14.4074
11.1616;14.3778
11.4153;14.2835
11.669;14.3721
11.9226;14.3418
12.1763;14.247
12.43;14.1857
12.6837;14.2719
12.9373;14.36
13.191;14.4319
13.4447;14.3323
13.6984;14.3685
13.952;14.3845
14.2057;14.3675
14.4594;14.3389
14.713;14.3683
14.9667;14.3422
15.2204;14.3826
15.4741;14.2887
15.7277;14.4634
15.9814;14.4126
16.2351;14.4649
16.4888;14.3878
16.7424;14.3458
16.9961;14.4049
17.2498;14.4719
17.5035;14.4298
17.7571;14.3333
18.0108;14.3898
18.2645;14.2881
18.5181;14.2237
18.7718;14.2277
19.0255;14.302
19.2792;14.3901
19.5328;14.3756
19.7865;14.3872
20.0402;14.43
20.2939;14.3942
20.5475;14.3497
20.8012;14.443
21.0549;14.3458
21.3085;14.267
21.5622;14.2993
21.8159;14.2541
22.0696;14.3546
22.3232;14.3873
22.5769;14.3631
22.8306;14.3954
23.0843;14.4836
23.3379;14.4521
23.5916;14.3991
23.8453;14.3746
24.099;14.2762
24.3526;14.3427
24.6063;14.2641
24.86;14.3466
25.1136;14.4802
25.3673;14.443
25.621;14.3509
25.8747;14.3132
26.1283;14.2237
26.382;14.2606
26.6357;14.2711
26.8894;14.2919
27.143;14.2199
27.3967;14.184
27.6504;14.2189
27.9041;14.1708
28.1577;14.2017
28.4114;14.1748
28.6651;13.7612
28.9187;12.7314
29.1724;10.0591
29.4261;8.9457
29.6798;8.53536
29.9334;8.59512
30.1871;8.63164
30.4408;8.59719
30.6945;8.53053
30.9481;8.46969
31.2018;8.42305
31.4555;8.4012
31.7092;8.43521
31.9628;8.38159
32.2165;8.52217
32.4702;8.60852
32.7238;8.72826
32.9775;8.89114
33.2312;8.81325
33.4849;8.72174
33.7385;8.67245
33.9922;8.61912
34.2459;8.6481
34.4996;8.66827
34.7532;8.69136
35.0069;8.66917
35.2606;8.44459
35.5142;8.24483
35.7679;7.9789
36.0216;8.02819
36.2753;7.97701
36.5289;7.98891
36.7826;7.91155
37.0363;8.01336
37.29;7.95913
37.5436;7.90447
37.7973;7.92387
38.051;7.85832
38.3047;7.91683
38.5583;7.90086
38.812;7.85386
39.0657;7.80921
39.3193;7.7817
39.573;7.82544
39.8267;7.85462
40.0804;7.80578
40.334;7.76385
40.5877;7.81984
40.8414;7.79777
41.0951;7.82345
41.3487;7.89874
41.6024;8.12014
41.8561;8.1606
42.1097;8.13499
42.3634;8.03016
42.6171;8.08089
42.8708;8.10224
43.1244;8.1279
43.3781;8.29371
43.6318;8.28083
43.8855;8.30049
44.1391;8.2298
44.3928;8.20344
44.6465;8.18971
44.9002;8.28684
45.1538;8.2101
45.4075;8.33454
45.6612;8.29812
45.9148;8.31178
46.1685;8.16379
46.4222;8.21207
46.6759;8.32182
46.9295;8.28924
47.1832;8.36546
47.4369;8.41604
47.6906;8.28337
47.9442;8.14582
48.1979;8.05513
48.4516;8.10853
48.7053;8.09174
48.9589;8.03162
49.2126;8.06076
49.4663;7.99194
49.7199;7.93096
49.9736;7.95282
50.2273;7.9615
50.481;8.10611
50.7346;8.25167
50.9883;8.12998
51.242;8.10111
51.4957;8.10522
51.7493;8.13369
52.003;8.09512
52.2567;8.1135
52.5104;8.2295
52.764;8.13738
53.0177;8.07183
53.2714;8.07108
53.525;8.08387
53.7787;8.08828
54.0324;8.04574
54.2861;8.00779
54.5397;8.01086
54.7934;8.00582
55.0471;7.9508
55.3008;8.00821
55.5544;8.15743
55.8081;8.21718
56.0618;8.28689
56.3154;8.36796
56.5691;8.33546
56.8228;8.24562
57.0765;8.23354
57.3301;8.16036
57.5838;8.04966
57.8375;8.01807
58.0912;8.07177
58.3448;8.08695
58.5985;8.05254
58.8522;8.0069
59.1059;7.9318
59.3595;7.92387
59.6132;7.89733
59.8669;7.89152
60.1205;7.81266
60.3742;7.7658
60.6279;7.82952
60.8816;7.81093
61.1352;7.83838
61.3889;7.83737
61.6426;7.88966
61.8963;7.8651
62.1499;7.86094
62.4036;7.82402
62.6573;7.78567
62.911;7.84848
63.1646;7.8212
63.4183;7.84833
63.672;7.86876
63.9256;7.87507
64.1793;7.73201
64.433;7.75663
64.6867;7.71045
64.9403;7.76193
65.194;7.70261
65.4477;7.73501
65.7014;7.78696
65.955;7.86054
66.2087;7.80807
66.4624;7.78909
66.716;7.75149
66.9697;7.7561
67.2234;7.79389
67.4771;7.73906
