Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 17:53:37
Device temperature = 21.3698
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBqvVa
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;20.0566
0.253673;19.5587
0.507346;18.6822
0.76102;18.6243
1.01469;19.2127
1.26837;19.5205
1.52204;19.5308
1.77571;19.1709
2.02939;18.8353
2.28306;18.6786
2.53673;18.2711
2.79041;18.1603
3.04408;18.4273
3.29775;18.4594
3.55142;18.6175
3.8051;19.0321
4.05877;19.3163
4.31244;19.4529
4.56612;19.4714
4.81979;19.4861
5.07346;19.2495
5.32714;19.1672
5.58081;19.1256
5.83448;19.0742
6.08816;18.8764
6.34183;18.7208
6.5955;18.5682
6.84918;18.4849
7.10285;18.691
7.35652;18.7997
7.6102;18.9069
7.86387;18.8917
8.11754;18.8143
8.37122;18.822
8.62489;18.6986
8.87856;18.6219
9.13223;18.5103
9.38591;18.4089
9.63958;18.3004
9.89325;18.4517
10.1469;18.5667
10.4006;18.6829
10.6543;18.6606
10.9079;18.6198
11.1616;18.5767
11.4153;18.6513
11.669;18.5589
11.9226;18.6935
12.1763;18.749
12.43;18.702
12.6837;18.6084
12.9373;18.608
13.191;18.6861
13.4447;18.5457
13.6984;18.5574
13.952;18.4575
14.2057;18.3018
14.4594;18.2711
14.713;18.3477
14.9667;18.5528
15.2204;18.5887
15.4741;18.4291
15.7277;18.2959
15.9814;18.1346
16.2351;18.1422
16.4888;18.2941
16.7424;18.4628
16.9961;18.397
17.2498;18.3283
17.5035;18.1763
17.7571;18.409
18.0108;18.6536
18.2645;18.602
18.5181;18.5359
18.7718;18.5997
19.0255;18.3938
19.2792;18.3325
19.5328;18.4259
19.7865;18.3879
20.0402;18.4077
20.2939;18.2521
20.5475;18.1275
20.8012;18.2302
21.0549;18.4263
21.3085;18.6464
21.5622;18.6783
21.8159;18.5882
22.0696;18.362
22.3232;18.4122
22.5769;18.4904
22.8306;18.5673
23.0843;18.3701
23.3379;18.2394
23.5916;18.2539
23.8453;18.3171
24.099;18.624
24.3526;18.7017
24.6063;18.656
24.86;18.4697
25.1136;18.2503
25.3673;18.4439
25.621;18.6663
25.8747;18.8549
26.1283;18.9431
26.382;18.9794
26.6357;18.9812
26.8894;18.9655
27.143;18.9955
27.3967;18.9882
27.6504;19.1186
27.9041;19.1462
28.1577;19.0499
28.4114;19.1784
28.6651;19.4693
28.9187;20.1212
29.1724;21.7054
29.4261;22.5019
29.6798;22.6922
29.9334;22.8346
30.1871;23.2961
30.4408;23.5574
30.6945;23.4386
30.9481;23.2711
31.2018;22.7155
31.4555;22.5483
31.7092;22.5549
31.9628;22.6184
32.2165;22.7056
32.4702;22.3957
32.7238;22.0993
32.9775;21.9352
33.2312;22.027
33.4849;22.1121
33.7385;22.3193
33.9922;22.4266
34.2459;22.3363
34.4996;22.0722
34.7532;21.931
35.0069;21.8839
35.2606;22.1577
35.5142;22.2533
35.7679;22.3226
36.0216;22.3983
36.2753;22.3557
36.5289;22.3024
36.7826;22.3351
37.0363;22.3297
37.29;22.451
37.5436;22.5152
37.7973;22.552
38.051;22.5846
38.3047;22.3972
38.5583;22.325
