Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 08:43:36
Device temperature = 21.4729
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBq8iA
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;19.01
0.253673;17.9504
0.507346;16.4168
0.76102;15.4787
1.01469;15.4989
1.26837;15.4777
1.52204;15.2737
1.77571;14.7571
2.02939;14.7326
2.28306;15.0248
2.53673;14.9901
2.79041;15.0306
3.04408;14.9364
3.29775;14.7877
3.55142;14.7399
3.8051;14.6532
4.05877;14.7523
4.31244;14.7586
4.56612;14.6978
4.81979;14.6985
5.07346;14.6631
5.32714;14.6172
5.58081;14.6022
5.83448;14.5214
6.08816;14.5976
6.34183;14.6328
6.5955;14.6416
6.84918;14.6482
7.10285;14.6129
7.35652;14.5724
7.6102;14.4503
7.86387;14.4509
8.11754;14.539
8.37122;14.4771
8.62489;14.5744
8.87856;14.4326
9.13223;14.4753
9.38591;14.5283
9.63958;14.5957
9.89325;14.5415
10.1469;14.5297
10.4006;14.4828
10.6543;14.4797
10.9079;14.4997
11.1616;14.4537
11.4153;14.5013
11.669;14.4591
11.9226;14.4131
12.1763;14.3913
12.43;14.3775
12.6837;14.4091
12.9373;14.411
13.191;14.4128
13.4447;14.3955
13.6984;14.4802
13.952;14.5018
14.2057;14.5324
14.4594;14.5072
14.713;14.4281
14.9667;14.4767
15.2204;14.5051
15.4741;14.4486
15.7277;14.4851
15.9814;14.538
16.2351;14.5756
16.4888;14.461
16.7424;14.4929
16.9961;14.5975
17.2498;14.5218
17.5035;14.4921
17.7571;14.4915
18.0108;14.3893
18.2645;14.4951
18.5181;14.457
18.7718;14.401
19.0255;14.4542
19.2792;14.4609
19.5328;14.5137
19.7865;14.4918
20.0402;14.5303
20.2939;14.508
20.5475;14.5328
20.8012;14.434
21.0549;14.5064
21.3085;14.4915
21.5622;14.4615
21.8159;14.4039
22.0696;14.5433
22.3232;14.6009
22.5769;14.4104
22.8306;14.4555
23.0843;14.495
23.3379;14.4933
23.5916;14.5141
23.8453;14.5717
24.099;14.4673
24.3526;14.4512
24.6063;14.4455
24.86;14.4106
25.1136;14.5889
25.3673;14.5337
25.621;14.4793
25.8747;14.4339
26.1283;14.3403
26.382;14.4052
26.6357;14.3509
26.8894;14.414
27.143;14.4175
27.3967;14.3628
27.6504;14.2601
27.9041;14.2999
28.1577;14.3681
28.4114;14.2432
28.6651;13.791
28.9187;12.6029
29.1724;9.92765
29.4261;8.87931
29.6798;8.56598
29.9334;8.53818
30.1871;8.59407
30.4408;8.62622
30.6945;8.51849
30.9481;8.48074
31.2018;8.33421
31.4555;8.42376
31.7092;8.35864
31.9628;8.35939
32.2165;8.40704
32.4702;8.6127
32.7238;8.89764
32.9775;8.95928
33.2312;8.99365
33.4849;8.84997
33.7385;8.84766
33.9922;8.76512
34.2459;8.8297
34.4996;8.95984
34.7532;8.9856
35.0069;8.95929
35.2606;8.67485
35.5142;8.39545
35.7679;8.26798
36.0216;8.13783
36.2753;8.09654
36.5289;8.09527
36.7826;8.0447
37.0363;8.06275
37.29;8.01023
37.5436;8.02178
37.7973;7.98384
38.051;7.95543
38.3047;7.98052
38.5583;7.97895
38.812;7.97085
39.0657;7.87439
39.3193;7.87016
39.573;7.92916
39.8267;7.81524
40.0804;7.82853
40.334;7.91936
40.5877;7.79004
40.8414;7.83614
41.0951;7.83633
41.3487;7.91462
41.6024;8.03464
41.8561;8.13813
42.1097;8.2412
42.3634;8.30409
42.6171;8.2931
42.8708;8.26788
43.1244;8.38223
43.3781;8.45082
43.6318;8.5341
43.8855;8.49193
44.1391;8.52773
44.3928;8.47499
44.6465;8.53101
44.9002;8.43377
45.1538;8.58008
45.4075;8.58401
45.6612;8.56606
45.9148;8.50815
46.1685;8.50098
46.4222;8.43238
46.6759;8.41708
46.9295;8.36283
47.1832;8.38538
47.4369;8.38902
47.6906;8.28436
47.9442;8.23597
48.1979;8.19073
48.4516;8.17448
48.7053;8.1939
48.9589;8.12693
49.2126;8.12372
49.4663;7.94861
49.7199;7.97937
49.9736;8.00365
50.2273;8.08372
50.481;8.19278
50.7346;8.25566
50.9883;8.17358
51.242;8.18333
51.4957;8.13549
51.7493;8.21664
52.003;8.21901
52.2567;8.24221
52.5104;8.24839
52.764;8.24071
53.0177;8.12187
53.2714;8.13482
53.525;8.06764
53.7787;8.1625
54.0324;8.05568
54.2861;8.11229
54.5397;7.97454
54.7934;7.98703
55.0471;8.04526
55.3008;8.04116
55.5544;8.22064
55.8081;8.29513
56.0618;8.261
56.3154;8.20868
56.5691;8.2049
56.8228;8.18974
57.0765;8.12724
57.3301;8.14976
57.5838;8.0998
57.8375;8.16267
58.0912;8.17141
58.3448;8.2738
58.5985;8.12982
58.8522;8.15796
59.1059;8.04057
59.3595;8.01137
59.6132;8.03879
59.8669;7.96831
60.1205;7.90585
60.3742;7.92891
60.6279;7.91188
60.8816;8.01276
61.1352;7.88833
61.3889;8.02637
61.6426;7.9598
61.8963;8.04
62.1499;8.00165
62.4036;7.88498
62.6573;7.92147
62.911;7.92425
63.1646;7.85704
63.4183;7.80873
63.672;7.85455
63.9256;7.85623
64.1793;7.93624
64.433;7.82597
64.6867;7.8465
64.9403;7.85965
65.194;7.82342
65.4477;7.84214
65.7014;7.80261
65.955;7.84365
66.2087;7.88258
66.4624;7.8198
66.716;7.82542
66.9697;7.83212
67.2234;7.80252
67.4771;7.85484
67.7307;7.93513
67.9844;7.92054
68.2381;8.03821
68.4918;8.12126
68.7454;8.21283
68.9991;8.20136
69.2528;8.14083
69.5065;8.24623
69.7601;8.45154
70.0138;8.36281
70.2675;8.17909
70.5211;8.10197
70.7748;8.02483
71.0285;8.05325
71.2822;7.94455
71.5358;7.81219
71.7895;7.80436
72.0432;7.798
72.2969;7.83884
72.5505;7.82839
72.8042;7.82713
73.0579;7.8747
73.3116;7.84457
73.5652;7.82311
73.8189;7.92078
74.0726;7.82514
74.3262;7.82492
74.5799;7.77749
74.8336;7.75004
75.0873;7.75974
75.3409;7.74732
75.5946;7.67632
75.8483;7.76416
76.102;7.74137
76.3556;7.71655
76.6093;7.78897
76.863;7.74223
77.1167;7.70765
77.3703;7.68391
77.624;7.70514
77.8777;7.6154
78.1313;7.74171
78.385;7.70732
78.6387;7.7127
78.8924;7.67296
79.146;7.68411
79.3997;7.55614
79.6534;7.59953
79.9071;7.60245
80.1607;7.67253
80.4144;7.66906
80.6681;7.58753
80.9218;7.6028
81.1754;7.63909
81.4291;7.69922
81.6828;7.53639
81.9364;7.43162
82.1901;7.57382
82.4438;7.61606
82.6975;7.60943
82.9511;7.55964
83.2048;7.5514
83.4585;7.45983
83.7122;7.48652
83.9658;7.61151
84.2195;7.57113
84.4732;7.48681
84.7268;7.55757
84.9805;7.44597
85.2342;7.41092
85.4879;7.39619
85.7415;7.42132
85.9952;7.61561
86.2489;7.62186
86.5026;7.60145
86.7562;7.5916
87.0099;7.67744
87.2636;7.75324
87.5173;7.70202
87.7709;7.59423
88.0246;7.56387
88.2783;7.52559
88.5319;7.52613
88.7856;7.42977
89.0393;7.51017
89.293;7.50411
89.5466;7.41065
89.8003;7.39903
90.054;7.47536
90.3077;7.50528
90.5613;7.5795
90.815;7.56845
91.0687;7.60107
91.3223;7.5727
91.576;7.52488
91.8297;7.45607
92.0834;7.49405
92.337;7.52161
92.5907;7.54052
92.8444;7.52197
93.0981;7.56361
93.3517;7.63878
93.6054;7.62529
93.8591;7.59585
94.1128;7.59969
94.3664;7.70219
94.6201;7.71713
94.8738;7.6886
95.1274;7.63213
95.3811;7.53019
95.6348;7.54197
95.8885;7.39306
96.1421;7.45352
96.3958;7.46838
96.6495;7.42734
96.9032;7.53674
97.1568;7.55959
97.4105;7.52265
97.6642;7.41327
97.9179;7.37998
98.1715;7.36539
98.4252;7.39607
98.6789;7.3816
98.9325;7.32462
99.1862;7.40198
99.4399;7.40187
99.6936;7.43358
99.9472;7.36652
100.201;7.34152
100.455;7.30893
100.708;7.31093
100.962;7.39668
101.216;7.46705
101.469;7.54924
101.723;7.50465
101.977;7.42228
102.23;7.30187
102.484;7.31446
102.738;7.24271
102.991;7.21055
103.245;7.20271
103.499;7.06453
103.752;7.00308
104.006;6.94895
104.26;6.95314
104.513;6.91183
104.767;6.93402
105.021;6.94997
105.274;6.91165
105.528;7.02031
105.782;6.87588
106.035;6.82726
106.289;6.62959
106.543;6.58878
106.796;6.41444
107.05;6.51159
107.304;6.38474
107.557;6.38979
107.811;6.40624
108.065;6.50172
108.318;6.4833
108.572;6.49397
108.826;6.28227
109.079;6.20075
109.333;6.03309
109.587;6.04206
109.84;5.89894
110.094;5.8183
110.348;5.67749
110.602;5.71277
110.855;5.72937
111.109;5.88655
111.363;6.11649
111.616;6.16096
111.87;6.17239
112.124;6.1542
112.377;5.8835
112.631;5.8182
112.885;5.77989
113.138;5.8162
113.392;5.75633
113.646;5.82984
113.899;5.74298
114.153;5.74147
114.407;5.74345
114.66;5.77473
114.914;5.85435
115.168;5.82074
115.421;5.70827
115.675;5.68996
115.929;5.49936
116.182;5.22697
116.436;5.15292
116.69;5.13219
116.943;5.20756
117.197;5.22297
117.451;5.37688
117.704;5.44099
117.958;5.56711
118.212;5.60662
118.465;5.65607
118.719;5.61437
118.973;5.49052
119.226;5.3027
119.48;5.13849
119.734;5.1327
119.987;5.11053
120.241;5.05635
120.495;5.04013
120.748;4.95331
121.002;4.89691
121.256;4.9605
121.509;5.43391
121.763;6.09613
122.017;6.16318
122.27;5.71078
122.524;4.59714
122.778;4.50665
123.032;4.60514
123.285;4.59809
123.539;4.74208
123.793;4.99608
124.046;4.95594
124.3;4.91777
124.554;5.18721
124.807;5.59163
125.061;5.65454
125.315;5.58049
125.568;5.62795
125.822;5.87294
126.076;5.999
126.329;6.15538
126.583;6.3483
126.837;6.41838
127.09;6.39588
127.344;6.30832
127.598;6.30526
127.851;6.31785
128.105;6.24929
128.359;6.33299
128.612;6.52625
128.866;6.58123
129.12;6.90936
129.373;7.07931
129.627;7.11406
129.881;6.87473
130.134;6.78039
130.388;6.76466
130.642;6.93496
130.895;7.14075
131.149;7.1665
131.403;7.19386
131.656;7.35309
131.91;7.55288
132.164;7.53038
132.417;7.42684
132.671;7.27365
132.925;7.33387
133.178;7.59823
133.432;7.73935
133.686;8.07679
133.939;7.98189
134.193;7.71915
134.447;7.39865
134.7;7.244
134.954;7.35971
135.208;7.51921
135.461;7.59911
135.715;7.77077
135.969;7.90171
136.223;7.96394
136.476;8.00536
136.73;7.61905
136.984;7.37358
137.237;7.26553
137.491;7.1583
137.745;7.08605
137.998;7.06862
138.252;7.11284
138.506;7.14388
138.759;7.08645
139.013;6.95015
139.267;6.86697
139.52;6.89388
139.774;7.06334
140.028;7.06951
140.281;7.13349
140.535;7.33395
140.789;7.61275
141.042;7.63519
141.296;7.39344
141.55;7.27534
141.803;7.31632
142.057;7.47227
142.311;7.77504
142.564;8.26602
142.818;8.37136
143.072;7.85093
143.325;7.35411
143.579;7.19116
143.833;7.22407
144.086;7.30463
144.34;7.32777
144.594;7.46044
144.847;7.44599
145.101;7.37949
145.355;7.33831
145.608;7.34123
145.862;7.45562
146.116;7.7237
146.369;8.00109
146.623;8.13817
146.877;8.01383
147.13;7.7259
147.384;7.53918
147.638;7.51285
147.891;7.51464
148.145;7.55005
148.399;7.45334
148.652;7.5275
148.906;7.78966
149.16;8.15368
149.414;8.53465
149.667;8.44502
149.921;7.84339
150.175;7.59423
150.428;7.57324
150.682;7.77
150.936;7.99848
151.189;7.97067
151.443;7.96334
151.697;8.09481
151.95;8.03217
152.204;7.83762
152.458;7.75488
152.711;7.6729
152.965;7.94281
153.219;8.15393
153.472;8.35421
153.726;8.70318
153.98;8.77975
154.233;8.59717
154.487;8.36089
154.741;8.23274
154.994;8.26645
155.248;8.4907
155.502;8.45334
155.755;8.38839
156.009;8.16321
156.263;8.08392
156.516;8.11108
156.77;8.09358
157.024;8.37559
157.277;8.46095
157.531;8.26656
157.785;8.16769
158.038;8.14173
158.292;8.23783
158.546;8.13593
158.799;8.19007
159.053;8.37062
159.307;8.55226
159.56;8.4897
159.814;8.4624
160.068;8.14727
160.321;8.17101
160.575;8.15143
160.829;8.13842
161.082;8.31583
161.336;8.48302
161.59;8.46686
161.844;8.40056
162.097;7.97557
162.351;8.04034
162.605;8.1671
162.858;8.32143
163.112;8.38657
163.366;8.43675
163.619;8.45859
163.873;8.31166
164.127;8.21311
164.38;8.26455
164.634;8.28692
164.888;8.20688
165.141;8.41401
165.395;8.60268
165.649;8.52493
165.902;8.52365
166.156;8.3066
166.41;8.25879
166.663;8.25227
166.917;8.33455
167.171;8.46642
167.424;8.42151
167.678;8.198
167.932;8.06778
168.185;8.12465
168.439;8.15897
168.693;8.08067
168.946;8.14995
169.2;8.28027
169.454;8.22922
169.707;8.08734
169.961;7.96374
170.215;7.94655
170.468;8.05645
170.722;8.04447
170.976;8.07341
171.229;8.2617
171.483;8.27025
171.737;8.13856
171.99;8.05396
172.244;8.37518
172.498;8.49404
172.751;8.3718
173.005;8.3388
173.259;8.53783
173.512;8.71587
173.766;8.49736
174.02;8.35242
174.273;8.36846
174.527;8.40417
174.781;8.35483
175.035;8.41287
175.288;8.54813
175.542;8.4784
175.796;8.40553
176.049;8.27511
176.303;8.36203
176.557;8.35331
176.81;8.18199
177.064;8.12396
177.318;8.18823
177.571;8.37176
177.825;8.46044
178.079;8.60779
178.332;8.75317
178.586;9.01398
178.84;9.16893
179.093;9.20788
179.347;9.14748
179.601;8.85052
179.854;8.63286
180.108;8.42561
180.362;8.29781
180.615;8.43865
180.869;8.56747
181.123;8.75329
181.376;8.87819
181.63;8.71517
181.884;8.59144
182.137;8.40085
182.391;8.22118
182.645;8.27284
182.898;8.22884
183.152;8.24968
183.406;8.2749
183.659;8.30289
183.913;8.35996
184.167;8.36997
184.42;8.20168
184.674;8.21423
184.928;8.38973
185.181;8.63307
185.435;8.70123
185.689;8.50395
185.942;8.40781
186.196;8.43356
186.45;8.51724
186.703;8.55075
186.957;8.43199
187.211;8.43434
187.464;8.54488
187.718;8.54269
187.972;8.47835
188.226;8.41348
188.479;8.56587
188.733;8.67047
188.987;8.6711
189.24;8.5924
189.494;8.36088
189.748;8.26848
190.001;8.19427
190.255;8.21491
190.509;8.23546
190.762;8.28032
191.016;8.15944
191.27;8.18674
191.523;8.44423
191.777;8.64005
192.031;8.7928
192.284;8.83412
192.538;8.78633
192.792;8.55656
193.045;8.25635
193.299;8.10973
193.553;8.39513
193.806;8.47529
194.06;8.44801
194.314;8.32162
194.567;8.07256
194.821;8.01737
195.075;7.9059
195.328;7.86105
195.582;7.66843
195.836;7.57063
196.089;7.47101
196.343;7.4195
196.597;7.37608
196.85;7.36561
197.104;7.20472
197.358;7.09781
197.611;7.39608
197.865;7.72661
198.119;7.97185
198.372;7.81524
198.626;7.28311
198.88;7.10667
199.133;7.16341
199.387;7.34677
199.641;7.61295
199.894;7.85104
200.148;8.06532
200.402;8.2064
200.656;7.98833
200.909;7.80149
201.163;7.6532
201.417;7.63302
201.67;7.82701
201.924;8.00113
202.178;8.15967
202.431;8.1272
202.685;7.84982
202.939;7.76749
203.192;7.7385
203.446;7.72203
203.7;7.68669
203.953;7.58352
204.207;7.54775
204.461;7.51973
204.714;7.39644
204.968;7.40429
205.222;7.28803
205.475;7.26995
205.729;7.22577
205.983;7.2027
206.236;7.09034
206.49;7.10298
206.744;7.01493
206.997;7.08489
207.251;7.03576
207.505;6.91287
207.758;6.85356
208.012;6.92807
208.266;6.88626
208.519;6.95995
208.773;6.97648
209.027;7.33764
209.28;7.79885
209.534;8.16302
209.788;7.73681
210.041;7.42664
210.295;7.24501
210.549;7.27748
210.802;7.01837
211.056;7.02561
211.31;7.10179
211.563;7.24248
211.817;7.40102
212.071;7.49768
212.324;7.46345
212.578;7.52229
212.832;7.36491
213.085;7.42735
213.339;7.37767
213.593;7.34442
213.846;7.26159
214.1;7.30712
214.354;7.24889
214.608;7.17885
214.861;7.17762
215.115;7.25294
215.369;7.11802
215.622;7.11702
215.876;7.21102
216.13;7.23259
216.383;7.34774
216.637;7.42404
216.891;7.57186
217.144;7.58346
217.398;7.69987
217.652;7.84558
217.905;7.92745
218.159;7.76388
218.413;7.53153
218.666;7.39221
218.92;7.22894
219.174;7.3044
219.427;7.26828
219.681;7.15425
219.935;7.14943
220.188;7.01515
220.442;7.02567
220.696;7.08382
220.949;6.98751
221.203;7.00624
221.457;6.93784
221.71;6.933
221.964;6.95551
222.218;6.85633
222.471;6.59959
222.725;6.45159
222.979;6.30107
223.232;6.25346
223.486;6.08917
223.74;6.07005
223.993;5.92524
224.247;5.61191
224.501;5.38183
224.754;5.21421
225.008;5.64719
225.262;5.91954
225.515;6.08184
225.769;6.1029
226.023;5.97725
226.276;5.8324
226.53;5.6927
226.784;5.60849
227.038;5.74787
227.291;5.86106
227.545;5.99288
227.799;6.26564
228.052;6.42578
228.306;6.44644
228.56;6.57994
228.813;6.55322
229.067;6.52824
229.321;6.49939
229.574;6.52642
229.828;6.6538
230.082;6.6432
230.335;6.55657
230.589;6.47554
230.843;6.40564
231.096;6.48209
231.35;6.50995
231.604;6.7527
231.857;7.47477
232.111;9.92248
232.365;11.3312
232.618;11.9247
232.872;12.0621
233.126;12.0184
233.379;12.0509
233.633;12.1469
233.887;12.1629
234.14;12.1108
234.394;12.1467
234.648;12.1988
234.901;12.1553
235.155;12.1361
235.409;12.231
235.662;12.2043
235.916;12.1458
236.17;12.1382
236.423;12.2146
236.677;12.1251
236.931;12.1516
237.184;12.1452
237.438;12.2125
237.692;12.1368
237.945;12.0712
238.199;12.1452
238.453;12.1468
238.706;12.1506
238.96;12.1685
239.214;12.1546
239.467;12.1998
239.721;12.13
239.975;12.1706
240.229;12.1204
240.482;12.1998
240.736;12.2014
240.99;12.1906
241.243;12.1209
241.497;12.2882
241.751;12.1704
242.004;12.1395
242.258;12.1535
242.512;12.1604
242.765;12.1751
243.019;12.2139
243.273;12.1287
243.526;12.1934
243.78;12.0919
244.034;12.1944
244.287;12.193
244.541;12.1728
244.795;12.1688
245.048;12.1542
245.302;12.1943
245.556;12.2303
245.809;12.1695
246.063;12.131
246.317;12.1336
246.57;12.1562
246.824;12.1758
247.078;12.1516
247.331;12.2342
247.585;12.2181
247.839;12.1245
248.092;12.1524
248.346;12.2
248.6;12.2083
248.853;12.2077
249.107;12.1603
249.361;12.1666
249.614;12.2521
249.868;12.1388
