Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 08:33:36
Device temperature = 21.5901
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBrLiG
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;19.1913
0.253673;17.9881
0.507346;16.5881
0.76102;15.5516
1.01469;15.6537
1.26837;15.5511
1.52204;15.3411
1.77571;14.8415
2.02939;14.8195
2.28306;15.1495
2.53673;15.2114
2.79041;15.104
3.04408;15.0152
3.29775;14.9752
3.55142;14.8443
3.8051;14.7956
4.05877;14.8308
4.31244;14.827
4.56612;14.8099
4.81979;14.7787
5.07346;14.7377
5.32714;14.7917
5.58081;14.7163
5.83448;14.6687
6.08816;14.7618
6.34183;14.7677
6.5955;14.7755
6.84918;14.834
7.10285;14.7237
7.35652;14.582
7.6102;14.5832
7.86387;14.6069
8.11754;14.594
8.37122;14.6159
8.62489;14.6176
8.87856;14.6638
9.13223;14.6112
9.38591;14.6655
9.63958;14.6836
9.89325;14.5997
10.1469;14.6117
10.4006;14.543
10.6543;14.6038
10.9079;14.5301
11.1616;14.6621
11.4153;14.5884
11.669;14.6258
11.9226;14.5681
12.1763;14.5153
12.43;14.5616
12.6837;14.5776
12.9373;14.6099
13.191;14.5874
13.4447;14.6117
13.6984;14.5947
13.952;14.5939
14.2057;14.5389
14.4594;14.6268
14.713;14.5985
14.9667;14.641
15.2204;14.5654
15.4741;14.564
15.7277;14.6148
15.9814;14.6065
16.2351;14.6115
16.4888;14.6641
16.7424;14.6584
16.9961;14.682
17.2498;14.6311
17.5035;14.6165
17.7571;14.6316
18.0108;14.5958
18.2645;14.5407
18.5181;14.5721
18.7718;14.5418
19.0255;14.5939
19.2792;14.584
19.5328;14.5827
19.7865;14.5878
20.0402;14.6525
20.2939;14.6545
20.5475;14.6172
20.8012;14.6321
21.0549;14.6181
21.3085;14.5811
21.5622;14.5504
21.8159;14.5304
22.0696;14.6187
22.3232;14.6037
22.5769;14.6102
22.8306;14.5714
23.0843;14.6139
23.3379;14.568
23.5916;14.6008
23.8453;14.5765
24.099;14.499
24.3526;14.5502
24.6063;14.5066
24.86;14.5837
25.1136;14.6544
25.3673;14.6101
25.621;14.6097
25.8747;14.5645
26.1283;14.5426
26.382;14.5216
26.6357;14.4995
26.8894;14.6196
27.143;14.5503
27.3967;14.4551
27.6504;14.4135
27.9041;14.384
28.1577;14.5
28.4114;14.4157
28.6651;13.9468
28.9187;12.9095
29.1724;10.0877
29.4261;9.02802
29.6798;8.74709
29.9334;8.7985
30.1871;8.76862
30.4408;8.70333
30.6945;8.58708
30.9481;8.58173
31.2018;8.46387
31.4555;8.49441
31.7092;8.51767
31.9628;8.4609
32.2165;8.54774
32.4702;8.77278
32.7238;8.94732
32.9775;9.13873
33.2312;9.06767
33.4849;8.97745
33.7385;8.92902
33.9922;8.93671
34.2459;9.00325
34.4996;9.12057
34.7532;9.11215
35.0069;9.04332
35.2606;8.73937
35.5142;8.55329
35.7679;8.34729
36.0216;8.18524
36.2753;8.23082
36.5289;8.22408
36.7826;8.19866
37.0363;8.14061
37.29;8.09376
37.5436;8.15563
37.7973;8.10715
38.051;8.11164
38.3047;8.1855
38.5583;8.00634
38.812;8.04383
39.0657;8.04185
39.3193;7.97847
39.573;8.03995
39.8267;7.98113
40.0804;7.98472
40.334;8.01008
40.5877;7.95376
40.8414;8.0028
41.0951;7.93978
41.3487;8.09202
41.6024;8.24076
41.8561;8.3435
42.1097;8.30697
42.3634;8.45513
42.6171;8.41014
42.8708;8.4642
43.1244;8.51382
43.3781;8.61583
43.6318;8.53552
43.8855;8.49703
44.1391;8.59284
44.3928;8.53453
44.6465;8.56207
44.9002;8.56192
45.1538;8.61198
45.4075;8.63831
45.6612;8.49773
45.9148;8.54718
46.1685;8.62268
46.4222;8.59318
46.6759;8.5372
46.9295;8.54979
47.1832;8.53263
47.4369;8.5339
47.6906;8.41187
47.9442;8.24467
48.1979;8.33416
48.4516;8.33831
48.7053;8.32604
48.9589;8.29536
49.2126;8.26695
49.4663;8.22056
49.7199;8.1693
49.9736;8.14974
50.2273;8.11689
50.481;8.26984
50.7346;8.33535
50.9883;8.35229
51.242;8.25484
51.4957;8.30383
51.7493;8.24562
52.003;8.26157
52.2567;8.43295
52.5104;8.41712
52.764;8.40254
53.0177;8.30185
53.2714;8.23533
53.525;8.18378
53.7787;8.14941
54.0324;8.20419
54.2861;8.19044
54.5397;8.1369
54.7934;8.11157
55.0471;8.12973
55.3008;8.19629
55.5544;8.31836
55.8081;8.34861
56.0618;8.41307
56.3154;8.40019
56.5691;8.39773
56.8228;8.33998
57.0765;8.24797
57.3301;8.26196
57.5838;8.24054
57.8375;8.22772
58.0912;8.15291
58.3448;8.16422
58.5985;8.20448
58.8522;8.18263
59.1059;8.17288
59.3595;8.16563
59.6132;8.16633
59.8669;8.04279
60.1205;7.98363
60.3742;7.99687
60.6279;7.99997
60.8816;8.02717
61.1352;8.0229
61.3889;8.0729
61.6426;8.07993
61.8963;8.07597
62.1499;8.10585
62.4036;8.09385
62.6573;8.01903
62.911;8.05365
63.1646;8.00571
63.4183;8.00779
63.672;8.02773
63.9256;8.01535
64.1793;8.02201
64.433;8.00809
64.6867;7.9655
64.9403;7.97365
65.194;7.93208
65.4477;8.02222
65.7014;7.99049
65.955;7.9935
66.2087;7.92924
66.4624;8.00158
66.716;7.9045
66.9697;7.98084
67.2234;7.90121
67.4771;8.03852
67.7307;8.03984
67.9844;8.10526
68.2381;8.1605
68.4918;8.21768
68.7454;8.28761
68.9991;8.32708
69.2528;8.35483
69.5065;8.50088
69.7601;8.56207
70.0138;8.4428
70.2675;8.29501
70.5211;8.17966
70.7748;8.20549
71.0285;8.12883
71.2822;8.08947
71.5358;8.0236
71.7895;8.01349
72.0432;8.01905
72.2969;7.98315
72.5505;8.00892
72.8042;8.0476
73.0579;7.97304
73.3116;8.01964
73.5652;8.04993
73.8189;8.05419
74.0726;8.03369
74.3262;7.94001
74.5799;7.96593
74.8336;7.97321
