Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 18:03:37
Device temperature = 21.6172
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBrPAH
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;21.0098
0.253673;20.6209
0.507346;19.9068
0.76102;20.0197
1.01469;20.4803
1.26837;20.631
1.52204;20.7271
1.77571;20.3491
2.02939;19.7938
2.28306;19.6299
2.53673;19.1224
2.79041;19.2438
3.04408;19.448
3.29775;19.5481
3.55142;19.567
3.8051;20.2525
4.05877;20.4301
4.31244;20.7589
4.56612;20.7753
4.81979;20.9077
5.07346;20.8269
5.32714;20.6787
5.58081;20.4985
5.83448;20.3998
6.08816;20.208
6.34183;20.0018
6.5955;19.748
6.84918;19.7536
7.10285;19.7411
7.35652;19.8536
7.6102;19.895
7.86387;20.0055
8.11754;20.0994
8.37122;20.1298
8.62489;19.8973
8.87856;19.6615
9.13223;19.4795
9.38591;19.4687
9.63958;19.4428
9.89325;19.639
10.1469;19.7271
10.4006;19.6409
10.6543;19.5621
10.9079;19.6947
11.1616;19.7449
11.4153;19.844
11.669;19.726
11.9226;19.761
12.1763;19.7531
12.43;19.8312
12.6837;19.7009
12.9373;19.7817
13.191;19.6934
13.4447;19.6112
13.6984;19.534
13.952;19.3994
14.2057;19.416
14.4594;19.5356
14.713;19.4934
14.9667;19.5075
15.2204;19.4532
15.4741;19.5246
15.7277;19.5141
15.9814;19.2865
16.2351;19.3854
16.4888;19.3494
16.7424;19.3697
16.9961;19.3237
17.2498;19.278
17.5035;19.4556
17.7571;19.5892
18.0108;19.6541
18.2645;19.6211
18.5181;19.532
18.7718;19.5834
19.0255;19.5322
19.2792;19.4022
19.5328;19.479
19.7865;19.5169
20.0402;19.3284
20.2939;19.2948
20.5475;19.2041
20.8012;19.2392
21.0549;19.5111
21.3085;19.6135
21.5622;19.6978
21.8159;19.6195
22.0696;19.452
22.3232;19.4525
22.5769;19.4138
22.8306;19.3802
23.0843;19.359
23.3379;19.2836
23.5916;19.2488
23.8453;19.3112
24.099;19.6182
24.3526;19.6441
24.6063;19.5628
24.86;19.3762
25.1136;19.4264
25.3673;19.4683
25.621;19.5988
25.8747;19.765
26.1283;19.8553
26.382;19.9385
26.6357;20.0864
26.8894;20.0026
27.143;20.0121
27.3967;19.988
27.6504;20.0332
27.9041;20.0344
28.1577;20.171
28.4114;20.2628
28.6651;20.5604
28.9187;20.9375
29.1724;22.4196
29.4261;23.2613
29.6798;23.6174
29.9334;23.6381
30.1871;23.7452
30.4408;23.6737
30.6945;23.4534
30.9481;23.1191
31.2018;22.9161
31.4555;22.7845
31.7092;22.7543
31.9628;22.7398
32.2165;22.5935
32.4702;22.4667
32.7238;22.3099
32.9775;22.1537
33.2312;22.3358
33.4849;22.517
33.7385;22.6739
33.9922;22.8007
34.2459;22.6199
34.4996;22.565
34.7532;22.4726
35.0069;22.478
35.2606;22.852
35.5142;22.9278
35.7679;23.0112
36.0216;23.0723
36.2753;23.0653
36.5289;23.071
36.7826;23.1476
37.0363;23.1601
37.29;23.1762
37.5436;23.2955
37.7973;23.3343
38.051;23.508
38.3047;23.3527
38.5583;23.309
38.812;23.472
39.0657;23.9386
39.3193;24.3319
39.573;24.2149
39.8267;24.2637
40.0804;24.4623
40.334;24.785
40.5877;24.6232
40.8414;24.3235
41.0951;24.0145
41.3487;23.4144
41.6024;23.016
41.8561;22.8654
42.1097;22.7093
42.3634;22.9274
42.6171;23.0874
42.8708;23.0541
43.1244;22.8931
43.3781;22.6322
43.6318;22.4806
43.8855;22.3302
44.1391;22.2078
44.3928;22.2663
44.6465;22.5219
44.9002;22.7013
45.1538;22.7359
45.4075;23.4837
45.6612;24.0571
45.9148;24.3655
46.1685;24.3159
46.4222;23.764
46.6759;23.6365
46.9295;23.6394
47.1832;23.5452
47.4369;23.4321
47.6906;23.3134
47.9442;23.3371
48.1979;23.3601
48.4516;23.5626
48.7053;23.6652
48.9589;23.8246
49.2126;23.969
49.4663;24.5995
49.7199;24.9695
49.9736;25.0602
50.2273;24.8797
50.481;24.8251
50.7346;25.5389
50.9883;26.1198
51.242;26.4293
51.4957;27.3771
51.7493;28.4254
52.003;30.1647
52.2567;33.1408
52.5104;39.1211
52.764;41.5078
53.0177;42.2733
53.2714;41.549
53.525;39.7543
53.7787;39.568
54.0324;39.6938
54.2861;39.3053
54.5397;36.0659
54.7934;33.6507
55.0471;31.1655
55.3008;28.9381
55.5544;27.4065
55.8081;27.1069
56.0618;26.322
56.3154;25.085
56.5691;23.3084
56.8228;23.1145
57.0765;23.1807
57.3301;23.1173
57.5838;23.2413
57.8375;23.3196
58.0912;23.3712
58.3448;23.4712
58.5985;23.3745
58.8522;23.379
59.1059;23.3798
59.3595;23.5192
59.6132;24.057
59.8669;24.2929
60.1205;24.6336
60.3742;24.8066
60.6279;24.9275
60.8816;24.932
61.1352;24.6128
61.3889;24.1179
61.6426;23.5468
61.8963;23.3216
62.1499;23.409
62.4036;23.5391
62.6573;23.8227
62.911;23.9567
63.1646;23.949
63.4183;23.9765
63.672;23.8806
63.9256;23.8729
64.1793;23.9855
64.433;24.1917
64.6867;24.9873
64.9403;25.6583
65.194;26.1096
65.4477;26.3845
65.7014;26.4089
65.955;25.9336
66.2087;25.3296
66.4624;24.7499
66.716;24.3134
66.9697;24.2404
67.2234;24.2518
67.4771;24.23
67.7307;24.0655
67.9844;23.9974
68.2381;23.9519
68.4918;24.135
68.7454;24.4966
68.9991;24.5263
69.2528;24.7015
69.5065;24.94
69.7601;25.2452
70.0138;25.1929
70.2675;25.2417
70.5211;25.5889
70.7748;26.5815
71.0285;26.8427
71.2822;26.6445
71.5358;25.9663
71.7895;24.9427
72.0432;24.7134
72.2969;24.4729
72.5505;24.0179
72.8042;23.1028
73.0579;23.0493
73.3116;23.0377
73.5652;23.0916
73.8189;23.1754
74.0726;23.2491
74.3262;23.4905
74.5799;23.7806
74.8336;24.3175
75.0873;24.7685
75.3409;25.1428
75.5946;25.4348
75.8483;26.1602
76.102;26.379
76.3556;26.432
76.6093;26.225
76.863;25.3639
77.1167;24.8226
77.3703;24.3138
77.624;23.8431
77.8777;23.6362
78.1313;23.7707
78.385;24.1529
78.6387;24.5247
78.8924;24.8323
79.146;25.0116
79.3997;24.7947
79.6534;24.3036
79.9071;23.7929
80.1607;23.773
80.4144;24.0152
80.6681;24.2202
80.9218;24.5519
81.1754;24.6857
81.4291;24.5434
81.6828;24.5977
81.9364;25.6836
82.1901;26.868
82.4438;28.4339
82.6975;30.7278
82.9511;34.9402
83.2048;36.0087
83.4585;35.0446
83.7122;32.8105
83.9658;31.7327
84.2195;33.2639
84.4732;34.8733
84.7268;35.7421
84.9805;36.0899
85.2342;36.7307
85.4879;37.1029
85.7415;36.387
85.9952;32.6844
86.2489;30.9047
86.5026;29.7177
86.7562;28.4622
87.0099;26.7704
87.2636;26.1894
87.5173;25.6455
87.7709;25.226
88.0246;24.6885
88.2783;24.6902
88.5319;24.6338
88.7856;24.5601
89.0393;24.5947
89.293;24.7282
89.5466;24.8071
89.8003;24.5415
90.054;24.0285
90.3077;23.801
90.5613;23.8691
90.815;24.1459
91.0687;24.8845
91.3223;25.4632
91.576;26.1829
91.8297;26.6013
92.0834;26.2022
92.337;25.7814
92.5907;25.6368
92.8444;25.2929
93.0981;24.6835
93.3517;24.3145
93.6054;24.1528
93.8591;23.9592
94.1128;23.9644
94.3664;23.8639
94.6201;23.8175
94.8738;23.9219
95.1274;23.7683
95.3811;23.6474
95.6348;23.6338
95.8885;23.723
96.1421;23.8196
96.3958;23.7714
96.6495;23.7431
96.9032;23.6545
97.1568;23.6005
97.4105;23.5122
97.6642;23.5021
97.9179;23.5366
98.1715;23.603
98.4252;23.6067
98.6789;23.678
98.9325;23.788
99.1862;23.8582
