Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 08:23:36
Device temperature = 21.7115
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBrbEn
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;19.2608
0.253673;18.1223
0.507346;16.7055
0.76102;15.7268
1.01469;15.7961
1.26837;15.7195
1.52204;15.5677
1.77571;14.9494
2.02939;14.8408
2.28306;15.2846
2.53673;15.3317
2.79041;15.2712
3.04408;15.127
3.29775;15.0494
3.55142;15.0625
3.8051;14.9611
4.05877;14.9074
4.31244;14.9033
4.56612;14.8619
4.81979;14.8935
5.07346;14.9967
5.32714;14.8661
5.58081;14.911
5.83448;14.8941
6.08816;14.8483
6.34183;14.8279
6.5955;14.9144
6.84918;14.9461
7.10285;14.8176
7.35652;14.658
7.6102;14.679
7.86387;14.7663
8.11754;14.6832
8.37122;14.768
8.62489;14.7791
8.87856;14.7106
9.13223;14.7857
9.38591;14.7539
9.63958;14.7905
9.89325;14.7574
10.1469;14.7208
10.4006;14.7329
10.6543;14.6667
10.9079;14.6746
11.1616;14.6729
11.4153;14.7463
11.669;14.6884
11.9226;14.7318
12.1763;14.7151
12.43;14.6389
12.6837;14.6905
12.9373;14.6127
13.191;14.6372
13.4447;14.7067
13.6984;14.7458
13.952;14.7916
14.2057;14.7723
14.4594;14.7632
14.713;14.6674
14.9667;14.7256
15.2204;14.758
15.4741;14.683
15.7277;14.7514
15.9814;14.76
16.2351;14.726
16.4888;14.6712
16.7424;14.7046
16.9961;14.6367
17.2498;14.7877
17.5035;14.7677
17.7571;14.7081
18.0108;14.6985
18.2645;14.6722
18.5181;14.6172
18.7718;14.6954
19.0255;14.7187
19.2792;14.7722
19.5328;14.6586
19.7865;14.8073
20.0402;14.7306
20.2939;14.7216
20.5475;14.763
20.8012;14.7606
21.0549;14.6787
21.3085;14.7646
21.5622;14.6501
21.8159;14.7206
22.0696;14.8012
22.3232;14.7352
22.5769;14.7735
22.8306;14.7074
23.0843;14.7235
23.3379;14.7367
23.5916;14.7405
23.8453;14.7585
24.099;14.7106
24.3526;14.6227
24.6063;14.6606
24.86;14.6811
25.1136;14.7701
25.3673;14.7594
25.621;14.7476
25.8747;14.6508
26.1283;14.5698
26.382;14.6062
26.6357;14.6032
26.8894;14.7365
27.143;14.5967
27.3967;14.6292
27.6504;14.5104
27.9041;14.5567
28.1577;14.6044
28.4114;14.5292
28.6651;14.1486
28.9187;13.0428
29.1724;10.3745
29.4261;9.30135
29.6798;8.94168
29.9334;8.91004
30.1871;8.85553
30.4408;8.94601
30.6945;8.78479
30.9481;8.74291
31.2018;8.65237
31.4555;8.6502
31.7092;8.64242
31.9628;8.66357
32.2165;8.81613
32.4702;8.89263
32.7238;9.0995
32.9775;9.21532
33.2312;9.28325
33.4849;9.09481
33.7385;9.01454
33.9922;8.90259
34.2459;9.04812
34.4996;9.05576
34.7532;9.14609
35.0069;9.08173
35.2606;8.84426
35.5142;8.59571
35.7679;8.45749
36.0216;8.39203
36.2753;8.28239
36.5289;8.36007
36.7826;8.31878
37.0363;8.32819
37.29;8.26683
37.5436;8.30855
37.7973;8.32501
38.051;8.25626
38.3047;8.30675
38.5583;8.28201
38.812;8.23374
39.0657;8.15619
39.3193;8.19668
39.573;8.16963
39.8267;8.11647
40.0804;8.06293
40.334;8.10777
40.5877;8.12715
40.8414;8.13583
41.0951;8.15223
41.3487;8.20489
41.6024;8.39465
41.8561;8.42736
42.1097;8.53255
42.3634;8.52867
42.6171;8.52269
42.8708;8.5246
43.1244;8.59754
43.3781;8.69505
43.6318;8.80164
43.8855;8.72564
44.1391;8.63214
44.3928;8.67587
44.6465;8.67981
44.9002;8.57475
45.1538;8.68719
45.4075;8.72393
45.6612;8.77923
45.9148;8.64805
46.1685;8.65357
46.4222;8.64686
46.6759;8.68631
46.9295;8.64957
47.1832;8.70734
47.4369;8.66115
47.6906;8.54318
47.9442;8.49121
48.1979;8.50179
48.4516;8.50336
48.7053;8.42658
48.9589;8.39262
49.2126;8.30696
49.4663;8.34867
49.7199;8.23545
49.9736;8.22651
50.2273;8.2726
50.481;8.47751
50.7346;8.41631
50.9883;8.50081
51.242;8.40679
51.4957;8.4854
51.7493;8.49558
52.003;8.45599
52.2567;8.4641
52.5104;8.53646
52.764;8.43124
53.0177;8.43233
53.2714;8.34511
53.525;8.34604
53.7787;8.34591
54.0324;8.27432
54.2861;8.42496
54.5397;8.37289
54.7934;8.25681
55.0471;8.27389
55.3008;8.31611
55.5544;8.41844
55.8081;8.4984
56.0618;8.50484
56.3154;8.5776
56.5691;8.61063
56.8228;8.51418
57.0765;8.53238
57.3301;8.42865
57.5838;8.28353
57.8375;8.34502
58.0912;8.32929
58.3448;8.35794
58.5985;8.35913
58.8522;8.3035
59.1059;8.31312
59.3595;8.31994
59.6132;8.27767
59.8669;8.25631
60.1205;8.18786
60.3742;8.10513
60.6279;8.16653
60.8816;8.14559
61.1352;8.23551
61.3889;8.27371
61.6426;8.28013
61.8963;8.23116
62.1499;8.21627
62.4036;8.16744
62.6573;8.18793
62.911;8.24626
63.1646;8.22268
63.4183;8.10797
63.672;8.09794
63.9256;8.15566
64.1793;8.13907
64.433;8.09516
64.6867;8.11991
64.9403;8.0981
65.194;8.05733
65.4477;8.08563
65.7014;8.11322
65.955;8.15051
66.2087;8.15273
66.4624;8.11417
66.716;8.05861
66.9697;8.08491
67.2234;8.07153
67.4771;8.09171
67.7307;8.15516
67.9844;8.20326
68.2381;8.34754
68.4918;8.40286
68.7454;8.43214
68.9991;8.43633
69.2528;8.41453
69.5065;8.59953
69.7601;8.76109
70.0138;8.67588
70.2675;8.47487
70.5211;8.43933
70.7748;8.33908
71.0285;8.36302
71.2822;8.25764
71.5358;8.17392
71.7895;8.20952
72.0432;8.16993
72.2969;8.07395
72.5505;8.22001
72.8042;8.16289
73.0579;8.18672
73.3116;8.21441
73.5652;8.22412
73.8189;8.19467
74.0726;8.18705
74.3262;8.15083
74.5799;8.07373
74.8336;8.07009
75.0873;8.08752
75.3409;8.02989
75.5946;8.09455
75.8483;8.09618
76.102;8.11263
76.3556;8.09689
76.6093;8.06913
76.863;8.13804
77.1167;8.08326
77.3703;8.0078
77.624;8.01706
77.8777;8.05537
78.1313;8.12577
78.385;8.11378
78.6387;7.97625
78.8924;8.03535
79.146;8.03545
79.3997;7.94084
79.6534;7.96863
79.9071;7.92992
80.1607;7.97277
80.4144;7.91165
80.6681;7.87951
80.9218;7.9962
81.1754;8.0169
81.4291;8.07557
81.6828;7.95965
81.9364;7.79422
82.1901;7.87292
82.4438;7.91737
82.6975;7.89628
82.9511;7.94808
83.2048;7.84905
83.4585;7.85431
83.7122;7.91238
83.9658;7.83478
84.2195;7.88735
