Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 08:13:36
Device temperature = 21.8337
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBrqtr
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;19.3647
0.253673;18.2923
0.507346;16.7706
0.76102;15.8761
1.01469;15.8356
1.26837;15.7707
1.52204;15.6082
1.77571;15.0122
2.02939;14.9653
2.28306;15.3918
2.53673;15.3287
2.79041;15.337
3.04408;15.2464
3.29775;15.1669
3.55142;15.0786
3.8051;15.0568
4.05877;15.0034
4.31244;14.978
4.56612;14.9917
4.81979;14.9456
5.07346;15.044
5.32714;14.9897
5.58081;14.9114
5.83448;14.9076
6.08816;14.9631
6.34183;14.9956
6.5955;15.0204
6.84918;15.031
7.10285;14.9171
7.35652;14.8482
7.6102;14.8363
7.86387;14.7229
8.11754;14.8819
8.37122;14.8429
8.62489;14.9097
8.87856;14.8154
9.13223;14.8564
9.38591;14.8602
9.63958;14.9428
9.89325;14.8412
10.1469;14.8232
10.4006;14.8429
10.6543;14.8572
10.9079;14.7646
11.1616;14.7921
11.4153;14.771
11.669;14.8226
11.9226;14.7493
12.1763;14.7766
12.43;14.7966
12.6837;14.8182
12.9373;14.7136
13.191;14.8152
13.4447;14.8225
13.6984;14.7571
13.952;14.8466
14.2057;14.8521
14.4594;14.8574
14.713;14.876
14.9667;14.8278
15.2204;14.8133
15.4741;14.808
15.7277;14.7711
15.9814;14.8054
16.2351;14.886
16.4888;14.9131
16.7424;14.8862
16.9961;14.8276
17.2498;14.7895
17.5035;14.8189
17.7571;14.7971
18.0108;14.742
18.2645;14.7398
18.5181;14.7745
18.7718;14.767
19.0255;14.823
19.2792;14.855
19.5328;14.8358
19.7865;14.8973
20.0402;14.8155
20.2939;14.8925
20.5475;14.7687
20.8012;15.0224
21.0549;14.8182
21.3085;14.7684
21.5622;14.773
21.8159;14.7115
22.0696;14.8024
22.3232;14.8661
22.5769;14.8244
22.8306;14.9274
23.0843;14.871
23.3379;14.9069
23.5916;14.8839
23.8453;14.8492
24.099;14.7204
24.3526;14.7315
24.6063;14.7683
24.86;14.8555
25.1136;14.8411
25.3673;14.8489
25.621;14.8937
25.8747;14.7488
26.1283;14.7132
26.382;14.7256
26.6357;14.7722
26.8894;14.8494
27.143;14.7683
27.3967;14.6626
27.6504;14.6979
27.9041;14.6102
28.1577;14.6527
28.4114;14.6769
28.6651;14.1102
28.9187;13.1236
29.1724;10.3661
29.4261;9.38532
29.6798;9.07985
29.9334;8.99576
30.1871;9.08856
30.4408;9.0536
30.6945;8.96145
30.9481;8.90099
31.2018;8.72863
31.4555;8.73794
31.7092;8.72155
31.9628;8.62819
32.2165;8.72766
32.4702;9.05641
32.7238;9.14672
32.9775;9.31588
33.2312;9.24618
33.4849;9.13769
33.7385;9.0738
33.9922;9.04642
34.2459;9.10942
34.4996;9.25907
34.7532;9.38696
35.0069;9.43389
35.2606;8.99593
35.5142;8.82525
35.7679;8.70283
36.0216;8.49052
36.2753;8.52079
36.5289;8.57028
36.7826;8.47988
37.0363;8.49181
37.29;8.43916
37.5436;8.43683
37.7973;8.41674
38.051;8.42538
38.3047;8.45481
38.5583;8.53828
38.812;8.48157
39.0657;8.4479
39.3193;8.31923
39.573;8.38335
39.8267;8.3283
40.0804;8.32533
40.334;8.32592
40.5877;8.37533
40.8414;8.30378
41.0951;8.39977
41.3487;8.42284
41.6024;8.52058
41.8561;8.65872
42.1097;8.74194
42.3634;8.68558
42.6171;8.67505
42.8708;8.70159
43.1244;8.81915
43.3781;8.89665
43.6318;8.89663
43.8855;8.79804
44.1391;8.85814
44.3928;8.82342
44.6465;8.77761
44.9002;8.74914
45.1538;8.83873
45.4075;8.85058
45.6612;8.83202
45.9148;8.80063
46.1685;8.73508
46.4222;8.67804
46.6759;8.76898
46.9295;8.67569
47.1832;8.81855
47.4369;8.73953
47.6906;8.70185
47.9442;8.68165
48.1979;8.6038
48.4516;8.62739
48.7053;8.513
48.9589;8.5712
49.2126;8.59961
49.4663;8.39659
49.7199;8.42227
49.9736;8.40562
50.2273;8.4697
50.481;8.61014
50.7346;8.59881
50.9883;8.59362
51.242;8.63591
51.4957;8.63453
51.7493;8.61722
52.003;8.60596
52.2567;8.65028
52.5104;8.66886
52.764;8.58795
53.0177;8.5348
53.2714;8.50942
53.525;8.38715
53.7787;8.42185
54.0324;8.382
54.2861;8.43432
54.5397;8.32474
54.7934;8.34067
55.0471;8.35443
55.3008;8.41678
55.5544;8.63172
55.8081;8.65484
56.0618;8.61802
56.3154;8.65259
56.5691;8.70383
56.8228;8.67191
57.0765;8.5412
57.3301;8.579
57.5838;8.52086
57.8375;8.39986
58.0912;8.50114
58.3448;8.35526
58.5985;8.43659
58.8522;8.47092
59.1059;8.46533
59.3595;8.45421
59.6132;8.38981
59.8669;8.31333
60.1205;8.24669
60.3742;8.20507
60.6279;8.30139
60.8816;8.24708
61.1352;8.32602
61.3889;8.38468
61.6426;8.35073
61.8963;8.42338
62.1499;8.34861
62.4036;8.31903
62.6573;8.25227
62.911;8.25214
63.1646;8.28053
63.4183;8.27268
63.672;8.24882
63.9256;8.23956
